activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,classification
,2470255,[],CHEMBL987174,Inhibition of MAP4K3 at 3 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,,,CHEMBL1142492,J. Med. Chem.,2008.0,,CHEMBL521179,SR-3677,CHEMBL521179,,False,http://qudt.org/vocab/unit#Percent,801785,<,1,True,<,,Inhibition,%,,10.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,10.0,0
,2595824,[],CHEMBL1017894,Inhibition of MAP4K3 assessed as enzyme activity relative to control,B,,,BAO_0001103,BAO_0000357,single protein format,C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,,CHEMBL1151738,J. Med. Chem.,2008.0,,CHEMBL457871,,CHEMBL457871,,False,http://qudt.org/vocab/unit#Percent,800440,=,1,False,=,,Activity,%,,34.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,34.0,1
,2596875,[],CHEMBL1017894,Inhibition of MAP4K3 assessed as enzyme activity relative to control,B,,,BAO_0001103,BAO_0000357,single protein format,C[C@@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12,,,CHEMBL1151738,J. Med. Chem.,2008.0,,CHEMBL459977,,CHEMBL459977,,False,http://qudt.org/vocab/unit#Percent,800519,=,1,False,=,,Activity,%,,4.6,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,4.6,1
,2921282,[],CHEMBL1049117,Inhibition of MAP4K3 assessed as enzyme activity at 1 uM relative to untreated control,B,,,BAO_0001103,BAO_0000357,single protein format,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12,,,CHEMBL1155237,J. Med. Chem.,2009.0,,CHEMBL3215582,,CHEMBL1197798,,False,http://qudt.org/vocab/unit#Percent,853311,=,1,False,=,,Activity,%,,85.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,Activity,%,UO_0000187,,85.0,0
,3332011,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1165499,,CHEMBL1165499,,False,http://qudt.org/vocab/unit#Percent,918577,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3333426,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1164180,,CHEMBL1164180,,False,http://qudt.org/vocab/unit#Percent,918578,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3334831,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1164181,,CHEMBL1164181,,False,http://qudt.org/vocab/unit#Percent,918580,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3336251,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1164265,,CHEMBL1164265,,False,http://qudt.org/vocab/unit#Percent,918645,=,1,True,=,,Inhibition,%,,91.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,91.0,1
,3337573,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1163510,,CHEMBL1163510,,False,http://qudt.org/vocab/unit#Percent,918712,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
,3338904,[],CHEMBL1166061,Inhibition of MAP4K3 at 1 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,,,CHEMBL1165965,Bioorg. Med. Chem.,2010.0,,CHEMBL1163518,,CHEMBL1163518,,False,http://qudt.org/vocab/unit#Percent,918805,<,1,True,<,,Inhibition,%,,50.0,CHEMBL5432,Homo sapiens,Mitogen-activated protein kinase kinase kinase kinase 3,9606,,,INH,%,UO_0000187,,50.0,0
