model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.7692307692307693,0.5853658536585366,0.8226950354609929,0.7040304445597647,0.5333333333333333
2,115,0.7362637362637363,0.6595744680851063,0.762962962962963,0.7112687155240347,0.5636363636363635
3,26,0.7417582417582418,0.5714285714285714,0.782312925170068,0.6768707482993197,0.4597701149425288
4,760,0.7692307692307693,0.6285714285714286,0.8027210884353742,0.7156462585034014,0.5116279069767442
5,282,0.7197802197802198,0.5348837209302325,0.7769784172661871,0.6559310690982099,0.4742268041237113
6,251,0.7802197802197802,0.5128205128205128,0.8531468531468531,0.682983682983683,0.5
7,229,0.7032967032967034,0.62,0.7348484848484849,0.6774242424242425,0.5344827586206896
8,143,0.6868131868131868,0.6363636363636364,0.7028985507246377,0.669631093544137,0.49557522123893816
9,755,0.7527472527472527,0.6285714285714286,0.782312925170068,0.7054421768707483,0.4943820224719101
10,105,0.6703296703296703,0.5869565217391305,0.6985294117647058,0.6427429667519182,0.47368421052631576
11,693,0.7417582417582418,0.5681818181818182,0.7971014492753623,0.6826416337285903,0.5154639175257733
12,759,0.7527472527472527,0.53125,0.8,0.665625,0.4303797468354431
13,914,0.6648351648351648,0.5294117647058824,0.6959459459459459,0.6126788553259142,0.37113402061855666
14,559,0.7417582417582418,0.6944444444444444,0.7534246575342466,0.7239345509893456,0.5154639175257733
15,90,0.7692307692307693,0.6,0.8169014084507042,0.7084507042253521,0.5333333333333332
16,605,0.7912087912087912,0.6585365853658537,0.8297872340425532,0.7441619097042034,0.5869565217391304
17,433,0.7692307692307693,0.7714285714285715,0.7687074829931972,0.7700680272108844,0.5625
18,33,0.7857142857142857,0.6410256410256411,0.8251748251748252,0.7331002331002332,0.5617977528089888
19,31,0.7582417582417582,0.631578947368421,0.7916666666666666,0.7116228070175439,0.5217391304347826
20,96,0.7472527472527473,0.7272727272727273,0.7516778523489933,0.7394752898108603,0.5106382978723404
21,224,0.7747252747252747,0.5714285714285714,0.8357142857142857,0.7035714285714285,0.5393258426966292
22,239,0.7857142857142857,0.6470588235294118,0.8175675675675675,0.7323131955484896,0.5301204819277109
23,518,0.7252747252747253,0.5641025641025641,0.7692307692307693,0.6666666666666667,0.46808510638297873
24,617,0.7087912087912088,0.5945945945945946,0.7379310344827587,0.6662628145386766,0.4536082474226804
25,28,0.7912087912087912,0.5357142857142857,0.8376623376623377,0.6866883116883117,0.44117647058823534
26,575,0.6648351648351648,0.45454545454545453,0.7318840579710145,0.5932147562582345,0.396039603960396
27,204,0.8076923076923077,0.6818181818181818,0.8478260869565217,0.7648221343873518,0.631578947368421
28,734,0.7087912087912088,0.5625,0.74,0.65125,0.4044943820224719
29,666,0.7087912087912088,0.5897435897435898,0.7412587412587412,0.6655011655011656,0.46464646464646464
30,719,0.7417582417582418,0.6341463414634146,0.7730496453900709,0.7035979934267428,0.5252525252525253
31,559,0.7417582417582418,0.6944444444444444,0.7534246575342466,0.7239345509893456,0.5154639175257733
32,430,0.7417582417582418,0.6578947368421053,0.7638888888888888,0.7108918128654971,0.5154639175257731
33,226,0.7527472527472527,0.5714285714285714,0.7959183673469388,0.6836734693877551,0.47058823529411764
34,460,0.7747252747252747,0.6511627906976745,0.8129496402877698,0.7320562154927222,0.577319587628866
35,604,0.7417582417582418,0.5476190476190477,0.8,0.6738095238095239,0.49462365591397855
36,285,0.7087912087912088,0.5882352941176471,0.7364864864864865,0.6623608903020668,0.43010752688172044
37,829,0.6923076923076923,0.575,0.7253521126760564,0.6501760563380281,0.45098039215686275
38,891,0.7362637362637363,0.5714285714285714,0.7662337662337663,0.6688311688311688,0.4
39,7,0.7857142857142857,0.6842105263157895,0.8125,0.7483552631578947,0.5714285714285714
40,778,0.6758241758241759,0.5945945945945946,0.696551724137931,0.6455731593662628,0.42718446601941745
41,826,0.7307692307692307,0.5483870967741935,0.7682119205298014,0.6582995086519974,0.4096385542168675
42,164,0.7362637362637363,0.5625,0.7733333333333333,0.6679166666666667,0.4285714285714286
43,715,0.7582417582417582,0.6486486486486487,0.7862068965517242,0.7174277726001864,0.5217391304347827
44,433,0.7692307692307693,0.7714285714285715,0.7687074829931972,0.7700680272108844,0.5625
45,349,0.7142857142857143,0.4838709677419355,0.7615894039735099,0.6227301858577228,0.36585365853658536
46,285,0.7087912087912088,0.5882352941176471,0.7364864864864865,0.6623608903020668,0.43010752688172044
47,160,0.7197802197802198,0.6744186046511628,0.7338129496402878,0.7041157771457253,0.5321100917431193
48,221,0.7307692307692307,0.6764705882352942,0.7432432432432432,0.7098569157392687,0.4842105263157894
49,981,0.7252747252747253,0.8148148148148148,0.7096774193548387,0.7622461170848267,0.4680851063829788
50,782,0.7747252747252747,0.7142857142857143,0.7928571428571428,0.7535714285714286,0.594059405940594
51,345,0.7197802197802198,0.7297297297297297,0.7172413793103448,0.7234855545200373,0.5142857142857142
52,105,0.6703296703296703,0.5869565217391305,0.6985294117647058,0.6427429667519182,0.47368421052631576
53,95,0.7802197802197802,0.7027027027027027,0.8,0.7513513513513514,0.5652173913043479
54,390,0.7472527472527473,0.6875,0.76,0.72375,0.4888888888888889
55,100,0.7527472527472527,0.5526315789473685,0.8055555555555556,0.679093567251462,0.4827586206896552
56,368,0.7087912087912088,0.4857142857142857,0.7619047619047619,0.6238095238095238,0.3908045977011494
57,868,0.7307692307692307,0.696969696969697,0.738255033557047,0.717612365263372,0.4842105263157895
58,353,0.7692307692307693,0.6190476190476191,0.8142857142857143,0.7166666666666667,0.5531914893617021
59,619,0.7087912087912088,0.5106382978723404,0.7777777777777778,0.6442080378250591,0.4752475247524752
60,271,0.7527472527472527,0.6666666666666666,0.7762237762237763,0.7214452214452214,0.536082474226804
61,827,0.6648351648351648,0.45454545454545453,0.7318840579710145,0.5932147562582345,0.396039603960396
62,45,0.7637362637362637,0.6285714285714286,0.7959183673469388,0.7122448979591837,0.5057471264367815
