model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8076923076923077,0.2926829268292683,0.9574468085106383,0.6250648676699533,0.4067796610169492
2,115,0.8296703296703297,0.40425531914893614,0.9777777777777777,0.6910165484633569,0.5507246376811594
3,26,0.8186813186813187,0.2857142857142857,0.9455782312925171,0.6156462585034014,0.3773584905660377
4,760,0.7967032967032966,0.34285714285714286,0.9047619047619048,0.6238095238095238,0.3934426229508197
5,282,0.7912087912087912,0.3953488372093023,0.9136690647482014,0.6545089509787518,0.4722222222222222
6,251,0.8351648351648352,0.28205128205128205,0.986013986013986,0.6340326340326341,0.4230769230769231
7,229,0.7582417582417582,0.24,0.9545454545454546,0.5972727272727273,0.3529411764705882
8,143,0.7857142857142857,0.4090909090909091,0.9057971014492754,0.6574440052700923,0.4800000000000001
9,755,0.8461538461538461,0.4857142857142857,0.9319727891156463,0.708843537414966,0.5483870967741936
10,105,0.8186813186813187,0.32608695652173914,0.9852941176470589,0.6556905370843991,0.47619047619047616
11,693,0.8351648351648352,0.4318181818181818,0.9637681159420289,0.6977931488801054,0.5588235294117647
12,759,0.8351648351648352,0.375,0.9333333333333333,0.6541666666666667,0.4444444444444444
13,914,0.8186813186813187,0.38235294117647056,0.918918918918919,0.6506359300476947,0.4406779661016949
14,559,0.8296703296703297,0.4166666666666667,0.9315068493150684,0.6740867579908676,0.49180327868852464
15,90,0.8296703296703297,0.425,0.9436619718309859,0.6843309859154929,0.5230769230769231
16,605,0.8626373626373627,0.43902439024390244,0.9858156028368794,0.7124199965403909,0.5901639344262295
17,433,0.8571428571428571,0.5714285714285714,0.9251700680272109,0.7482993197278911,0.606060606060606
18,33,0.8406593406593407,0.4358974358974359,0.951048951048951,0.6934731934731935,0.5396825396825398
19,31,0.8131868131868132,0.3157894736842105,0.9444444444444444,0.6301169590643274,0.41379310344827586
20,96,0.8571428571428571,0.5151515151515151,0.9328859060402684,0.7240187105958917,0.5666666666666667
21,224,0.8296703296703297,0.38095238095238093,0.9642857142857143,0.6726190476190477,0.5079365079365079
22,239,0.8736263736263736,0.4411764705882353,0.972972972972973,0.7070747217806042,0.5660377358490566
23,518,0.7637362637362637,0.28205128205128205,0.8951048951048951,0.5885780885780886,0.3384615384615385
24,617,0.7692307692307693,0.35135135135135137,0.8758620689655172,0.6136067101584343,0.38235294117647056
25,28,0.8296703296703297,0.21428571428571427,0.9415584415584416,0.577922077922078,0.27906976744186046
26,575,0.7802197802197802,0.3181818181818182,0.927536231884058,0.6228590250329381,0.4117647058823529
27,204,0.7967032967032966,0.25,0.9710144927536232,0.6105072463768115,0.3728813559322034
28,734,0.8241758241758241,0.3125,0.9333333333333333,0.6229166666666667,0.38461538461538464
