model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.6978021978021978,0.6341463414634146,0.7163120567375887,0.6752291991005017,0.48598130841121495
2,115,0.6868131868131868,0.8085106382978723,0.6444444444444445,0.7264775413711584,0.5714285714285714
3,26,0.6648351648351648,0.5142857142857142,0.7006802721088435,0.6074829931972789,0.37113402061855677
4,760,0.6098901098901099,0.5714285714285714,0.6190476190476191,0.5952380952380952,0.3603603603603604
5,282,0.5934065934065934,0.6976744186046512,0.5611510791366906,0.6294127488706709,0.4477611940298507
6,251,0.7087912087912088,0.8205128205128205,0.6783216783216783,0.7494172494172494,0.547008547008547
7,229,0.6153846153846154,0.62,0.6136363636363636,0.6168181818181818,0.46969696969696967
8,143,0.5879120879120879,0.5909090909090909,0.5869565217391305,0.5889328063241107,0.40944881889763785
9,755,0.6263736263736264,0.6285714285714286,0.6258503401360545,0.6272108843537415,0.39285714285714285
10,105,0.6043956043956044,0.717391304347826,0.5661764705882353,0.6417838874680306,0.4782608695652174
11,693,0.6208791208791209,0.6590909090909091,0.6086956521739131,0.6338932806324111,0.4566929133858268
12,759,0.6263736263736264,0.5,0.6533333333333333,0.5766666666666667,0.31999999999999995
13,914,0.6208791208791209,0.6176470588235294,0.6216216216216216,0.6196343402225755,0.3783783783783784
14,559,0.5769230769230769,0.6666666666666666,0.5547945205479452,0.610730593607306,0.384
15,90,0.6263736263736264,0.675,0.6126760563380281,0.6438380281690141,0.4426229508196721
16,605,0.6318681318681318,0.7560975609756098,0.5957446808510638,0.6759211209133368,0.4806201550387597
17,433,0.6208791208791209,0.7714285714285715,0.5850340136054422,0.6782312925170069,0.43902439024390244
18,33,0.5879120879120879,0.5384615384615384,0.6013986013986014,0.5699300699300699,0.3589743589743589
19,31,0.7087912087912088,0.7631578947368421,0.6944444444444444,0.7288011695906433,0.5225225225225225
20,96,0.6703296703296703,0.696969696969697,0.6644295302013423,0.6806996135855197,0.4339622641509434
21,224,0.6758241758241759,0.7619047619047619,0.65,0.7059523809523809,0.5203252032520325
22,239,0.6373626373626373,0.6764705882352942,0.6283783783783784,0.6524244833068362,0.4107142857142857
23,518,0.6153846153846154,0.5641025641025641,0.6293706293706294,0.5967365967365967,0.38596491228070173
24,617,0.6538461538461539,0.6486486486486487,0.6551724137931034,0.651910531220876,0.43243243243243246
25,28,0.6373626373626373,0.4642857142857143,0.6688311688311688,0.5665584415584415,0.2826086956521739
26,575,0.6263736263736264,0.6818181818181818,0.6086956521739131,0.6452569169960474,0.46875000000000006
27,204,0.6043956043956044,0.6818181818181818,0.5797101449275363,0.630764163372859,0.45454545454545453
28,734,0.5934065934065934,0.65625,0.58,0.618125,0.3620689655172414
29,666,0.6648351648351648,0.6923076923076923,0.6573426573426573,0.6748251748251748,0.4695652173913043
30,719,0.6428571428571429,0.5365853658536586,0.6737588652482269,0.6051721155509427,0.4036697247706422
31,559,0.5769230769230769,0.6666666666666666,0.5547945205479452,0.610730593607306,0.384
32,430,0.6428571428571429,0.5789473684210527,0.6597222222222222,0.6193347953216375,0.40366972477064217
33,226,0.6263736263736264,0.5428571428571428,0.6462585034013606,0.5945578231292517,0.3584905660377358
34,460,0.7087912087912088,0.7674418604651163,0.6906474820143885,0.7290446712397525,0.5546218487394958
35,604,0.6318681318681318,0.6428571428571429,0.6285714285714286,0.6357142857142857,0.4462809917355372
