model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.7362637362637363,0.5853658536585366,0.7801418439716312,0.6827538488150839,0.5
2,115,0.6813186813186813,0.6808510638297872,0.6814814814814815,0.6811662726556343,0.5245901639344263
3,26,0.7087912087912088,0.5142857142857142,0.7551020408163265,0.6346938775510204,0.4044943820224719
4,760,0.6483516483516484,0.5142857142857142,0.6802721088435374,0.5972789115646258,0.36
5,282,0.6153846153846154,0.6511627906976745,0.60431654676259,0.6277396687301322,0.4444444444444444
6,251,0.7472527472527473,0.7435897435897436,0.7482517482517482,0.745920745920746,0.5576923076923078
7,229,0.6538461538461539,0.52,0.7045454545454546,0.6122727272727273,0.45217391304347826
8,143,0.6428571428571429,0.5909090909090909,0.6594202898550725,0.6251646903820818,0.4444444444444445
9,755,0.6483516483516484,0.6285714285714286,0.6530612244897959,0.6408163265306122,0.4074074074074074
10,105,0.6373626373626373,0.6304347826086957,0.6397058823529411,0.6350703324808185,0.46774193548387094
11,693,0.6703296703296703,0.5909090909090909,0.6956521739130435,0.6432806324110671,0.46428571428571425
12,759,0.6648351648351648,0.46875,0.7066666666666667,0.5877083333333333,0.32967032967032966
13,914,0.6483516483516484,0.5882352941176471,0.6621621621621622,0.6251987281399046,0.3846153846153846
14,559,0.6318681318681318,0.6666666666666666,0.6232876712328768,0.6449771689497716,0.4173913043478261
15,90,0.6538461538461539,0.575,0.676056338028169,0.6255281690140845,0.42201834862385323
16,605,0.6483516483516484,0.6585365853658537,0.6453900709219859,0.6519633281439198,0.45762711864406774
17,433,0.6648351648351648,0.7142857142857143,0.6530612244897959,0.6836734693877551,0.45045045045045046
18,33,0.5934065934065934,0.46153846153846156,0.6293706293706294,0.5454545454545454,0.32727272727272727
19,31,0.7417582417582418,0.7368421052631579,0.7430555555555556,0.7399488304093567,0.5436893203883496
20,96,0.7197802197802198,0.696969696969697,0.7248322147651006,0.7109009558673989,0.4742268041237113
21,224,0.7087912087912088,0.6904761904761905,0.7142857142857143,0.7023809523809523,0.5225225225225225
22,239,0.7087912087912088,0.6764705882352942,0.7162162162162162,0.6963434022257552,0.46464646464646464
23,518,0.6373626373626373,0.5384615384615384,0.6643356643356644,0.6013986013986015,0.3888888888888889
24,617,0.6923076923076923,0.6216216216216216,0.7103448275862069,0.6659832246039142,0.4509803921568628
25,28,0.7087912087912088,0.4642857142857143,0.7532467532467533,0.6087662337662338,0.3291139240506329
26,575,0.6373626373626373,0.6363636363636364,0.6376811594202898,0.6370223978919631,0.459016393442623
27,204,0.6318681318681318,0.5681818181818182,0.6521739130434783,0.6101778656126482,0.4273504273504274
28,734,0.6208791208791209,0.59375,0.6266666666666667,0.6102083333333334,0.35514018691588783
29,666,0.6923076923076923,0.6410256410256411,0.7062937062937062,0.6736596736596736,0.4716981132075472
30,719,0.6593406593406593,0.5365853658536586,0.6950354609929078,0.6158104134232831,0.4150943396226416
31,559,0.6318681318681318,0.6666666666666666,0.6232876712328768,0.6449771689497716,0.4173913043478261
32,430,0.6813186813186813,0.5526315789473685,0.7152777777777778,0.6339546783625731,0.42
33,226,0.6538461538461539,0.5142857142857142,0.6870748299319728,0.6006802721088436,0.36363636363636365
34,460,0.7362637362637363,0.6976744186046512,0.7482014388489209,0.7229379287267861,0.5555555555555556
35,604,0.6758241758241759,0.5952380952380952,0.7,0.6476190476190475,0.4587155963302752
36,285,0.6483516483516484,0.6176470588235294,0.6554054054054054,0.6365262321144673,0.39622641509433965
37,829,0.6593406593406593,0.525,0.6971830985915493,0.6110915492957747,0.40384615384615385
38,891,0.7307692307692307,0.6785714285714286,0.7402597402597403,0.7094155844155845,0.43678160919540227
39,7,0.6868131868131868,0.5789473684210527,0.7152777777777778,0.6471125730994152,0.43564356435643564
40,778,0.5714285714285714,0.5675675675675675,0.5724137931034483,0.5699906803355079,0.35
41,826,0.7087912087912088,0.6129032258064516,0.7284768211920529,0.6706900234992523,0.4175824175824176
42,164,0.6428571428571429,0.5,0.6733333333333333,0.5866666666666667,0.32989690721649484
43,715,0.6428571428571429,0.5405405405405406,0.6689655172413793,0.6047530288909599,0.38095238095238093
44,433,0.6648351648351648,0.7142857142857143,0.6530612244897959,0.6836734693877551,0.45045045045045046
45,349,0.6538461538461539,0.45161290322580644,0.695364238410596,0.5734885708182013,0.3076923076923077
46,285,0.6483516483516484,0.6176470588235294,0.6554054054054054,0.6365262321144673,0.39622641509433965
47,160,0.6923076923076923,0.6976744186046512,0.6906474820143885,0.6941609503095199,0.5172413793103448
48,221,0.6263736263736264,0.5588235294117647,0.6418918918918919,0.6003577106518283,0.3584905660377359
49,981,0.5714285714285714,0.5925925925925926,0.567741935483871,0.5801672640382318,0.29090909090909095
50,782,0.6648351648351648,0.6428571428571429,0.6714285714285714,0.6571428571428571,0.46956521739130436
51,345,0.6428571428571429,0.5405405405405406,0.6689655172413793,0.6047530288909599,0.38095238095238093
52,105,0.6373626373626373,0.6304347826086957,0.6397058823529411,0.6350703324808185,0.46774193548387094
53,95,0.7142857142857143,0.7027027027027027,0.7172413793103448,0.7099720410065238,0.5
54,390,0.6978021978021978,0.59375,0.72,0.656875,0.40860215053763443
55,100,0.7252747252747253,0.5789473684210527,0.7638888888888888,0.6714181286549707,0.46808510638297873
56,368,0.6373626373626373,0.5142857142857142,0.6666666666666666,0.5904761904761904,0.3529411764705882
57,868,0.5989010989010989,0.6060606060606061,0.5973154362416108,0.6016880211511084,0.35398230088495575
58,353,0.6538461538461539,0.5952380952380952,0.6714285714285714,0.6333333333333333,0.44247787610619466
59,619,0.7087912087912088,0.46808510638297873,0.7925925925925926,0.6303388494877857,0.4536082474226804
60,271,0.6648351648351648,0.5384615384615384,0.6993006993006993,0.6188811188811189,0.4077669902912621
61,827,0.5714285714285714,0.5681818181818182,0.572463768115942,0.5703227931488801,0.39062500000000006
62,45,0.6868131868131868,0.5428571428571428,0.7210884353741497,0.6319727891156462,0.4
