model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8351648351648352,0.7317073170731707,0.8652482269503546,0.7984777720117626,0.6666666666666666
2,115,0.8021978021978022,0.5957446808510638,0.8740740740740741,0.734909377462569,0.608695652173913
3,26,0.7802197802197802,0.6285714285714286,0.8163265306122449,0.7224489795918367,0.5238095238095237
4,760,0.8241758241758241,0.6571428571428571,0.8639455782312925,0.7605442176870748,0.5897435897435898
5,282,0.8131868131868132,0.6976744186046512,0.8489208633093526,0.7732976409570018,0.6382978723404256
6,251,0.8076923076923077,0.5897435897435898,0.8671328671328671,0.7284382284382285,0.5679012345679013
7,229,0.7747252747252747,0.58,0.8484848484848485,0.7142424242424242,0.5858585858585857
8,143,0.8461538461538461,0.7045454545454546,0.8913043478260869,0.7979249011857708,0.688888888888889
9,755,0.8406593406593407,0.7142857142857143,0.8707482993197279,0.7925170068027211,0.6329113924050633
10,105,0.8296703296703297,0.6521739130434783,0.8897058823529411,0.7709398976982097,0.6593406593406593
11,693,0.8406593406593407,0.6590909090909091,0.8985507246376812,0.7788208168642952,0.6666666666666666
12,759,0.8626373626373627,0.65625,0.9066666666666666,0.7814583333333334,0.626865671641791
13,914,0.8131868131868132,0.6764705882352942,0.8445945945945946,0.7605325914149443,0.5750000000000001
14,559,0.8626373626373627,0.7777777777777778,0.8835616438356164,0.8306697108066972,0.6913580246913581
15,90,0.8461538461538461,0.75,0.8732394366197183,0.8116197183098591,0.6818181818181818
16,605,0.8076923076923077,0.5609756097560976,0.8794326241134752,0.7202041169347864,0.5679012345679012
17,433,0.8571428571428571,0.8285714285714286,0.8639455782312925,0.8462585034013606,0.6904761904761905
18,33,0.8681318681318682,0.6666666666666666,0.9230769230769231,0.7948717948717949,0.6842105263157895
19,31,0.8241758241758241,0.7105263157894737,0.8541666666666666,0.7823464912280702,0.627906976744186
20,96,0.8076923076923077,0.696969696969697,0.8322147651006712,0.764592231035184,0.5679012345679013
21,224,0.8021978021978022,0.5952380952380952,0.8642857142857143,0.7297619047619048,0.5813953488372093
22,239,0.8351648351648352,0.7058823529411765,0.8648648648648649,0.7853736089030208,0.6153846153846153
23,518,0.7802197802197802,0.5128205128205128,0.8531468531468531,0.682983682983683,0.5
24,617,0.8131868131868132,0.7297297297297297,0.8344827586206897,0.7821062441752097,0.6136363636363636
25,28,0.8461538461538461,0.6428571428571429,0.8831168831168831,0.762987012987013,0.5625000000000001
26,575,0.8516483516483516,0.7272727272727273,0.8913043478260869,0.8092885375494071,0.7032967032967034
27,204,0.8626373626373627,0.6590909090909091,0.927536231884058,0.7933135704874835,0.6987951807228915
28,734,0.8241758241758241,0.71875,0.8466666666666667,0.7827083333333333,0.5897435897435898
29,666,0.7967032967032966,0.6153846153846154,0.8461538461538461,0.7307692307692308,0.5647058823529412
30,719,0.8571428571428571,0.7804878048780488,0.8794326241134752,0.8299602144957621,0.711111111111111
31,559,0.8626373626373627,0.7777777777777778,0.8835616438356164,0.8306697108066972,0.6913580246913581
32,430,0.7637362637362637,0.5789473684210527,0.8125,0.6957236842105263,0.5057471264367815
33,226,0.8516483516483516,0.7142857142857143,0.8843537414965986,0.7993197278911565,0.6493506493506493
34,460,0.8571428571428571,0.7209302325581395,0.8992805755395683,0.8101054040488539,0.7045454545454545
35,604,0.8351648351648352,0.6190476190476191,0.9,0.7595238095238095,0.6341463414634146
36,285,0.8241758241758241,0.7352941176470589,0.8445945945945946,0.7899443561208268,0.6097560975609756
37,829,0.8296703296703297,0.6,0.8943661971830986,0.7471830985915493,0.6075949367088608
38,891,0.8626373626373627,0.6428571428571429,0.9025974025974026,0.7727272727272727,0.5901639344262296
39,7,0.8186813186813187,0.6578947368421053,0.8611111111111112,0.7595029239766082,0.6024096385542169
40,778,0.8406593406593407,0.7567567567567568,0.8620689655172413,0.8094128611369991,0.6588235294117648
41,826,0.8296703296703297,0.5483870967741935,0.8874172185430463,0.71790215765862,0.5230769230769231
42,164,0.8186813186813187,0.71875,0.84,0.7793749999999999,0.5822784810126582
43,715,0.8516483516483516,0.7027027027027027,0.8896551724137931,0.796178937558248,0.6582278481012659
44,433,0.8571428571428571,0.8285714285714286,0.8639455782312925,0.8462585034013606,0.6904761904761905
45,349,0.8461538461538461,0.5806451612903226,0.9006622516556292,0.7406537064729759,0.5625
46,285,0.8241758241758241,0.7352941176470589,0.8445945945945946,0.7899443561208268,0.6097560975609756
47,160,0.8131868131868132,0.6976744186046512,0.8489208633093526,0.7732976409570018,0.6382978723404256
48,221,0.8076923076923077,0.7058823529411765,0.831081081081081,0.7684817170111288,0.5783132530120482
49,981,0.9065934065934066,0.6666666666666666,0.9483870967741935,0.8075268817204301,0.6792452830188679
50,782,0.8351648351648352,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.6808510638297872
51,345,0.7912087912087912,0.7297297297297297,0.8068965517241379,0.7683131407269338,0.5869565217391305
52,105,0.8296703296703297,0.6521739130434783,0.8897058823529411,0.7709398976982097,0.6593406593406593
53,95,0.8351648351648352,0.7567567567567568,0.8551724137931035,0.8059645852749302,0.6511627906976745
54,390,0.8791208791208791,0.71875,0.9133333333333333,0.8160416666666667,0.676470588235294
55,100,0.8351648351648352,0.7368421052631579,0.8611111111111112,0.7989766081871346,0.6511627906976745
56,368,0.8131868131868132,0.6571428571428571,0.8503401360544217,0.7537414965986394,0.575
57,868,0.8626373626373627,0.696969696969697,0.8993288590604027,0.7981492780150499,0.6478873239436619
58,353,0.8296703296703297,0.6190476190476191,0.8928571428571429,0.7559523809523809,0.6265060240963854
59,619,0.7967032967032966,0.574468085106383,0.8740740740740741,0.7242710795902285,0.5934065934065934
60,271,0.8241758241758241,0.6666666666666666,0.8671328671328671,0.7668997668997668,0.619047619047619
61,827,0.8351648351648352,0.6136363636363636,0.9057971014492754,0.7597167325428196,0.6428571428571429
62,45,0.8406593406593407,0.7142857142857143,0.8707482993197279,0.7925170068027211,0.6329113924050633
63,748,0.8571428571428571,0.6666666666666666,0.9041095890410958,0.7853881278538812,0.6486486486486486
64,471,0.8571428571428571,0.8,0.8707482993197279,0.8353741496598639,0.6829268292682927
65,550,0.8186813186813187,0.6666666666666666,0.8486842105263158,0.7576754385964912,0.547945205479452
66,128,0.8516483516483516,0.6111111111111112,0.910958904109589,0.76103500761035,0.619718309859155
67,997,0.8021978021978022,0.6744186046511628,0.841726618705036,0.7580726116780994,0.6170212765957446
68,945,0.8186813186813187,0.65625,0.8533333333333334,0.7547916666666667,0.5599999999999999
69,388,0.8461538461538461,0.6153846153846154,0.8846153846153846,0.75,0.5333333333333333
70,81,0.8186813186813187,0.6571428571428571,0.8571428571428571,0.7571428571428571,0.5822784810126581
71,566,0.8296703296703297,0.65,0.8802816901408451,0.7651408450704226,0.6265060240963854
72,301,0.7967032967032966,0.5675675675675675,0.8551724137931035,0.7113699906803355,0.5316455696202531
73,850,0.7967032967032966,0.6578947368421053,0.8333333333333334,0.7456140350877194,0.574712643678161
74,644,0.8571428571428571,0.6578947368421053,0.9097222222222222,0.7838084795321638,0.6578947368421053
75,634,0.8626373626373627,0.7142857142857143,0.8979591836734694,0.8061224489795918,0.6666666666666666
76,907,0.8186813186813187,0.6097560975609756,0.8794326241134752,0.7445943608372254,0.6024096385542169
77,883,0.8571428571428571,0.7586206896551724,0.8758169934640523,0.8172188415596123,0.6285714285714286
78,371,0.8516483516483516,0.7352941176470589,0.8783783783783784,0.8068362480127187,0.6493506493506493
79,592,0.8076923076923077,0.5588235294117647,0.8648648648648649,0.7118441971383148,0.5205479452054794
80,197,0.8131868131868132,0.76,0.821656050955414,0.790828025477707,0.5277777777777778
81,722,0.8681318681318682,0.7037037037037037,0.896774193548387,0.8002389486260454,0.6129032258064516
82,72,0.7692307692307693,0.5227272727272727,0.8478260869565217,0.6852766798418972,0.5227272727272727
83,47,0.8516483516483516,0.7027027027027027,0.8896551724137931,0.796178937558248,0.6582278481012659
84,678,0.8516483516483516,0.813953488372093,0.8633093525179856,0.8386314204450394,0.7216494845360826
85,234,0.8351648351648352,0.631578947368421,0.8888888888888888,0.7602339181286549,0.6153846153846154
86,792,0.7912087912087912,0.6511627906976745,0.8345323741007195,0.7428475823991969,0.5957446808510639
87,297,0.8186813186813187,0.75,0.8405797101449275,0.7952898550724637,0.6666666666666665
88,82,0.8131868131868132,0.6,0.8639455782312925,0.7319727891156462,0.5526315789473684
89,876,0.8461538461538461,0.6829268292682927,0.8936170212765957,0.7882719252724442,0.6666666666666667
90,239,0.8351648351648352,0.7058823529411765,0.8648648648648649,0.7853736089030208,0.6153846153846153
91,888,0.8241758241758241,0.7045454545454546,0.8623188405797102,0.7834321475625824,0.6595744680851063
92,104,0.7912087912087912,0.65625,0.82,0.7381249999999999,0.525
93,390,0.8791208791208791,0.71875,0.9133333333333333,0.8160416666666667,0.676470588235294
94,285,0.8241758241758241,0.7352941176470589,0.8445945945945946,0.7899443561208268,0.6097560975609756
95,465,0.8131868131868132,0.6764705882352942,0.8445945945945946,0.7605325914149443,0.5750000000000001
96,651,0.8296703296703297,0.7,0.8661971830985915,0.7830985915492957,0.6436781609195402
97,855,0.8406593406593407,0.675,0.8873239436619719,0.7811619718309859,0.6506024096385542
98,374,0.8186813186813187,0.6,0.8618421052631579,0.7309210526315789,0.5217391304347826
99,167,0.8571428571428571,0.675,0.9084507042253521,0.7917253521126761,0.675
100,380,0.8571428571428571,0.6052631578947368,0.9236111111111112,0.7644371345029239,0.6388888888888888
