model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8241758241758241,0.5121951219512195,0.9148936170212766,0.713544369486248,0.5675675675675675
2,115,0.8516483516483516,0.5957446808510638,0.9407407407407408,0.7682427107959022,0.674698795180723
3,26,0.8296703296703297,0.5142857142857142,0.9047619047619048,0.7095238095238094,0.5373134328358209
4,760,0.8351648351648352,0.6,0.891156462585034,0.745578231292517,0.5833333333333333
5,282,0.8076923076923077,0.46511627906976744,0.9136690647482014,0.6893926719089845,0.5333333333333334
6,251,0.8516483516483516,0.5128205128205128,0.9440559440559441,0.7284382284382285,0.5970149253731343
7,229,0.7582417582417582,0.5,0.8560606060606061,0.678030303030303,0.5319148936170213
8,143,0.8461538461538461,0.6363636363636364,0.9130434782608695,0.7747035573122529,0.6666666666666666
9,755,0.8461538461538461,0.5714285714285714,0.9115646258503401,0.7414965986394557,0.588235294117647
10,105,0.8131868131868132,0.5217391304347826,0.9117647058823529,0.7167519181585678,0.5853658536585366
11,693,0.8736263736263736,0.6363636363636364,0.9492753623188406,0.7928194993412385,0.7088607594936709
12,759,0.8516483516483516,0.53125,0.92,0.725625,0.5573770491803278
13,914,0.8736263736263736,0.6470588235294118,0.9256756756756757,0.7863672496025438,0.6567164179104478
14,559,0.8571428571428571,0.6111111111111112,0.9178082191780822,0.7644596651445967,0.6285714285714287
15,90,0.8791208791208791,0.725,0.9225352112676056,0.8237676056338028,0.7250000000000001
16,605,0.8406593406593407,0.6097560975609756,0.9078014184397163,0.758778758000346,0.6329113924050632
17,433,0.8846153846153846,0.7142857142857143,0.9251700680272109,0.8197278911564626,0.7042253521126761
18,33,0.8626373626373627,0.5897435897435898,0.9370629370629371,0.7634032634032635,0.6478873239436619
19,31,0.8241758241758241,0.631578947368421,0.875,0.7532894736842105,0.6
20,96,0.8461538461538461,0.6666666666666666,0.8859060402684564,0.7762863534675615,0.611111111111111
21,224,0.8076923076923077,0.5,0.9,0.7,0.5454545454545454
22,239,0.8571428571428571,0.6764705882352942,0.8986486486486487,0.7875596184419714,0.6388888888888888
23,518,0.8186813186813187,0.46153846153846156,0.916083916083916,0.6888111888111887,0.5217391304347826
24,617,0.8571428571428571,0.6216216216216216,0.9172413793103448,0.7694315004659832,0.6388888888888888
25,28,0.8351648351648352,0.5714285714285714,0.8831168831168831,0.7272727272727273,0.5161290322580646
26,575,0.8626373626373627,0.5681818181818182,0.9565217391304348,0.7623517786561265,0.6666666666666667
27,204,0.8296703296703297,0.5681818181818182,0.9130434782608695,0.7406126482213439,0.617283950617284
28,734,0.8461538461538461,0.59375,0.9,0.746875,0.5757575757575757
29,666,0.8186813186813187,0.5384615384615384,0.8951048951048951,0.7167832167832168,0.5599999999999999
30,719,0.8571428571428571,0.5609756097560976,0.9432624113475178,0.7521190105518076,0.638888888888889
31,559,0.8571428571428571,0.6111111111111112,0.9178082191780822,0.7644596651445967,0.6285714285714287
32,430,0.8516483516483516,0.6578947368421053,0.9027777777777778,0.7803362573099415,0.6493506493506495
33,226,0.8186813186813187,0.6571428571428571,0.8571428571428571,0.7571428571428571,0.5822784810126581
34,460,0.8791208791208791,0.6511627906976745,0.9496402877697842,0.8004015392337294,0.7179487179487181
35,604,0.8516483516483516,0.5476190476190477,0.9428571428571428,0.7452380952380953,0.6301369863013699
36,285,0.8296703296703297,0.6470588235294118,0.8716216216216216,0.7593402225755167,0.5866666666666668
37,829,0.8461538461538461,0.55,0.9295774647887324,0.7397887323943662,0.6111111111111112
38,891,0.8571428571428571,0.5714285714285714,0.9090909090909091,0.7402597402597402,0.5517241379310344
39,7,0.8626373626373627,0.6578947368421053,0.9166666666666666,0.7872807017543859,0.6666666666666667
40,778,0.8296703296703297,0.7027027027027027,0.8620689655172413,0.7823858341099721,0.6265060240963856
41,826,0.8296703296703297,0.45161290322580644,0.9072847682119205,0.6794488357188635,0.47457627118644063
42,164,0.8516483516483516,0.625,0.9,0.7625,0.5970149253731343
43,715,0.8186813186813187,0.6486486486486487,0.8620689655172413,0.755358807082945,0.5925925925925926
44,433,0.8846153846153846,0.7142857142857143,0.9251700680272109,0.8197278911564626,0.7042253521126761
45,349,0.8406593406593407,0.5161290322580645,0.9072847682119205,0.7117069002349925,0.5245901639344263
46,285,0.8296703296703297,0.6470588235294118,0.8716216216216216,0.7593402225755167,0.5866666666666668
47,160,0.8406593406593407,0.5813953488372093,0.920863309352518,0.7511293290948637,0.6329113924050633
48,221,0.8461538461538461,0.6176470588235294,0.8986486486486487,0.7581478537360891,0.6
49,981,0.8626373626373627,0.48148148148148145,0.9290322580645162,0.7052568697729988,0.5098039215686274
50,782,0.8186813186813187,0.5952380952380952,0.8857142857142857,0.7404761904761905,0.6024096385542169
51,345,0.8296703296703297,0.5945945945945946,0.8896551724137931,0.7421248835041938,0.5866666666666667
52,105,0.8131868131868132,0.5217391304347826,0.9117647058823529,0.7167519181585678,0.5853658536585366
53,95,0.8626373626373627,0.5945945945945946,0.9310344827586207,0.7628145386766076,0.6376811594202898
54,390,0.8461538461538461,0.5625,0.9066666666666666,0.7345833333333334,0.5625
55,100,0.8296703296703297,0.5526315789473685,0.9027777777777778,0.7277046783625731,0.5753424657534247
56,368,0.8736263736263736,0.5714285714285714,0.9455782312925171,0.7585034013605443,0.634920634920635
57,868,0.8791208791208791,0.6363636363636364,0.9328859060402684,0.7846247712019524,0.65625
58,353,0.7912087912087912,0.5,0.8785714285714286,0.6892857142857143,0.525
59,619,0.8186813186813187,0.5106382978723404,0.9259259259259259,0.7182821118991332,0.5925925925925926
60,271,0.8571428571428571,0.6923076923076923,0.9020979020979021,0.7972027972027972,0.675
61,827,0.8241758241758241,0.5,0.927536231884058,0.713768115942029,0.5789473684210527
62,45,0.8351648351648352,0.45714285714285713,0.9251700680272109,0.691156462585034,0.5161290322580645
63,748,0.8571428571428571,0.5555555555555556,0.9315068493150684,0.743531202435312,0.606060606060606
