model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8516483516483516,0.7317073170731707,0.8865248226950354,0.8091160698841031,0.6896551724137931
2,115,0.8351648351648352,0.723404255319149,0.8740740740740741,0.7987391646966115,0.6938775510204082
3,26,0.8021978021978022,0.5142857142857142,0.8707482993197279,0.6925170068027211,0.5
4,760,0.8241758241758241,0.6,0.8775510204081632,0.7387755102040816,0.5675675675675675
5,282,0.8351648351648352,0.6511627906976745,0.8920863309352518,0.7716245608164631,0.6511627906976745
6,251,0.8406593406593407,0.6410256410256411,0.8951048951048951,0.7680652680652681,0.6329113924050633
7,229,0.7857142857142857,0.6,0.8560606060606061,0.728030303030303,0.6060606060606062
8,143,0.8241758241758241,0.6363636363636364,0.8840579710144928,0.7602108036890646,0.6363636363636364
9,755,0.8516483516483516,0.7142857142857143,0.8843537414965986,0.7993197278911565,0.6493506493506493
10,105,0.8131868131868132,0.6739130434782609,0.8602941176470589,0.7671035805626598,0.6458333333333334
11,693,0.8571428571428571,0.6590909090909091,0.9202898550724637,0.7896903820816864,0.6904761904761905
12,759,0.8571428571428571,0.65625,0.9,0.778125,0.6176470588235293
13,914,0.8791208791208791,0.7941176470588235,0.8986486486486487,0.846383147853736,0.7105263157894737
14,559,0.9065934065934066,0.8333333333333334,0.9246575342465754,0.8789954337899544,0.7792207792207793
15,90,0.8021978021978022,0.7,0.8309859154929577,0.7654929577464789,0.608695652173913
16,605,0.8076923076923077,0.6585365853658537,0.851063829787234,0.7548002075765439,0.6067415730337078
17,433,0.8681318681318682,0.8285714285714286,0.8775510204081632,0.8530612244897959,0.7073170731707318
18,33,0.8461538461538461,0.6666666666666666,0.8951048951048951,0.7808857808857809,0.6499999999999999
19,31,0.8516483516483516,0.7368421052631579,0.8819444444444444,0.8093932748538011,0.6746987951807228
20,96,0.8351648351648352,0.7272727272727273,0.8590604026845637,0.7931665649786455,0.6153846153846153
21,224,0.8241758241758241,0.6190476190476191,0.8857142857142857,0.7523809523809524,0.6190476190476191
22,239,0.8296703296703297,0.5882352941176471,0.8851351351351351,0.7366852146263911,0.5633802816901409
23,518,0.8351648351648352,0.6666666666666666,0.8811188811188811,0.7738927738927739,0.6341463414634145
24,617,0.8296703296703297,0.7027027027027027,0.8620689655172413,0.7823858341099721,0.6265060240963856
25,28,0.8571428571428571,0.75,0.8766233766233766,0.8133116883116883,0.6176470588235295
26,575,0.8186813186813187,0.6590909090909091,0.8695652173913043,0.7643280632411067,0.6373626373626374
27,204,0.8351648351648352,0.6363636363636364,0.8985507246376812,0.7674571805006587,0.6511627906976744
28,734,0.8351648351648352,0.71875,0.86,0.7893749999999999,0.6052631578947368
29,666,0.8076923076923077,0.6923076923076923,0.8391608391608392,0.7657342657342657,0.6067415730337079
30,719,0.8296703296703297,0.6341463414634146,0.8865248226950354,0.760335582079225,0.6265060240963854
31,559,0.9065934065934066,0.8333333333333334,0.9246575342465754,0.8789954337899544,0.7792207792207793
32,430,0.7857142857142857,0.631578947368421,0.8263888888888888,0.7289839181286549,0.5517241379310346
33,226,0.8516483516483516,0.6571428571428571,0.8979591836734694,0.7775510204081633,0.6301369863013698
34,460,0.8516483516483516,0.6976744186046512,0.8992805755395683,0.7984774970721098,0.6896551724137931
35,604,0.8571428571428571,0.6904761904761905,0.9071428571428571,0.7988095238095239,0.6904761904761905
