model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8461538461538461,0.5853658536585366,0.9219858156028369,0.7536758346306867,0.6315789473684211
2,115,0.8351648351648352,0.5957446808510638,0.9185185185185185,0.7571315996847912,0.6511627906976744
3,26,0.8241758241758241,0.42857142857142855,0.9183673469387755,0.673469387755102,0.48387096774193544
4,760,0.8461538461538461,0.5428571428571428,0.9183673469387755,0.7306122448979592,0.5757575757575757
5,282,0.8296703296703297,0.4883720930232558,0.935251798561151,0.7118119457922034,0.5753424657534246
6,251,0.8406593406593407,0.5641025641025641,0.916083916083916,0.7400932400932401,0.6027397260273972
7,229,0.7802197802197802,0.46,0.9015151515151515,0.6807575757575758,0.5348837209302325
8,143,0.8351648351648352,0.6136363636363636,0.9057971014492754,0.7597167325428196,0.6428571428571429
9,755,0.8681318681318682,0.6,0.9319727891156463,0.7659863945578231,0.6363636363636364
10,105,0.8241758241758241,0.5434782608695652,0.9191176470588235,0.7312979539641944,0.6097560975609756
11,693,0.8791208791208791,0.6136363636363636,0.9637681159420289,0.7887022397891963,0.7105263157894737
12,759,0.8736263736263736,0.53125,0.9466666666666667,0.7389583333333334,0.5964912280701754
13,914,0.9010989010989011,0.6470588235294118,0.9594594594594594,0.8032591414944357,0.7096774193548386
14,559,0.9065934065934066,0.6944444444444444,0.958904109589041,0.8266742770167428,0.746268656716418
15,90,0.8406593406593407,0.625,0.9014084507042254,0.7632042253521127,0.6329113924050633
16,605,0.8406593406593407,0.6341463414634146,0.900709219858156,0.7674277806607853,0.6419753086419754
17,433,0.8901098901098901,0.7428571428571429,0.9251700680272109,0.834013605442177,0.7222222222222223
18,33,0.8791208791208791,0.6153846153846154,0.951048951048951,0.7832167832167832,0.6857142857142857
19,31,0.8626373626373627,0.631578947368421,0.9236111111111112,0.7775950292397661,0.6575342465753424
20,96,0.8626373626373627,0.6363636363636364,0.912751677852349,0.7745576571079926,0.6268656716417911
21,224,0.8406593406593407,0.5476190476190477,0.9285714285714286,0.7380952380952381,0.6133333333333334
22,239,0.8461538461538461,0.47058823529411764,0.9324324324324325,0.7015103338632751,0.5333333333333333
23,518,0.8461538461538461,0.5897435897435898,0.916083916083916,0.7529137529137528,0.6216216216216216
24,617,0.8296703296703297,0.6216216216216216,0.8827586206896552,0.7521901211556383,0.5974025974025973
25,28,0.8626373626373627,0.6071428571428571,0.9090909090909091,0.7581168831168831,0.5762711864406779
26,575,0.8351648351648352,0.5454545454545454,0.927536231884058,0.7364953886693018,0.6153846153846153
27,204,0.8406593406593407,0.5454545454545454,0.9347826086956522,0.7401185770750989,0.6233766233766234
28,734,0.8626373626373627,0.625,0.9133333333333333,0.7691666666666667,0.6153846153846154
29,666,0.8296703296703297,0.6410256410256411,0.8811188811188811,0.7610722610722611,0.617283950617284
30,719,0.8296703296703297,0.4878048780487805,0.9290780141843972,0.7084414461165889,0.5633802816901409
31,559,0.9065934065934066,0.6944444444444444,0.958904109589041,0.8266742770167428,0.746268656716418
32,430,0.8406593406593407,0.631578947368421,0.8958333333333334,0.7637061403508771,0.6233766233766234
33,226,0.8681318681318682,0.6,0.9319727891156463,0.7659863945578231,0.6363636363636364
34,460,0.8626373626373627,0.627906976744186,0.935251798561151,0.7815793876526685,0.6835443037974683
35,604,0.8516483516483516,0.5238095238095238,0.95,0.736904761904762,0.6197183098591549
36,285,0.8791208791208791,0.7058823529411765,0.918918918918919,0.8124006359300477,0.6857142857142857
37,829,0.8461538461538461,0.5,0.9436619718309859,0.721830985915493,0.588235294117647
38,891,0.8956043956043956,0.6785714285714286,0.935064935064935,0.8068181818181819,0.6666666666666666
39,7,0.8736263736263736,0.631578947368421,0.9375,0.7845394736842105,0.676056338028169
40,778,0.8461538461538461,0.6216216216216216,0.903448275862069,0.7625349487418454,0.6216216216216216
41,826,0.8626373626373627,0.5806451612903226,0.9205298013245033,0.7505874813074129,0.5901639344262295
42,164,0.8571428571428571,0.625,0.9066666666666666,0.7658333333333334,0.6060606060606061
43,715,0.8626373626373627,0.6756756756756757,0.9103448275862069,0.7930102516309413,0.6666666666666667
44,433,0.8901098901098901,0.7428571428571429,0.9251700680272109,0.834013605442177,0.7222222222222223
45,349,0.8516483516483516,0.45161290322580644,0.9337748344370861,0.6926938688314462,0.509090909090909
46,285,0.8791208791208791,0.7058823529411765,0.918918918918919,0.8124006359300477,0.6857142857142857
47,160,0.8406593406593407,0.5348837209302325,0.935251798561151,0.7350677597456918,0.6133333333333333
48,221,0.8736263736263736,0.6764705882352942,0.918918918918919,0.7976947535771066,0.6666666666666666
49,981,0.9010989010989011,0.5925925925925926,0.9548387096774194,0.773715651135006,0.6399999999999999
50,782,0.8681318681318682,0.6666666666666666,0.9285714285714286,0.7976190476190477,0.7
51,345,0.8626373626373627,0.6216216216216216,0.9241379310344827,0.7728797763280522,0.6478873239436619
52,105,0.8241758241758241,0.5434782608695652,0.9191176470588235,0.7312979539641944,0.6097560975609756
53,95,0.8681318681318682,0.5675675675675675,0.9448275862068966,0.756197576887232,0.6363636363636365
54,390,0.8846153846153846,0.5625,0.9533333333333334,0.7579166666666667,0.631578947368421
55,100,0.8791208791208791,0.631578947368421,0.9444444444444444,0.7880116959064327,0.6857142857142857
56,368,0.8461538461538461,0.5142857142857142,0.9251700680272109,0.7197278911564626,0.5625
57,868,0.8791208791208791,0.6060606060606061,0.9395973154362416,0.7728289607484238,0.6451612903225807
58,353,0.8736263736263736,0.5476190476190477,0.9714285714285714,0.7595238095238095,0.6666666666666667
59,619,0.8241758241758241,0.46808510638297873,0.9481481481481482,0.7081166272655635,0.5789473684210527
60,271,0.8186813186813187,0.48717948717948717,0.9090909090909091,0.6981351981351981,0.5352112676056338
61,827,0.8186813186813187,0.4318181818181818,0.9420289855072463,0.6869235836627141,0.5352112676056339
62,45,0.8791208791208791,0.6,0.9455782312925171,0.7727891156462585,0.65625
63,748,0.8791208791208791,0.6111111111111112,0.9452054794520548,0.778158295281583,0.6666666666666666
64,471,0.8791208791208791,0.6571428571428571,0.9319727891156463,0.7945578231292517,0.676470588235294
65,550,0.8516483516483516,0.6666666666666666,0.8881578947368421,0.7774122807017544,0.5970149253731343
66,128,0.8681318681318682,0.6111111111111112,0.9315068493150684,0.7713089802130898,0.6470588235294118
67,997,0.8021978021978022,0.5348837209302325,0.8848920863309353,0.7098879036305838,0.5609756097560975
68,945,0.8681318681318682,0.625,0.92,0.7725,0.625
69,388,0.8626373626373627,0.5769230769230769,0.9102564102564102,0.7435897435897436,0.5454545454545454
70,81,0.8681318681318682,0.5142857142857142,0.9523809523809523,0.7333333333333333,0.6
71,566,0.8626373626373627,0.6,0.9366197183098591,0.7683098591549296,0.6575342465753425
72,301,0.8296703296703297,0.4864864864864865,0.9172413793103448,0.7018639328984156,0.5373134328358209
73,850,0.8076923076923077,0.631578947368421,0.8541666666666666,0.7428728070175439,0.5783132530120482
74,644,0.8516483516483516,0.5526315789473685,0.9305555555555556,0.741593567251462,0.6086956521739131
75,634,0.8571428571428571,0.5714285714285714,0.9251700680272109,0.7482993197278911,0.606060606060606
76,907,0.8186813186813187,0.5365853658536586,0.900709219858156,0.7186472928559073,0.5714285714285715
77,883,0.8736263736263736,0.6896551724137931,0.9084967320261438,0.7990759522199684,0.6349206349206349
78,371,0.8791208791208791,0.6176470588235294,0.9391891891891891,0.7784181240063592,0.65625
79,592,0.8626373626373627,0.5588235294117647,0.9324324324324325,0.7456279809220986,0.6031746031746031
80,197,0.9065934065934066,0.84,0.9171974522292994,0.8785987261146497,0.711864406779661
81,722,0.8901098901098901,0.6666666666666666,0.9290322580645162,0.7978494623655914,0.6428571428571429
82,72,0.7472527472527473,0.38636363636363635,0.8623188405797102,0.6243412384716733,0.425
83,47,0.8571428571428571,0.5135135135135135,0.9448275862068966,0.729170549860205,0.59375
84,678,0.8791208791208791,0.6976744186046512,0.935251798561151,0.816463108582901,0.7317073170731708
85,234,0.8406593406593407,0.42105263157894735,0.9513888888888888,0.6862207602339181,0.5245901639344263
86,792,0.8571428571428571,0.6511627906976745,0.920863309352518,0.7860130500250962,0.6829268292682927
87,297,0.8406593406593407,0.6136363636363636,0.9130434782608695,0.7633399209486166,0.6506024096385543
88,82,0.8296703296703297,0.5142857142857142,0.9047619047619048,0.7095238095238094,0.5373134328358209
89,876,0.8846153846153846,0.6341463414634146,0.9574468085106383,0.7957965749870265,0.7123287671232876
90,239,0.8461538461538461,0.47058823529411764,0.9324324324324325,0.7015103338632751,0.5333333333333333
91,888,0.8406593406593407,0.5681818181818182,0.927536231884058,0.7478590250329381,0.6329113924050633
92,104,0.8076923076923077,0.5,0.8733333333333333,0.6866666666666666,0.4776119402985075
93,390,0.8846153846153846,0.5625,0.9533333333333334,0.7579166666666667,0.631578947368421
94,285,0.8791208791208791,0.7058823529411765,0.918918918918919,0.8124006359300477,0.6857142857142857
95,465,0.8461538461538461,0.5,0.9256756756756757,0.7128378378378378,0.5483870967741935
96,651,0.8406593406593407,0.575,0.9154929577464789,0.7452464788732394,0.6133333333333333
97,855,0.8131868131868132,0.45,0.9154929577464789,0.6827464788732395,0.5142857142857143
98,374,0.8736263736263736,0.5333333333333333,0.9407894736842105,0.7370614035087719,0.5818181818181818
99,167,0.8461538461538461,0.5,0.9436619718309859,0.721830985915493,0.588235294117647
100,380,0.8241758241758241,0.47368421052631576,0.9166666666666666,0.6951754385964912,0.5294117647058824
