model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8351648351648352,0.6341463414634146,0.8936170212765957,0.7638816813700051,0.6341463414634146
2,115,0.7967032967032966,0.6382978723404256,0.8518518518518519,0.7450748620961387,0.6185567010309279
3,26,0.8406593406593407,0.6285714285714286,0.891156462585034,0.7598639455782312,0.6027397260273972
4,760,0.8351648351648352,0.5714285714285714,0.8979591836734694,0.7346938775510203,0.5714285714285714
5,282,0.7912087912087912,0.5813953488372093,0.8561151079136691,0.7187552283754393,0.5681818181818183
6,251,0.8626373626373627,0.6153846153846154,0.9300699300699301,0.7727272727272727,0.6575342465753424
7,229,0.7747252747252747,0.56,0.8560606060606061,0.708030303030303,0.577319587628866
8,143,0.8131868131868132,0.5681818181818182,0.8913043478260869,0.7297430830039526,0.5952380952380952
9,755,0.8406593406593407,0.6285714285714286,0.891156462585034,0.7598639455782312,0.6027397260273972
10,105,0.8076923076923077,0.717391304347826,0.8382352941176471,0.7778132992327366,0.6534653465346534
11,693,0.8461538461538461,0.6818181818181818,0.8985507246376812,0.7901844532279314,0.6818181818181818
12,759,0.8791208791208791,0.625,0.9333333333333333,0.7791666666666667,0.6451612903225806
13,914,0.8131868131868132,0.6470588235294118,0.8513513513513513,0.7492050874403815,0.5641025641025642
14,559,0.8901098901098901,0.7777777777777778,0.9178082191780822,0.84779299847793,0.7368421052631577
15,90,0.8406593406593407,0.65,0.8943661971830986,0.7721830985915493,0.6419753086419754
16,605,0.8516483516483516,0.7073170731707317,0.8936170212765957,0.8004670472236637,0.6823529411764706
17,433,0.8736263736263736,0.8285714285714286,0.8843537414965986,0.8564625850340136,0.7160493827160495
18,33,0.8516483516483516,0.6666666666666666,0.9020979020979021,0.7843822843822843,0.6582278481012659
19,31,0.8406593406593407,0.7368421052631579,0.8680555555555556,0.8024488304093567,0.6588235294117647
20,96,0.8571428571428571,0.7272727272727273,0.8859060402684564,0.8065893837705919,0.6486486486486487
21,224,0.8186813186813187,0.5952380952380952,0.8857142857142857,0.7404761904761905,0.6024096385542169
22,239,0.8571428571428571,0.7058823529411765,0.8918918918918919,0.7988871224165341,0.6486486486486486
23,518,0.8351648351648352,0.5384615384615384,0.916083916083916,0.7272727272727273,0.5833333333333334
24,617,0.8461538461538461,0.6756756756756757,0.8896551724137931,0.7826654240447344,0.6410256410256411
25,28,0.8461538461538461,0.6428571428571429,0.8831168831168831,0.762987012987013,0.5625000000000001
26,575,0.8406593406593407,0.7045454545454546,0.8840579710144928,0.7943017127799736,0.6813186813186813
27,204,0.8516483516483516,0.7045454545454546,0.8985507246376812,0.8015480895915679,0.6966292134831461
28,734,0.8021978021978022,0.65625,0.8333333333333334,0.7447916666666667,0.5384615384615383
29,666,0.8296703296703297,0.6923076923076923,0.8671328671328671,0.7797202797202797,0.6352941176470588
30,719,0.8736263736263736,0.6585365853658537,0.9361702127659575,0.7973533990659056,0.7012987012987012
31,559,0.8901098901098901,0.7777777777777778,0.9178082191780822,0.84779299847793,0.7368421052631577
32,430,0.8131868131868132,0.5526315789473685,0.8819444444444444,0.7172880116959064,0.5526315789473685
