model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8406593406593407,0.4634146341463415,0.950354609929078,0.7068846220377097,0.5671641791044776
2,115,0.8296703296703297,0.40425531914893614,0.9777777777777777,0.6910165484633569,0.5507246376811594
3,26,0.8461538461538461,0.4,0.9523809523809523,0.6761904761904762,0.5
4,760,0.8681318681318682,0.42857142857142855,0.9727891156462585,0.7006802721088435,0.5555555555555555
5,282,0.8241758241758241,0.3488372093023256,0.9712230215827338,0.6600301154425297,0.48387096774193555
6,251,0.8571428571428571,0.38461538461538464,0.986013986013986,0.6853146853146853,0.5357142857142858
7,229,0.7912087912087912,0.38,0.946969696969697,0.6634848484848486,0.5
8,143,0.8461538461538461,0.4318181818181818,0.9782608695652174,0.7050395256916996,0.5757575757575758
9,755,0.8571428571428571,0.34285714285714286,0.9795918367346939,0.6612244897959183,0.48000000000000004
10,105,0.8241758241758241,0.45652173913043476,0.9485294117647058,0.7025255754475703,0.5675675675675675
11,693,0.8681318681318682,0.5,0.9855072463768116,0.7427536231884058,0.6470588235294118
12,759,0.8571428571428571,0.34375,0.9666666666666667,0.6552083333333334,0.4583333333333333
13,914,0.8681318681318682,0.47058823529411764,0.9594594594594594,0.7150238473767885,0.5714285714285714
14,559,0.8791208791208791,0.5555555555555556,0.958904109589041,0.7572298325722984,0.6451612903225806
15,90,0.8406593406593407,0.375,0.971830985915493,0.6734154929577465,0.5084745762711864
16,605,0.8461538461538461,0.4146341463414634,0.9716312056737588,0.6931326760076111,0.5483870967741935
17,433,0.9065934065934066,0.6,0.9795918367346939,0.7897959183673469,0.711864406779661
18,33,0.8516483516483516,0.4358974358974359,0.965034965034965,0.7004662004662005,0.5573770491803278
19,31,0.8406593406593407,0.39473684210526316,0.9583333333333334,0.6765350877192983,0.5084745762711864
20,96,0.8736263736263736,0.48484848484848486,0.959731543624161,0.7222900142363229,0.5818181818181818
21,224,0.8296703296703297,0.35714285714285715,0.9714285714285714,0.6642857142857143,0.4918032786885246
22,239,0.8516483516483516,0.38235294117647056,0.9594594594594594,0.670906200317965,0.49056603773584906
23,518,0.8296703296703297,0.3076923076923077,0.972027972027972,0.6398601398601398,0.4363636363636364
24,617,0.8626373626373627,0.4864864864864865,0.9586206896551724,0.7225535880708295,0.5901639344262296
25,28,0.8681318681318682,0.39285714285714285,0.9545454545454546,0.6737012987012987,0.4782608695652174
26,575,0.8461538461538461,0.4318181818181818,0.9782608695652174,0.7050395256916996,0.5757575757575758
27,204,0.8461538461538461,0.4090909090909091,0.9855072463768116,0.6972990777338604,0.5625000000000001
28,734,0.8681318681318682,0.46875,0.9533333333333334,0.7110416666666667,0.5555555555555556
29,666,0.8571428571428571,0.48717948717948717,0.958041958041958,0.7226107226107226,0.59375
30,719,0.8681318681318682,0.4634146341463415,0.9858156028368794,0.7246151184916104,0.6129032258064516
31,559,0.8791208791208791,0.5555555555555556,0.958904109589041,0.7572298325722984,0.6451612903225806
32,430,0.8681318681318682,0.5,0.9652777777777778,0.7326388888888888,0.6129032258064516
33,226,0.8516483516483516,0.4857142857142857,0.9387755102040817,0.7122448979591837,0.5573770491803278
34,460,0.8571428571428571,0.4418604651162791,0.9856115107913669,0.713735987953823,0.59375
35,604,0.8186813186813187,0.30952380952380953,0.9714285714285714,0.6404761904761904,0.4406779661016949
36,285,0.8571428571428571,0.5294117647058824,0.9324324324324325,0.7309220985691574,0.5806451612903226
37,829,0.8296703296703297,0.425,0.9436619718309859,0.6843309859154929,0.5230769230769231
38,891,0.8736263736263736,0.42857142857142855,0.9545454545454546,0.6915584415584416,0.5106382978723404
39,7,0.8571428571428571,0.39473684210526316,0.9791666666666666,0.6869517543859649,0.5357142857142857
40,778,0.8736263736263736,0.4864864864864865,0.9724137931034482,0.7294501397949673,0.6101694915254238
41,826,0.8956043956043956,0.4838709677419355,0.9801324503311258,0.7320017090365307,0.6122448979591837
42,164,0.8571428571428571,0.4375,0.9466666666666667,0.6920833333333334,0.5185185185185185
43,715,0.8571428571428571,0.5135135135135135,0.9448275862068966,0.729170549860205,0.59375
44,433,0.9065934065934066,0.6,0.9795918367346939,0.7897959183673469,0.711864406779661
45,349,0.8516483516483516,0.3870967741935484,0.9470198675496688,0.6670583208716085,0.47058823529411764
46,285,0.8571428571428571,0.5294117647058824,0.9324324324324325,0.7309220985691574,0.5806451612903226
47,160,0.8516483516483516,0.46511627906976744,0.9712230215827338,0.7181696503262506,0.5970149253731343
48,221,0.8681318681318682,0.5294117647058824,0.9459459459459459,0.7376788553259142,0.5999999999999999
49,981,0.9175824175824175,0.5555555555555556,0.9806451612903225,0.7681003584229391,0.6666666666666667
50,782,0.8571428571428571,0.5,0.9642857142857143,0.7321428571428572,0.6176470588235294
51,345,0.8901098901098901,0.5675675675675675,0.9724137931034482,0.7699906803355079,0.6774193548387097
52,105,0.8241758241758241,0.45652173913043476,0.9485294117647058,0.7025255754475703,0.5675675675675675
53,95,0.8626373626373627,0.4594594594594595,0.9655172413793104,0.712488350419385,0.576271186440678
54,390,0.8901098901098901,0.46875,0.98,0.724375,0.6
55,100,0.8681318681318682,0.4473684210526316,0.9791666666666666,0.7132675438596491,0.5862068965517242
56,368,0.8516483516483516,0.45714285714285713,0.9455782312925171,0.7013605442176871,0.5423728813559322
57,868,0.8681318681318682,0.42424242424242425,0.9664429530201343,0.6953426886312792,0.5384615384615385
58,353,0.8681318681318682,0.4523809523809524,0.9928571428571429,0.7226190476190476,0.6129032258064516
59,619,0.8076923076923077,0.2978723404255319,0.9851851851851852,0.6415287628053585,0.44444444444444436
60,271,0.8516483516483516,0.41025641025641024,0.972027972027972,0.6911421911421911,0.5423728813559321
61,827,0.8076923076923077,0.2727272727272727,0.9782608695652174,0.6254940711462451,0.4067796610169491
62,45,0.8681318681318682,0.37142857142857144,0.9863945578231292,0.6789115646258503,0.52
63,748,0.8516483516483516,0.4444444444444444,0.952054794520548,0.6982496194824962,0.5423728813559322
64,471,0.8571428571428571,0.45714285714285713,0.9523809523809523,0.7047619047619047,0.5517241379310345
65,550,0.8791208791208791,0.6333333333333333,0.9276315789473685,0.7804824561403509,0.6333333333333333
66,128,0.8791208791208791,0.5277777777777778,0.9657534246575342,0.746765601217656,0.6333333333333333
67,997,0.8351648351648352,0.46511627906976744,0.9496402877697842,0.7073782834197758,0.5714285714285714
68,945,0.8736263736263736,0.53125,0.9466666666666667,0.7389583333333334,0.5964912280701754
69,388,0.8791208791208791,0.4230769230769231,0.9551282051282052,0.6891025641025641,0.5
70,81,0.8791208791208791,0.42857142857142855,0.9863945578231292,0.7074829931972789,0.5769230769230769
71,566,0.8516483516483516,0.375,0.9859154929577465,0.6804577464788732,0.5263157894736842
72,301,0.8626373626373627,0.43243243243243246,0.9724137931034482,0.7024231127679403,0.5614035087719298
73,850,0.8406593406593407,0.42105263157894735,0.9513888888888888,0.6862207602339181,0.5245901639344263
74,644,0.8736263736263736,0.5526315789473685,0.9583333333333334,0.7554824561403509,0.6461538461538462
75,634,0.8351648351648352,0.37142857142857144,0.9455782312925171,0.6585034013605442,0.4642857142857143
76,907,0.8241758241758241,0.34146341463414637,0.9645390070921985,0.6530012108631724,0.46666666666666673
77,883,0.8901098901098901,0.5172413793103449,0.9607843137254902,0.7390128465179175,0.6000000000000001
78,371,0.8681318681318682,0.4411764705882353,0.9662162162162162,0.7036963434022258,0.5555555555555556
79,592,0.8406593406593407,0.38235294117647056,0.9459459459459459,0.6641494435612083,0.4727272727272727
80,197,0.9010989010989011,0.6,0.9490445859872612,0.7745222929936306,0.6250000000000001
81,722,0.8956043956043956,0.5185185185185185,0.9612903225806452,0.7399044205495818,0.5957446808510639
82,72,0.7802197802197802,0.29545454545454547,0.9347826086956522,0.6151185770750989,0.393939393939394
83,47,0.8736263736263736,0.40540540540540543,0.993103448275862,0.6992544268406338,0.5660377358490566
84,678,0.8791208791208791,0.5581395348837209,0.9784172661870504,0.7682784005353857,0.6857142857142857
85,234,0.8461538461538461,0.34210526315789475,0.9791666666666666,0.6606359649122807,0.4814814814814815
86,792,0.8461538461538461,0.46511627906976744,0.9640287769784173,0.7145725280240923,0.5882352941176471
87,297,0.8626373626373627,0.5,0.9782608695652174,0.7391304347826086,0.6376811594202899
88,82,0.8626373626373627,0.4,0.9727891156462585,0.6863945578231292,0.5283018867924528
89,876,0.8626373626373627,0.4878048780487805,0.9716312056737588,0.7297180418612697,0.6153846153846153
90,239,0.8516483516483516,0.38235294117647056,0.9594594594594594,0.670906200317965,0.49056603773584906
91,888,0.8131868131868132,0.4090909090909091,0.9420289855072463,0.6755599472990778,0.5142857142857142
92,104,0.8626373626373627,0.40625,0.96,0.683125,0.5098039215686275
93,390,0.8901098901098901,0.46875,0.98,0.724375,0.6
94,285,0.8571428571428571,0.5294117647058824,0.9324324324324325,0.7309220985691574,0.5806451612903226
95,465,0.8351648351648352,0.35294117647058826,0.9459459459459459,0.6494435612082671,0.4444444444444445
96,651,0.8351648351648352,0.425,0.9507042253521126,0.6878521126760563,0.53125
97,855,0.8351648351648352,0.35,0.971830985915493,0.6609154929577465,0.48275862068965514
98,374,0.8846153846153846,0.4,0.9802631578947368,0.6901315789473684,0.5333333333333333
99,167,0.8571428571428571,0.4,0.9859154929577465,0.6929577464788732,0.5517241379310346
100,380,0.8736263736263736,0.47368421052631576,0.9791666666666666,0.7264254385964912,0.6101694915254237
