model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8791208791208791,0.6341463414634146,0.950354609929078,0.7922504756962463,0.7027027027027027
2,115,0.8681318681318682,0.6170212765957447,0.9555555555555556,0.7862884160756501,0.7073170731707318
3,26,0.8571428571428571,0.5142857142857142,0.9387755102040817,0.726530612244898,0.5806451612903226
4,760,0.8626373626373627,0.4857142857142857,0.9523809523809523,0.719047619047619,0.576271186440678
5,282,0.8516483516483516,0.46511627906976744,0.9712230215827338,0.7181696503262506,0.5970149253731343
6,251,0.8626373626373627,0.5128205128205128,0.958041958041958,0.7354312354312353,0.6153846153846154
7,229,0.8076923076923077,0.46,0.9393939393939394,0.6996969696969697,0.5679012345679013
8,143,0.8571428571428571,0.6363636363636364,0.927536231884058,0.7819499341238472,0.6829268292682926
9,755,0.9010989010989011,0.6571428571428571,0.9591836734693877,0.8081632653061224,0.71875
10,105,0.8296703296703297,0.5434782608695652,0.9264705882352942,0.7349744245524297,0.617283950617284
11,693,0.8901098901098901,0.5909090909090909,0.9855072463768116,0.7882081686429513,0.7222222222222223
12,759,0.9065934065934066,0.5,0.9933333333333333,0.7466666666666666,0.6530612244897959
13,914,0.8901098901098901,0.6176470588235294,0.9527027027027027,0.785174880763116,0.6774193548387097
14,559,0.8956043956043956,0.6666666666666666,0.952054794520548,0.8093607305936072,0.7164179104477612
15,90,0.9010989010989011,0.675,0.9647887323943662,0.8198943661971831,0.75
16,605,0.8736263736263736,0.6341463414634146,0.9432624113475178,0.7887043764054662,0.6933333333333332
17,433,0.9065934065934066,0.7142857142857143,0.9523809523809523,0.8333333333333333,0.7462686567164178
18,33,0.8846153846153846,0.5897435897435898,0.965034965034965,0.7773892773892774,0.6865671641791046
19,31,0.8846153846153846,0.7105263157894737,0.9305555555555556,0.8205409356725146,0.7200000000000001
20,96,0.8901098901098901,0.6666666666666666,0.9395973154362416,0.803131991051454,0.6875
21,224,0.8406593406593407,0.5238095238095238,0.9357142857142857,0.7297619047619048,0.6027397260273972
22,239,0.8791208791208791,0.5882352941176471,0.9459459459459459,0.7670906200317965,0.6451612903225806
23,518,0.8351648351648352,0.4358974358974359,0.9440559440559441,0.6899766899766899,0.53125
24,617,0.8791208791208791,0.6486486486486487,0.9379310344827586,0.7932898415657037,0.6857142857142857
25,28,0.8791208791208791,0.6428571428571429,0.922077922077922,0.7824675324675325,0.6206896551724138
26,575,0.8571428571428571,0.5681818181818182,0.9492753623188406,0.7587285902503293,0.6578947368421052
27,204,0.8681318681318682,0.5681818181818182,0.9637681159420289,0.7659749670619236,0.6756756756756758
28,734,0.8626373626373627,0.5625,0.9266666666666666,0.7445833333333334,0.5901639344262296
29,666,0.8461538461538461,0.5897435897435898,0.916083916083916,0.7529137529137528,0.6216216216216216
30,719,0.8956043956043956,0.6097560975609756,0.9787234042553191,0.7942397509081474,0.7246376811594203
31,559,0.8956043956043956,0.6666666666666666,0.952054794520548,0.8093607305936072,0.7164179104477612
32,430,0.8846153846153846,0.5789473684210527,0.9652777777777778,0.7721125730994152,0.6769230769230768
33,226,0.8846153846153846,0.6857142857142857,0.9319727891156463,0.8088435374149661,0.6956521739130436
34,460,0.8846153846153846,0.6744186046511628,0.9496402877697842,0.8120294462104735,0.7341772151898734
35,604,0.8626373626373627,0.5476190476190477,0.9571428571428572,0.7523809523809524,0.647887323943662
36,285,0.8736263736263736,0.5882352941176471,0.9391891891891891,0.7637122416534181,0.6349206349206349
37,829,0.8571428571428571,0.575,0.9366197183098591,0.7558098591549296,0.6388888888888888
