model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.7857142857142857,0.7560975609756098,0.7943262411347518,0.7752119010551808,0.6138613861386139
2,115,0.7912087912087912,0.7872340425531915,0.7925925925925926,0.7899133175728921,0.6607142857142857
3,26,0.7252747252747253,0.6571428571428571,0.7414965986394558,0.6993197278911565,0.47916666666666663
4,760,0.7637362637362637,0.7142857142857143,0.7755102040816326,0.7448979591836735,0.5376344086021506
5,282,0.7967032967032966,0.7674418604651163,0.8057553956834532,0.7865986280742847,0.6407766990291263
6,251,0.7967032967032966,0.7435897435897436,0.8111888111888111,0.7773892773892774,0.6105263157894737
7,229,0.7417582417582418,0.78,0.7272727272727273,0.7536363636363637,0.624
8,143,0.7637362637362637,0.7727272727272727,0.7608695652173914,0.766798418972332,0.6126126126126127
9,755,0.8241758241758241,0.8285714285714286,0.8231292517006803,0.8258503401360544,0.6444444444444444
10,105,0.7692307692307693,0.717391304347826,0.7867647058823529,0.7520780051150895,0.6111111111111109
11,693,0.8131868131868132,0.7727272727272727,0.8260869565217391,0.7994071146245059,0.6666666666666667
12,759,0.8131868131868132,0.78125,0.82,0.8006249999999999,0.5952380952380952
13,914,0.8296703296703297,0.8529411764705882,0.8243243243243243,0.8386327503974562,0.6516853932584269
14,559,0.8351648351648352,0.8611111111111112,0.8287671232876712,0.8449391171993912,0.6739130434782609
15,90,0.7637362637362637,0.85,0.7394366197183099,0.7947183098591549,0.6126126126126126
16,605,0.7582417582417582,0.7804878048780488,0.75177304964539,0.7661304272617194,0.5925925925925926
17,433,0.8406593406593407,0.9142857142857143,0.8231292517006803,0.8687074829931973,0.6881720430107526
18,33,0.8076923076923077,0.7948717948717948,0.8111888111888111,0.803030303030303,0.6391752577319587
19,31,0.7747252747252747,0.8421052631578947,0.7569444444444444,0.7995248538011696,0.6095238095238095
20,96,0.7362637362637363,0.7575757575757576,0.7315436241610739,0.7445596908684158,0.5102040816326531
21,224,0.7857142857142857,0.6904761904761905,0.8142857142857143,0.7523809523809524,0.5979381443298969
22,239,0.8351648351648352,0.8823529411764706,0.8243243243243243,0.8533386327503975,0.6666666666666667
23,518,0.7747252747252747,0.7435897435897436,0.7832167832167832,0.7634032634032635,0.5858585858585859
24,617,0.7637362637362637,0.7297297297297297,0.7724137931034483,0.7510717614165889,0.556701030927835
25,28,0.7747252747252747,0.7857142857142857,0.7727272727272727,0.7792207792207793,0.5176470588235293
26,575,0.7692307692307693,0.8409090909090909,0.7463768115942029,0.793642951251647,0.6379310344827587
27,204,0.8131868131868132,0.8181818181818182,0.8115942028985508,0.8148880105401846,0.679245283018868
28,734,0.7747252747252747,0.84375,0.76,0.801875,0.5684210526315789
29,666,0.7802197802197802,0.7948717948717948,0.7762237762237763,0.7855477855477855,0.6078431372549019
