model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8021978021978022,0.34146341463414637,0.9361702127659575,0.6388168137000519,0.4375
2,115,0.8351648351648352,0.5106382978723404,0.9481481481481482,0.7293932230102442,0.6153846153846153
3,26,0.8571428571428571,0.42857142857142855,0.9591836734693877,0.6938775510204082,0.5357142857142858
4,760,0.8021978021978022,0.4,0.8979591836734694,0.6489795918367347,0.43750000000000006
5,282,0.8076923076923077,0.27906976744186046,0.9712230215827338,0.6251463945122971,0.4067796610169491
6,251,0.8516483516483516,0.46153846153846156,0.958041958041958,0.7097902097902098,0.5714285714285714
7,229,0.7582417582417582,0.34,0.9166666666666666,0.6283333333333333,0.43589743589743596
8,143,0.8406593406593407,0.5227272727272727,0.9420289855072463,0.7323781291172595,0.6133333333333333
9,755,0.8406593406593407,0.42857142857142855,0.9387755102040817,0.6836734693877551,0.5084745762711864
10,105,0.7857142857142857,0.45652173913043476,0.8970588235294118,0.6767902813299232,0.5185185185185185
11,693,0.8516483516483516,0.45454545454545453,0.9782608695652174,0.7164031620553359,0.5970149253731344
12,759,0.8736263736263736,0.34375,0.9866666666666667,0.6652083333333334,0.4888888888888889
13,914,0.8736263736263736,0.5,0.9594594594594594,0.7297297297297297,0.5964912280701754
14,559,0.8901098901098901,0.5277777777777778,0.9794520547945206,0.7536149162861492,0.6551724137931034
15,90,0.8186813186813187,0.5,0.9084507042253521,0.704225352112676,0.5479452054794521
16,605,0.8626373626373627,0.5365853658536586,0.9574468085106383,0.7470160871821485,0.6376811594202899
17,433,0.9065934065934066,0.6285714285714286,0.9727891156462585,0.8006802721088435,0.721311475409836
18,33,0.8626373626373627,0.5128205128205128,0.958041958041958,0.7354312354312353,0.6153846153846154
19,31,0.8516483516483516,0.47368421052631576,0.9513888888888888,0.7125365497076023,0.5714285714285714
20,96,0.8296703296703297,0.3939393939393939,0.9261744966442953,0.6600569452918446,0.45614035087719296
21,224,0.8076923076923077,0.30952380952380953,0.9571428571428572,0.6333333333333333,0.42622950819672134
22,239,0.8571428571428571,0.4117647058823529,0.9594594594594594,0.6856120826709062,0.5185185185185185
23,518,0.8296703296703297,0.4358974358974359,0.9370629370629371,0.6864801864801865,0.523076923076923
24,617,0.8351648351648352,0.4594594594594595,0.9310344827586207,0.6952469711090401,0.53125
25,28,0.8626373626373627,0.2857142857142857,0.9675324675324676,0.6266233766233766,0.3902439024390244
26,575,0.8131868131868132,0.5454545454545454,0.8985507246376812,0.7220026350461133,0.5853658536585366
27,204,0.8186813186813187,0.45454545454545453,0.9347826086956522,0.6946640316205533,0.547945205479452
28,734,0.8956043956043956,0.59375,0.96,0.776875,0.6666666666666666
29,666,0.8296703296703297,0.48717948717948717,0.9230769230769231,0.7051282051282052,0.5507246376811593
30,719,0.8516483516483516,0.43902439024390244,0.9716312056737588,0.7053277979588306,0.5714285714285715
31,559,0.8901098901098901,0.5277777777777778,0.9794520547945206,0.7536149162861492,0.6551724137931034
