model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8461538461538461,0.7317073170731707,0.8794326241134752,0.805569970593323,0.6818181818181819
2,115,0.7912087912087912,0.6808510638297872,0.8296296296296296,0.7552403467297084,0.627450980392157
3,26,0.8186813186813187,0.5714285714285714,0.8775510204081632,0.7244897959183674,0.547945205479452
4,760,0.8241758241758241,0.6285714285714286,0.8707482993197279,0.7496598639455783,0.5789473684210527
5,282,0.8186813186813187,0.5813953488372093,0.8920863309352518,0.7367408398862305,0.6024096385542168
6,251,0.8296703296703297,0.5897435897435898,0.8951048951048951,0.7424242424242424,0.5974025974025974
7,229,0.7692307692307693,0.62,0.8257575757575758,0.7228787878787879,0.5961538461538461
8,143,0.8076923076923077,0.6590909090909091,0.855072463768116,0.7570816864295125,0.6236559139784946
9,755,0.8406593406593407,0.7714285714285715,0.8571428571428571,0.8142857142857143,0.6506024096385543
10,105,0.8076923076923077,0.7391304347826086,0.8308823529411765,0.7850063938618925,0.6601941747572816
11,693,0.8351648351648352,0.6590909090909091,0.8913043478260869,0.775197628458498,0.6590909090909091
12,759,0.8681318681318682,0.625,0.92,0.7725,0.625
13,914,0.8021978021978022,0.6470588235294118,0.8378378378378378,0.7424483306836248,0.55
14,559,0.8241758241758241,0.6944444444444444,0.8561643835616438,0.7753044140030441,0.6097560975609756
15,90,0.8131868131868132,0.7,0.8450704225352113,0.7725352112676056,0.6222222222222222
16,605,0.8186813186813187,0.7317073170731707,0.8439716312056738,0.7878394741394222,0.6451612903225806
17,433,0.8681318681318682,0.8285714285714286,0.8775510204081632,0.8530612244897959,0.7073170731707318
18,33,0.8681318681318682,0.717948717948718,0.9090909090909091,0.8135198135198135,0.7000000000000001
19,31,0.8076923076923077,0.8157894736842105,0.8055555555555556,0.810672514619883,0.6391752577319588
20,96,0.8351648351648352,0.696969696969697,0.8657718120805369,0.781370754525117,0.6052631578947368
21,224,0.7912087912087912,0.6190476190476191,0.8428571428571429,0.730952380952381,0.5777777777777778
22,239,0.8571428571428571,0.7647058823529411,0.8783783783783784,0.8215421303656598,0.6666666666666667
23,518,0.8186813186813187,0.5897435897435898,0.8811188811188811,0.7354312354312355,0.5822784810126582
24,617,0.7967032967032966,0.6756756756756757,0.8275862068965517,0.7516309412861137,0.5747126436781609
25,28,0.8406593406593407,0.6071428571428571,0.8831168831168831,0.7451298701298701,0.5396825396825397
26,575,0.8131868131868132,0.6590909090909091,0.8623188405797102,0.7607048748353096,0.6304347826086956
27,204,0.8241758241758241,0.6590909090909091,0.8768115942028986,0.7679512516469038,0.6444444444444444
28,734,0.7967032967032966,0.71875,0.8133333333333334,0.7660416666666667,0.5542168674698795
29,666,0.7912087912087912,0.6410256410256411,0.8321678321678322,0.7365967365967366,0.5681818181818182
30,719,0.8516483516483516,0.7317073170731707,0.8865248226950354,0.8091160698841031,0.6896551724137931
31,559,0.8241758241758241,0.6944444444444444,0.8561643835616438,0.7753044140030441,0.6097560975609756
32,430,0.8021978021978022,0.6578947368421053,0.8402777777777778,0.7490862573099415,0.5813953488372092
33,226,0.8131868131868132,0.6857142857142857,0.8435374149659864,0.7646258503401361,0.5853658536585366
34,460,0.8516483516483516,0.7441860465116279,0.8848920863309353,0.8145390664212816,0.7032967032967034
35,604,0.8516483516483516,0.7142857142857143,0.8928571428571429,0.8035714285714286,0.689655172413793
36,285,0.8131868131868132,0.7352941176470589,0.831081081081081,0.78318759936407,0.5952380952380952
37,829,0.8076923076923077,0.575,0.8732394366197183,0.7241197183098591,0.5679012345679012
38,891,0.8516483516483516,0.6785714285714286,0.8831168831168831,0.7808441558441559,0.5846153846153848
39,7,0.8076923076923077,0.7368421052631579,0.8263888888888888,0.7816154970760234,0.6153846153846154
40,778,0.7857142857142857,0.6756756756756757,0.8137931034482758,0.7447343895619758,0.5617977528089887
41,826,0.8351648351648352,0.5806451612903226,0.8874172185430463,0.7340311899166845,0.5454545454545455
42,164,0.8351648351648352,0.75,0.8533333333333334,0.8016666666666667,0.6153846153846153
43,715,0.7967032967032966,0.6486486486486487,0.8344827586206897,0.7415657036346692,0.5647058823529412
44,433,0.8681318681318682,0.8285714285714286,0.8775510204081632,0.8530612244897959,0.7073170731707318
45,349,0.8076923076923077,0.5483870967741935,0.8609271523178808,0.7046571245460371,0.49275362318840576
46,285,0.8131868131868132,0.7352941176470589,0.831081081081081,0.78318759936407,0.5952380952380952
47,160,0.7912087912087912,0.7209302325581395,0.8129496402877698,0.7669399364229547,0.6200000000000001
48,221,0.8186813186813187,0.8235294117647058,0.8175675675675675,0.8205484896661367,0.6292134831460674
49,981,0.8461538461538461,0.6296296296296297,0.8838709677419355,0.7567502986857826,0.5483870967741936
50,782,0.8241758241758241,0.7380952380952381,0.85,0.7940476190476191,0.6595744680851063
51,345,0.8186813186813187,0.7837837837837838,0.8275862068965517,0.8056849953401677,0.6373626373626374
52,105,0.8076923076923077,0.7391304347826086,0.8308823529411765,0.7850063938618925,0.6601941747572816
53,95,0.8296703296703297,0.7297297297297297,0.8551724137931035,0.7924510717614166,0.6352941176470588
54,390,0.8131868131868132,0.75,0.8266666666666667,0.7883333333333333,0.5853658536585366
55,100,0.8351648351648352,0.7105263157894737,0.8680555555555556,0.7892909356725146,0.6428571428571428
56,368,0.8076923076923077,0.6,0.8571428571428571,0.7285714285714285,0.5454545454545454
57,868,0.8296703296703297,0.7272727272727273,0.8523489932885906,0.7898108602806589,0.6075949367088608
58,353,0.8406593406593407,0.6666666666666666,0.8928571428571429,0.7797619047619048,0.6588235294117646
59,619,0.8076923076923077,0.5957446808510638,0.8814814814814815,0.7386130811662727,0.6153846153846154
60,271,0.8131868131868132,0.6923076923076923,0.8461538461538461,0.7692307692307692,0.6136363636363635
61,827,0.8186813186813187,0.5227272727272727,0.9130434782608695,0.717885375494071,0.5822784810126581
62,45,0.8241758241758241,0.7428571428571429,0.8435374149659864,0.7931972789115647,0.6190476190476191
63,748,0.8021978021978022,0.7222222222222222,0.821917808219178,0.7720700152207001,0.5909090909090908
64,471,0.7747252747252747,0.7428571428571429,0.782312925170068,0.7625850340136054,0.5591397849462366
65,550,0.7912087912087912,0.7,0.8092105263157895,0.7546052631578948,0.525
66,128,0.8461538461538461,0.7222222222222222,0.8767123287671232,0.7994672754946728,0.65
67,997,0.8131868131868132,0.6511627906976745,0.8633093525179856,0.75723607160783,0.6222222222222222
68,945,0.7857142857142857,0.5625,0.8333333333333334,0.6979166666666667,0.48
69,388,0.8186813186813187,0.6538461538461539,0.8461538461538461,0.75,0.5074626865671641
70,81,0.7857142857142857,0.6857142857142857,0.8095238095238095,0.7476190476190476,0.5517241379310346
71,566,0.8076923076923077,0.6,0.8661971830985915,0.7330985915492958,0.5783132530120482
72,301,0.7747252747252747,0.5675675675675675,0.8275862068965517,0.6975768872320596,0.506024096385542
73,850,0.7857142857142857,0.631578947368421,0.8263888888888888,0.7289839181286549,0.5517241379310346
74,644,0.8461538461538461,0.6842105263157895,0.8888888888888888,0.7865497076023391,0.6500000000000001
75,634,0.8296703296703297,0.6571428571428571,0.8707482993197279,0.7639455782312925,0.5974025974025974
76,907,0.8241758241758241,0.7073170731707317,0.8581560283687943,0.782736550769763,0.6444444444444445
77,883,0.8516483516483516,0.7931034482758621,0.8627450980392157,0.8279242731575389,0.6301369863013699
78,371,0.8241758241758241,0.7352941176470589,0.8445945945945946,0.7899443561208268,0.6097560975609756
