model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8406593406593407,0.4878048780487805,0.9432624113475178,0.7155336446981491,0.5797101449275363
2,115,0.8461538461538461,0.5319148936170213,0.9555555555555556,0.7437352245862885,0.641025641025641
3,26,0.8406593406593407,0.37142857142857144,0.9523809523809523,0.6619047619047619,0.4727272727272728
4,760,0.8351648351648352,0.5142857142857142,0.9115646258503401,0.7129251700680272,0.5454545454545455
5,282,0.8461538461538461,0.4883720930232558,0.9568345323741008,0.7226033126986783,0.6000000000000001
6,251,0.8516483516483516,0.48717948717948717,0.951048951048951,0.7191142191142191,0.5846153846153846
7,229,0.7692307692307693,0.38,0.9166666666666666,0.6483333333333333,0.4750000000000001
8,143,0.8461538461538461,0.5454545454545454,0.9420289855072463,0.7437417654808959,0.631578947368421
9,755,0.8626373626373627,0.5428571428571428,0.9387755102040817,0.7408163265306122,0.603174603174603
10,105,0.8076923076923077,0.43478260869565216,0.9338235294117647,0.6843030690537084,0.5333333333333333
11,693,0.8461538461538461,0.45454545454545453,0.9710144927536232,0.7127799736495388,0.5882352941176471
12,759,0.8681318681318682,0.5,0.9466666666666667,0.7233333333333334,0.5714285714285715
13,914,0.8626373626373627,0.5882352941176471,0.9256756756756757,0.7569554848966613,0.6153846153846154
14,559,0.8516483516483516,0.5555555555555556,0.9246575342465754,0.7401065449010655,0.5970149253731343
15,90,0.8516483516483516,0.5,0.9507042253521126,0.7253521126760563,0.5970149253731343
16,605,0.8296703296703297,0.5121951219512195,0.9219858156028369,0.7170904687770282,0.5753424657534246
17,433,0.8901098901098901,0.6571428571428571,0.9455782312925171,0.8013605442176871,0.6969696969696969
18,33,0.8626373626373627,0.5128205128205128,0.958041958041958,0.7354312354312353,0.6153846153846154
19,31,0.8571428571428571,0.47368421052631576,0.9583333333333334,0.7160087719298246,0.5806451612903226
20,96,0.8901098901098901,0.5757575757575758,0.959731543624161,0.7677445596908684,0.6551724137931034
21,224,0.8571428571428571,0.5238095238095238,0.9571428571428572,0.7404761904761905,0.6285714285714286
22,239,0.8571428571428571,0.4117647058823529,0.9594594594594594,0.6856120826709062,0.5185185185185185
23,518,0.8296703296703297,0.358974358974359,0.958041958041958,0.6585081585081585,0.4745762711864407
24,617,0.8241758241758241,0.5135135135135135,0.903448275862069,0.7084808946877912,0.5428571428571428
25,28,0.8736263736263736,0.39285714285714285,0.961038961038961,0.676948051948052,0.4888888888888888
26,575,0.8296703296703297,0.4090909090909091,0.9637681159420289,0.686429512516469,0.537313432835821
27,204,0.8571428571428571,0.5681818181818182,0.9492753623188406,0.7587285902503293,0.6578947368421052
28,734,0.8241758241758241,0.46875,0.9,0.684375,0.4838709677419355
29,666,0.8406593406593407,0.48717948717948717,0.9370629370629371,0.7121212121212122,0.5671641791044776
30,719,0.8736263736263736,0.4634146341463415,0.9929078014184397,0.7281612177823906,0.6229508196721312
31,559,0.8516483516483516,0.5555555555555556,0.9246575342465754,0.7401065449010655,0.5970149253731343
32,430,0.8406593406593407,0.5526315789473685,0.9166666666666666,0.7346491228070176,0.5915492957746479
33,226,0.8406593406593407,0.5714285714285714,0.9047619047619048,0.7380952380952381,0.5797101449275363
34,460,0.8736263736263736,0.5813953488372093,0.9640287769784173,0.7727120629078132,0.684931506849315
35,604,0.8571428571428571,0.4523809523809524,0.9785714285714285,0.7154761904761905,0.59375
36,285,0.8626373626373627,0.5588235294117647,0.9324324324324325,0.7456279809220986,0.6031746031746031
37,829,0.8186813186813187,0.425,0.9295774647887324,0.6772887323943662,0.5074626865671642
38,891,0.8681318681318682,0.4642857142857143,0.9415584415584416,0.702922077922078,0.52
39,7,0.8791208791208791,0.5263157894736842,0.9722222222222222,0.7492690058479532,0.6451612903225806
40,778,0.8351648351648352,0.4594594594594595,0.9310344827586207,0.6952469711090401,0.53125
41,826,0.8791208791208791,0.45161290322580644,0.9668874172185431,0.7092501602221748,0.56
42,164,0.8791208791208791,0.59375,0.94,0.766875,0.6333333333333334
43,715,0.8296703296703297,0.5405405405405406,0.903448275862069,0.7219944082013048,0.5633802816901409
44,433,0.8901098901098901,0.6571428571428571,0.9455782312925171,0.8013605442176871,0.6969696969696969
45,349,0.8516483516483516,0.41935483870967744,0.9403973509933775,0.6798760948515274,0.4905660377358491
46,285,0.8626373626373627,0.5588235294117647,0.9324324324324325,0.7456279809220986,0.6031746031746031
47,160,0.8406593406593407,0.5348837209302325,0.935251798561151,0.7350677597456918,0.6133333333333333
48,221,0.8681318681318682,0.6470588235294118,0.918918918918919,0.7829888712241654,0.6470588235294118
49,981,0.8901098901098901,0.5185185185185185,0.9548387096774194,0.7366786140979689,0.5833333333333334
50,782,0.8571428571428571,0.5952380952380952,0.9357142857142857,0.7654761904761904,0.6578947368421053
51,345,0.8901098901098901,0.6756756756756757,0.9448275862068966,0.8102516309412862,0.7142857142857142
52,105,0.8076923076923077,0.43478260869565216,0.9338235294117647,0.6843030690537084,0.5333333333333333
53,95,0.8461538461538461,0.4594594594594595,0.9448275862068966,0.702143522833178,0.5483870967741935
54,390,0.8846153846153846,0.4375,0.98,0.70875,0.5714285714285714
55,100,0.8241758241758241,0.4473684210526316,0.9236111111111112,0.6854897660818714,0.5151515151515151
56,368,0.8461538461538461,0.42857142857142855,0.9455782312925171,0.6870748299319728,0.5172413793103448
57,868,0.8736263736263736,0.6060606060606061,0.9328859060402684,0.7694732560504373,0.6349206349206349
58,353,0.8406593406593407,0.5,0.9428571428571428,0.7214285714285714,0.591549295774648
59,619,0.7967032967032966,0.3404255319148936,0.9555555555555556,0.6479905437352246,0.46376811594202894
60,271,0.8241758241758241,0.46153846153846156,0.9230769230769231,0.6923076923076923,0.5294117647058824
61,827,0.8131868131868132,0.3181818181818182,0.9710144927536232,0.6445981554677207,0.45161290322580644
62,45,0.8626373626373627,0.37142857142857144,0.9795918367346939,0.6755102040816326,0.5098039215686275
63,748,0.8461538461538461,0.5555555555555556,0.9178082191780822,0.7366818873668188,0.5882352941176471
64,471,0.8186813186813187,0.42857142857142855,0.9115646258503401,0.6700680272108843,0.47619047619047616
65,550,0.8351648351648352,0.5,0.9013157894736842,0.700657894736842,0.5
66,128,0.8626373626373627,0.5555555555555556,0.9383561643835616,0.7469558599695586,0.6153846153846154
67,997,0.8296703296703297,0.5348837209302325,0.920863309352518,0.7278735151413753,0.5974025974025974
68,945,0.8406593406593407,0.5,0.9133333333333333,0.7066666666666667,0.5245901639344263
69,388,0.8681318681318682,0.5384615384615384,0.9230769230769231,0.7307692307692308,0.5384615384615384
70,81,0.8461538461538461,0.4857142857142857,0.9319727891156463,0.708843537414966,0.5483870967741936
71,566,0.8681318681318682,0.5,0.971830985915493,0.7359154929577465,0.625
72,301,0.8241758241758241,0.40540540540540543,0.9310344827586207,0.668219944082013,0.48387096774193555
73,850,0.8241758241758241,0.5526315789473685,0.8958333333333334,0.7242324561403509,0.5675675675675677
74,644,0.8406593406593407,0.4473684210526316,0.9444444444444444,0.695906432748538,0.5396825396825397
75,634,0.8626373626373627,0.5142857142857142,0.9455782312925171,0.7299319727891156,0.5901639344262295
