model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.4175824175824176,0.8780487804878049,0.28368794326241137,0.5808683618751082,0.40449438202247195
2,115,0.45604395604395603,0.9574468085106383,0.2814814814814815,0.61946414499606,0.4761904761904763
3,26,0.37362637362637363,0.9142857142857143,0.24489795918367346,0.5795918367346938,0.3595505617977528
4,760,0.38461538461538464,0.9428571428571428,0.25170068027210885,0.5972789115646259,0.3707865168539326
5,282,0.3626373626373626,0.9534883720930233,0.17985611510791366,0.5666722436004685,0.41414141414141414
6,251,0.37362637362637363,1.0,0.20279720279720279,0.6013986013986014,0.40625
7,229,0.43956043956043955,0.98,0.23484848484848486,0.6074242424242424,0.49
8,143,0.4175824175824176,0.9090909090909091,0.2608695652173913,0.5849802371541502,0.43010752688172044
9,755,0.3901098901098901,0.8857142857142857,0.272108843537415,0.5789115646258504,0.3583815028901734
10,105,0.43956043956043955,0.9130434782608695,0.27941176470588236,0.5962276214833759,0.45161290322580644
11,693,0.44505494505494503,0.9090909090909091,0.2971014492753623,0.6030961791831357,0.4419889502762431
12,759,0.34065934065934067,0.96875,0.20666666666666667,0.5877083333333333,0.34065934065934067
13,914,0.38461538461538464,0.8823529411764706,0.2702702702702703,0.5763116057233704,0.34883720930232553
14,559,0.35714285714285715,0.9722222222222222,0.2054794520547945,0.5888508371385084,0.37433155080213903
15,90,0.3956043956043956,0.975,0.2323943661971831,0.6036971830985915,0.4148936170212766
16,605,0.36813186813186816,0.9512195121951219,0.19858156028368795,0.574900536239405,0.4041450777202073
17,433,0.42857142857142855,0.8857142857142857,0.3197278911564626,0.6027210884353742,0.3734939759036145
18,33,0.46153846153846156,0.8717948717948718,0.34965034965034963,0.6107226107226107,0.4096385542168675
19,31,0.4065934065934066,0.9736842105263158,0.2569444444444444,0.6153143274853801,0.40659340659340665
20,96,0.3791208791208791,0.9696969696969697,0.2483221476510067,0.6090095586739882,0.36158192090395475
21,224,0.4065934065934066,0.9523809523809523,0.24285714285714285,0.5976190476190476,0.425531914893617
22,239,0.3791208791208791,0.9411764705882353,0.25,0.5955882352941176,0.3615819209039548
23,518,0.38461538461538464,0.9487179487179487,0.23076923076923078,0.5897435897435898,0.3978494623655914
24,617,0.4065934065934066,0.9459459459459459,0.2689655172413793,0.6074557315936626,0.39325842696629215
