model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8736263736263736,0.5609756097560976,0.9645390070921985,0.7627573084241481,0.6666666666666667
2,115,0.8571428571428571,0.6170212765957447,0.9407407407407408,0.7788810086682427,0.6904761904761905
3,26,0.8846153846153846,0.45714285714285713,0.9863945578231292,0.7217687074829932,0.6037735849056604
4,760,0.8461538461538461,0.7142857142857143,0.8775510204081632,0.7959183673469388,0.6410256410256411
5,282,0.8461538461538461,0.4883720930232558,0.9568345323741008,0.7226033126986783,0.6000000000000001
6,251,0.8571428571428571,0.5897435897435898,0.9300699300699301,0.7599067599067599,0.638888888888889
7,229,0.7967032967032966,0.44,0.9318181818181818,0.6859090909090909,0.5432098765432098
8,143,0.8571428571428571,0.5681818181818182,0.9492753623188406,0.7587285902503293,0.6578947368421052
9,755,0.8901098901098901,0.6285714285714286,0.9523809523809523,0.7904761904761904,0.6875
10,105,0.8296703296703297,0.5,0.9411764705882353,0.7205882352941176,0.5974025974025974
11,693,0.8901098901098901,0.6136363636363636,0.9782608695652174,0.7959486166007905,0.7297297297297297
12,759,0.8846153846153846,0.625,0.94,0.7825,0.6557377049180328
13,914,0.8791208791208791,0.5588235294117647,0.9527027027027027,0.7557631160572338,0.6333333333333334
14,559,0.8736263736263736,0.6666666666666666,0.9246575342465754,0.795662100456621,0.676056338028169
15,90,0.8681318681318682,0.55,0.9577464788732394,0.7538732394366197,0.6470588235294117
16,605,0.8516483516483516,0.7073170731707317,0.8936170212765957,0.8004670472236637,0.6823529411764706
17,433,0.9175824175824175,0.7428571428571429,0.9591836734693877,0.8510204081632653,0.7761194029850748
18,33,0.8626373626373627,0.48717948717948717,0.965034965034965,0.7261072261072261,0.6031746031746031
19,31,0.8681318681318682,0.7105263157894737,0.9097222222222222,0.8101242690058479,0.6923076923076923
20,96,0.8681318681318682,0.6363636363636364,0.9194630872483222,0.7779133618059793,0.6363636363636364
21,224,0.8461538461538461,0.5476190476190477,0.9357142857142857,0.7416666666666667,0.6216216216216217
22,239,0.8736263736263736,0.5,0.9594594594594594,0.7297297297297297,0.5964912280701754
23,518,0.8351648351648352,0.6153846153846154,0.8951048951048951,0.7552447552447552,0.6153846153846154
24,617,0.8626373626373627,0.6756756756756757,0.9103448275862069,0.7930102516309413,0.6666666666666667
25,28,0.8736263736263736,0.5714285714285714,0.9285714285714286,0.75,0.5818181818181818
26,575,0.8351648351648352,0.45454545454545453,0.9565217391304348,0.7055335968379447,0.5714285714285714
27,204,0.8681318681318682,0.5681818181818182,0.9637681159420289,0.7659749670619236,0.6756756756756758
28,734,0.8186813186813187,0.65625,0.8533333333333334,0.7547916666666667,0.5599999999999999
29,666,0.8076923076923077,0.5897435897435898,0.8671328671328671,0.7284382284382285,0.5679012345679013
30,719,0.8791208791208791,0.5609756097560976,0.9716312056737588,0.7663034077149282,0.6764705882352942
31,559,0.8736263736263736,0.6666666666666666,0.9246575342465754,0.795662100456621,0.676056338028169
32,430,0.8791208791208791,0.6052631578947368,0.9513888888888888,0.7783260233918128,0.676470588235294
33,226,0.8791208791208791,0.7142857142857143,0.9183673469387755,0.8163265306122449,0.6944444444444444
34,460,0.8791208791208791,0.5813953488372093,0.9712230215827338,0.7763091852099715,0.6944444444444445
35,604,0.8516483516483516,0.6904761904761905,0.9,0.7952380952380953,0.6823529411764705
36,285,0.8956043956043956,0.6176470588235294,0.9594594594594594,0.7885532591414944,0.6885245901639345
37,829,0.8351648351648352,0.525,0.9225352112676056,0.7237676056338028,0.5833333333333334
38,891,0.8901098901098901,0.5714285714285714,0.948051948051948,0.7597402597402597,0.6153846153846153
39,7,0.8846153846153846,0.7105263157894737,0.9305555555555556,0.8205409356725146,0.7200000000000001
40,778,0.8626373626373627,0.6216216216216216,0.9241379310344827,0.7728797763280522,0.6478873239436619
41,826,0.8736263736263736,0.5161290322580645,0.9470198675496688,0.7315744499038667,0.5818181818181819
42,164,0.8571428571428571,0.59375,0.9133333333333333,0.7535416666666667,0.59375
43,715,0.8571428571428571,0.6756756756756757,0.903448275862069,0.7895619757688723,0.6578947368421052
44,433,0.9175824175824175,0.7428571428571429,0.9591836734693877,0.8510204081632653,0.7761194029850748
45,349,0.8571428571428571,0.5161290322580645,0.9271523178807947,0.7216406750694295,0.5517241379310345
46,285,0.8956043956043956,0.6176470588235294,0.9594594594594594,0.7885532591414944,0.6885245901639345
47,160,0.8571428571428571,0.5813953488372093,0.9424460431654677,0.7619206960013385,0.6578947368421053
48,221,0.8846153846153846,0.8235294117647058,0.8986486486486487,0.8610890302066773,0.7272727272727273
49,981,0.9065934065934066,0.6296296296296297,0.9548387096774194,0.7922341696535244,0.6666666666666667
50,782,0.8681318681318682,0.7619047619047619,0.9,0.8309523809523809,0.7272727272727272
51,345,0.8846153846153846,0.7297297297297297,0.9241379310344827,0.8269338303821062,0.7200000000000001
52,105,0.8296703296703297,0.5,0.9411764705882353,0.7205882352941176,0.5974025974025974
53,95,0.8791208791208791,0.6486486486486487,0.9379310344827586,0.7932898415657037,0.6857142857142857
54,390,0.9065934065934066,0.65625,0.96,0.808125,0.711864406779661
55,100,0.8516483516483516,0.7105263157894737,0.8888888888888888,0.7997076023391813,0.6666666666666666
56,368,0.8406593406593407,0.5428571428571428,0.9115646258503401,0.7272108843537415,0.5671641791044776
57,868,0.9010989010989011,0.6060606060606061,0.9664429530201343,0.7862517795403702,0.689655172413793
58,353,0.8956043956043956,0.5952380952380952,0.9857142857142858,0.7904761904761906,0.7246376811594204
59,619,0.8131868131868132,0.44680851063829785,0.9407407407407408,0.6937746256895193,0.5526315789473684
60,271,0.8516483516483516,0.5641025641025641,0.9300699300699301,0.7470862470862472,0.619718309859155
61,827,0.8186813186813187,0.45454545454545453,0.9347826086956522,0.6946640316205533,0.547945205479452
62,45,0.8791208791208791,0.4857142857142857,0.9727891156462585,0.7292517006802721,0.6071428571428571
63,748,0.8846153846153846,0.5833333333333334,0.958904109589041,0.7711187214611872,0.6666666666666666
64,471,0.8846153846153846,0.6,0.9523809523809523,0.7761904761904761,0.6666666666666665
65,550,0.8461538461538461,0.7,0.875,0.7875,0.6
66,128,0.8681318681318682,0.5833333333333334,0.9383561643835616,0.7608447488584476,0.6363636363636365
67,997,0.8461538461538461,0.6046511627906976,0.920863309352518,0.7627572360716078,0.6499999999999999
68,945,0.8681318681318682,0.59375,0.9266666666666666,0.7602083333333334,0.6129032258064516
69,388,0.8681318681318682,0.6153846153846154,0.9102564102564102,0.7628205128205128,0.5714285714285715
70,81,0.8791208791208791,0.6571428571428571,0.9319727891156463,0.7945578231292517,0.676470588235294
71,566,0.8626373626373627,0.475,0.971830985915493,0.7234154929577465,0.6031746031746033
72,301,0.8571428571428571,0.4594594594594595,0.9586206896551724,0.709040074557316,0.5666666666666667
73,850,0.8186813186813187,0.5789473684210527,0.8819444444444444,0.7304459064327485,0.5714285714285715
74,644,0.8791208791208791,0.631578947368421,0.9444444444444444,0.7880116959064327,0.6857142857142857
75,634,0.8516483516483516,0.6571428571428571,0.8979591836734694,0.7775510204081633,0.6301369863013698
76,907,0.8626373626373627,0.6097560975609756,0.9361702127659575,0.7729631551634666,0.6666666666666666
77,883,0.9120879120879121,0.6896551724137931,0.954248366013072,0.8219517692134326,0.7142857142857143
78,371,0.8846153846153846,0.6176470588235294,0.9459459459459459,0.7817965023847377,0.6666666666666667
79,592,0.8736263736263736,0.6176470588235294,0.9324324324324325,0.775039745627981,0.6461538461538462
80,197,0.8791208791208791,0.76,0.8980891719745223,0.8290445859872612,0.6333333333333332
81,722,0.8846153846153846,0.48148148148148145,0.9548387096774194,0.7181600955794504,0.553191489361702
82,72,0.7857142857142857,0.4772727272727273,0.8840579710144928,0.6806653491436101,0.5185185185185185
83,47,0.8461538461538461,0.5135135135135135,0.9310344827586207,0.7222739981360671,0.5757575757575758
84,678,0.8956043956043956,0.6744186046511628,0.9640287769784173,0.8192236908147901,0.7532467532467532
85,234,0.8461538461538461,0.5,0.9375,0.71875,0.5757575757575758
86,792,0.8461538461538461,0.6511627906976745,0.9064748201438849,0.7788188054207796,0.6666666666666667
87,297,0.8626373626373627,0.6363636363636364,0.9347826086956522,0.7855731225296443,0.691358024691358
88,82,0.8461538461538461,0.45714285714285713,0.9387755102040817,0.6979591836734694,0.5333333333333333
89,876,0.8681318681318682,0.7073170731707317,0.9148936170212766,0.8111053450960042,0.7073170731707317
90,239,0.8736263736263736,0.5,0.9594594594594594,0.7297297297297297,0.5964912280701754
91,888,0.8571428571428571,0.6136363636363636,0.9347826086956522,0.7742094861660079,0.6749999999999999
92,104,0.8571428571428571,0.46875,0.94,0.704375,0.5357142857142857
93,390,0.9065934065934066,0.65625,0.96,0.808125,0.711864406779661
