model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8131868131868132,0.36585365853658536,0.9432624113475178,0.6545580349420516,0.46874999999999994
2,115,0.7967032967032966,0.40425531914893614,0.9333333333333333,0.6687943262411348,0.5066666666666666
3,26,0.8021978021978022,0.2857142857142857,0.9251700680272109,0.6054421768707483,0.3571428571428571
4,760,0.8186813186813187,0.2571428571428571,0.9523809523809523,0.6047619047619047,0.3529411764705882
5,282,0.8076923076923077,0.3488372093023256,0.9496402877697842,0.6492387485360549,0.4615384615384615
6,251,0.8076923076923077,0.3076923076923077,0.9440559440559441,0.6258741258741258,0.4067796610169492
7,229,0.7692307692307693,0.36,0.9242424242424242,0.6421212121212121,0.4615384615384615
8,143,0.7857142857142857,0.3409090909090909,0.927536231884058,0.6342226613965745,0.43478260869565216
9,755,0.8131868131868132,0.4,0.9115646258503401,0.6557823129251701,0.45161290322580644
10,105,0.7857142857142857,0.32608695652173914,0.9411764705882353,0.6336317135549872,0.43478260869565216
11,693,0.7967032967032966,0.3181818181818182,0.9492753623188406,0.6337285902503293,0.43076923076923074
12,759,0.8461538461538461,0.34375,0.9533333333333334,0.6485416666666667,0.44000000000000006
13,914,0.8241758241758241,0.4117647058823529,0.918918918918919,0.665341812400636,0.4666666666666667
14,559,0.8626373626373627,0.4166666666666667,0.9726027397260274,0.694634703196347,0.5454545454545454
15,90,0.8131868131868132,0.4,0.9295774647887324,0.6647887323943662,0.4848484848484849
16,605,0.7912087912087912,0.3170731707317073,0.9290780141843972,0.6230755924580522,0.40625
17,433,0.8406593406593407,0.45714285714285713,0.9319727891156463,0.6945578231292517,0.5245901639344263
18,33,0.8076923076923077,0.3333333333333333,0.9370629370629371,0.6351981351981352,0.4262295081967213
19,31,0.8296703296703297,0.5263157894736842,0.9097222222222222,0.7180190058479532,0.5633802816901409
20,96,0.8351648351648352,0.45454545454545453,0.9194630872483222,0.6870042708968883,0.5
21,224,0.7582417582417582,0.19047619047619047,0.9285714285714286,0.5595238095238095,0.26666666666666666
22,239,0.8241758241758241,0.35294117647058826,0.9324324324324325,0.6426868044515104,0.42857142857142855
23,518,0.7857142857142857,0.2564102564102564,0.9300699300699301,0.5932400932400932,0.3389830508474576
24,617,0.8241758241758241,0.35135135135135137,0.9448275862068966,0.648089468779124,0.4482758620689656
25,28,0.8351648351648352,0.2857142857142857,0.935064935064935,0.6103896103896104,0.34782608695652173
26,575,0.7912087912087912,0.36363636363636365,0.927536231884058,0.6455862977602108,0.4571428571428572
27,204,0.8021978021978022,0.3181818181818182,0.9565217391304348,0.6373517786561265,0.4375
28,734,0.8241758241758241,0.46875,0.9,0.684375,0.4838709677419355
29,666,0.7912087912087912,0.4358974358974359,0.8881118881118881,0.662004662004662,0.4722222222222222
30,719,0.8186813186813187,0.3902439024390244,0.9432624113475178,0.6667531568932711,0.4923076923076923
31,559,0.8626373626373627,0.4166666666666667,0.9726027397260274,0.694634703196347,0.5454545454545454
32,430,0.8296703296703297,0.3684210526315789,0.9513888888888888,0.6599049707602339,0.4745762711864407
33,226,0.8296703296703297,0.37142857142857144,0.9387755102040817,0.6551020408163266,0.456140350877193
34,460,0.7692307692307693,0.23255813953488372,0.935251798561151,0.5839049690480174,0.3225806451612903
35,604,0.8076923076923077,0.38095238095238093,0.9357142857142857,0.6583333333333333,0.4776119402985074
36,285,0.8296703296703297,0.4117647058823529,0.9256756756756757,0.6687201907790143,0.4745762711864407
37,829,0.8021978021978022,0.3,0.9436619718309859,0.6218309859154929,0.4
38,891,0.8571428571428571,0.39285714285714285,0.9415584415584416,0.6672077922077922,0.45833333333333337
39,7,0.8241758241758241,0.42105263157894735,0.9305555555555556,0.6758040935672515,0.5
40,778,0.8241758241758241,0.40540540540540543,0.9310344827586207,0.668219944082013,0.48387096774193555
41,826,0.8516483516483516,0.3870967741935484,0.9470198675496688,0.6670583208716085,0.47058823529411764
42,164,0.8296703296703297,0.4375,0.9133333333333333,0.6754166666666667,0.47457627118644063
43,715,0.8021978021978022,0.35135135135135137,0.9172413793103448,0.6342963653308481,0.4193548387096775
44,433,0.8406593406593407,0.45714285714285713,0.9319727891156463,0.6945578231292517,0.5245901639344263
45,349,0.8571428571428571,0.3225806451612903,0.9668874172185431,0.6447340311899167,0.4347826086956521
46,285,0.8296703296703297,0.4117647058823529,0.9256756756756757,0.6687201907790143,0.4745762711864407
47,160,0.8076923076923077,0.4186046511627907,0.9280575539568345,0.6733311025598127,0.5070422535211269
48,221,0.8186813186813187,0.4411764705882353,0.9054054054054054,0.6732909379968204,0.47619047619047616
49,981,0.8791208791208791,0.37037037037037035,0.967741935483871,0.6690561529271206,0.47619047619047616
50,782,0.7967032967032966,0.3333333333333333,0.9357142857142857,0.6345238095238095,0.4307692307692308
51,345,0.8241758241758241,0.4594594594594595,0.9172413793103448,0.6883504193849022,0.5151515151515151
52,105,0.7857142857142857,0.32608695652173914,0.9411764705882353,0.6336317135549872,0.43478260869565216
53,95,0.8516483516483516,0.5135135135135135,0.9379310344827586,0.725722273998136,0.5846153846153848
54,390,0.8681318681318682,0.4375,0.96,0.69875,0.5384615384615384
55,100,0.8296703296703297,0.42105263157894735,0.9375,0.6792763157894737,0.5079365079365079
56,368,0.8131868131868132,0.4,0.9115646258503401,0.6557823129251701,0.45161290322580644
57,868,0.8571428571428571,0.3939393939393939,0.959731543624161,0.6768354687817775,0.5
58,353,0.8131868131868132,0.2619047619047619,0.9785714285714285,0.6202380952380953,0.39285714285714285
59,619,0.7802197802197802,0.2978723404255319,0.9481481481481482,0.62301024428684,0.4117647058823529
60,271,0.8021978021978022,0.3076923076923077,0.9370629370629371,0.6223776223776224,0.4
61,827,0.8021978021978022,0.3181818181818182,0.9565217391304348,0.6373517786561265,0.4375
62,45,0.8296703296703297,0.42857142857142855,0.9251700680272109,0.6768707482993197,0.4918032786885245
63,748,0.8461538461538461,0.3888888888888889,0.958904109589041,0.673896499238965,0.5
64,471,0.8351648351648352,0.4,0.9387755102040817,0.6693877551020408,0.48275862068965525
65,550,0.8131868131868132,0.36666666666666664,0.9013157894736842,0.6339912280701754,0.3928571428571428
66,128,0.8296703296703297,0.3055555555555556,0.958904109589041,0.6322298325722984,0.41509433962264153
67,997,0.7967032967032966,0.4186046511627907,0.9136690647482014,0.666136857955496,0.49315068493150693
68,945,0.8186813186813187,0.28125,0.9333333333333333,0.6072916666666667,0.35294117647058826
69,388,0.8406593406593407,0.23076923076923078,0.9423076923076923,0.5865384615384616,0.29268292682926833
70,81,0.8351648351648352,0.4,0.9387755102040817,0.6693877551020408,0.48275862068965525
71,566,0.8076923076923077,0.325,0.9436619718309859,0.634330985915493,0.42622950819672134
72,301,0.7637362637362637,0.21621621621621623,0.903448275862069,0.5598322460391426,0.27118644067796616
73,850,0.8021978021978022,0.39473684210526316,0.9097222222222222,0.6522295321637427,0.45454545454545453
74,644,0.8131868131868132,0.3157894736842105,0.9444444444444444,0.6301169590643274,0.41379310344827586
75,634,0.8076923076923077,0.3142857142857143,0.9251700680272109,0.6197278911564625,0.38596491228070173
76,907,0.7912087912087912,0.2682926829268293,0.9432624113475178,0.6057775471371736,0.36666666666666664
77,883,0.8351648351648352,0.3448275862068966,0.9281045751633987,0.6364660806851477,0.39999999999999997
78,371,0.8021978021978022,0.2647058823529412,0.9256756756756757,0.5951907790143084,0.33333333333333337
79,592,0.8131868131868132,0.29411764705882354,0.9324324324324325,0.613275039745628,0.37037037037037035
80,197,0.8571428571428571,0.44,0.9235668789808917,0.6817834394904458,0.4583333333333333
81,722,0.8571428571428571,0.48148148148148145,0.9225806451612903,0.7020310633213859,0.5
82,72,0.7637362637362637,0.2727272727272727,0.9202898550724637,0.5965085638998682,0.3582089552238806
83,47,0.8461538461538461,0.40540540540540543,0.9586206896551724,0.6820130475302889,0.5172413793103449
84,678,0.8186813186813187,0.3953488372093023,0.9496402877697842,0.6724945624895432,0.5074626865671642
85,234,0.8186813186813187,0.3157894736842105,0.9513888888888888,0.6335891812865497,0.42105263157894735
86,792,0.8021978021978022,0.37209302325581395,0.935251798561151,0.6536724109084825,0.4705882352941177
87,297,0.7802197802197802,0.3181818181818182,0.927536231884058,0.6228590250329381,0.4117647058823529
88,82,0.8351648351648352,0.42857142857142855,0.9319727891156463,0.6802721088435374,0.5
89,876,0.8131868131868132,0.36585365853658536,0.9432624113475178,0.6545580349420516,0.46874999999999994
90,239,0.8241758241758241,0.35294117647058826,0.9324324324324325,0.6426868044515104,0.42857142857142855
91,888,0.7582417582417582,0.29545454545454547,0.9057971014492754,0.6006258234519104,0.37142857142857144
92,104,0.7967032967032966,0.375,0.8866666666666667,0.6308333333333334,0.3934426229508197
93,390,0.8681318681318682,0.4375,0.96,0.69875,0.5384615384615384
94,285,0.8296703296703297,0.4117647058823529,0.9256756756756757,0.6687201907790143,0.4745762711864407
95,465,0.8131868131868132,0.3235294117647059,0.9256756756756757,0.6246025437201908,0.3928571428571429
96,651,0.7912087912087912,0.3,0.9295774647887324,0.6147887323943662,0.3870967741935483
97,855,0.7747252747252747,0.225,0.9295774647887324,0.5772887323943662,0.30508474576271183
98,374,0.8351648351648352,0.3,0.9407894736842105,0.6203947368421052,0.37499999999999994
99,167,0.8186813186813187,0.3,0.9647887323943662,0.6323943661971831,0.42105263157894735
100,380,0.8186813186813187,0.3157894736842105,0.9513888888888888,0.6335891812865497,0.42105263157894735
