model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.7967032967032966,0.21951219512195122,0.9645390070921985,0.5920256011070749,0.32727272727272727
2,115,0.7912087912087912,0.2765957446808511,0.9703703703703703,0.6234830575256107,0.40624999999999994
3,26,0.8186813186813187,0.17142857142857143,0.9727891156462585,0.572108843537415,0.26666666666666666
4,760,0.8186813186813187,0.17142857142857143,0.9727891156462585,0.572108843537415,0.26666666666666666
5,282,0.8021978021978022,0.20930232558139536,0.9856115107913669,0.5974569181863811,0.33333333333333337
6,251,0.8241758241758241,0.20512820512820512,0.993006993006993,0.5990675990675991,0.3333333333333333
7,229,0.7582417582417582,0.18,0.9772727272727273,0.5786363636363636,0.2903225806451613
8,143,0.8076923076923077,0.25,0.9855072463768116,0.6177536231884058,0.38596491228070173
9,755,0.8131868131868132,0.17142857142857143,0.9659863945578231,0.5687074829931973,0.26086956521739124
10,105,0.7582417582417582,0.17391304347826086,0.9558823529411765,0.5648976982097187,0.26666666666666666
11,693,0.8131868131868132,0.2727272727272727,0.9855072463768116,0.6291172595520422,0.41379310344827586
12,759,0.8241758241758241,0.09375,0.98,0.536875,0.15789473684210525
13,914,0.8296703296703297,0.2647058823529412,0.9594594594594594,0.6120826709062003,0.36734693877551017
14,559,0.8351648351648352,0.25,0.9794520547945206,0.6147260273972603,0.375
15,90,0.8296703296703297,0.275,0.9859154929577465,0.6304577464788732,0.41509433962264153
16,605,0.8186813186813187,0.24390243902439024,0.9858156028368794,0.6148590209306348,0.37735849056603776
17,433,0.8516483516483516,0.34285714285714286,0.9727891156462585,0.6578231292517007,0.47058823529411753
18,33,0.8076923076923077,0.1794871794871795,0.9790209790209791,0.5792540792540792,0.2857142857142857
19,31,0.8021978021978022,0.23684210526315788,0.9513888888888888,0.5941154970760234,0.3333333333333333
20,96,0.8241758241758241,0.3333333333333333,0.9328859060402684,0.6331096196868009,0.40740740740740733
21,224,0.7747252747252747,0.11904761904761904,0.9714285714285714,0.5452380952380952,0.196078431372549
22,239,0.8241758241758241,0.2647058823529412,0.9527027027027027,0.608704292527822,0.36000000000000004
23,518,0.7967032967032966,0.1794871794871795,0.965034965034965,0.5722610722610723,0.2745098039215686
24,617,0.8516483516483516,0.32432432432432434,0.9862068965517241,0.6552656104380242,0.4705882352941177
25,28,0.8351648351648352,0.21428571428571427,0.948051948051948,0.5811688311688311,0.2857142857142857
26,575,0.7967032967032966,0.25,0.9710144927536232,0.6105072463768115,0.3728813559322034
27,204,0.7857142857142857,0.11363636363636363,1.0,0.5568181818181818,0.20408163265306123
28,734,0.8351648351648352,0.21875,0.9666666666666667,0.5927083333333334,0.31818181818181823
29,666,0.8241758241758241,0.2564102564102564,0.9790209790209791,0.6177156177156178,0.38461538461538464
30,719,0.8131868131868132,0.1951219512195122,0.9929078014184397,0.594014876318976,0.32
31,559,0.8351648351648352,0.25,0.9794520547945206,0.6147260273972603,0.375
32,430,0.8241758241758241,0.39473684210526316,0.9375,0.6661184210526316,0.48387096774193544
33,226,0.8241758241758241,0.22857142857142856,0.9659863945578231,0.5972789115646259,0.3333333333333333
34,460,0.7912087912087912,0.16279069767441862,0.9856115107913669,0.5742011042328927,0.2692307692307693
35,604,0.7637362637362637,0.11904761904761904,0.9571428571428572,0.5380952380952381,0.18867924528301885
36,285,0.8461538461538461,0.29411764705882354,0.972972972972973,0.6335453100158983,0.4166666666666667
37,829,0.8076923076923077,0.225,0.971830985915493,0.5984154929577465,0.339622641509434
38,891,0.8461538461538461,0.17857142857142858,0.9675324675324676,0.573051948051948,0.2631578947368421
39,7,0.8241758241758241,0.2631578947368421,0.9722222222222222,0.6176900584795322,0.3846153846153846
40,778,0.8186813186813187,0.24324324324324326,0.9655172413793104,0.6043802423112768,0.35294117647058826
41,826,0.8461538461538461,0.22580645161290322,0.9735099337748344,0.5996581926938688,0.3333333333333333
42,164,0.8516483516483516,0.28125,0.9733333333333334,0.6272916666666667,0.4
43,715,0.8076923076923077,0.2702702702702703,0.9448275862068966,0.6075489282385834,0.36363636363636365
44,433,0.8516483516483516,0.34285714285714286,0.9727891156462585,0.6578231292517007,0.47058823529411753
45,349,0.8406593406593407,0.22580645161290322,0.9668874172185431,0.5963469344157232,0.3255813953488372
46,285,0.8461538461538461,0.29411764705882354,0.972972972972973,0.6335453100158983,0.4166666666666667
47,160,0.8076923076923077,0.23255813953488372,0.9856115107913669,0.6090848251631253,0.3636363636363636
48,221,0.8021978021978022,0.2647058823529412,0.9256756756756757,0.5951907790143084,0.33333333333333337
49,981,0.8846153846153846,0.3333333333333333,0.9806451612903225,0.656989247311828,0.46153846153846156
50,782,0.7912087912087912,0.21428571428571427,0.9642857142857143,0.5892857142857143,0.32142857142857145
51,345,0.7912087912087912,0.1891891891891892,0.9448275862068966,0.5670083876980428,0.2692307692307693
52,105,0.7582417582417582,0.17391304347826086,0.9558823529411765,0.5648976982097187,0.26666666666666666
53,95,0.8131868131868132,0.16216216216216217,0.9793103448275862,0.5707362534948741,0.26086956521739135
54,390,0.8516483516483516,0.21875,0.9866666666666667,0.6027083333333334,0.34146341463414637
55,100,0.8296703296703297,0.23684210526315788,0.9861111111111112,0.6114766081871346,0.3673469387755102
56,368,0.8186813186813187,0.22857142857142856,0.9591836734693877,0.5938775510204082,0.32653061224489793
57,868,0.8461538461538461,0.2727272727272727,0.9731543624161074,0.6229408175716901,0.391304347826087
58,353,0.8076923076923077,0.23809523809523808,0.9785714285714285,0.6083333333333333,0.36363636363636365
59,619,0.7362637362637363,0.1276595744680851,0.9481481481481482,0.5379038613081166,0.2
60,271,0.7857142857142857,0.1794871794871795,0.951048951048951,0.5652680652680653,0.2641509433962264
61,827,0.7802197802197802,0.1590909090909091,0.9782608695652174,0.5686758893280632,0.25925925925925924
62,45,0.8076923076923077,0.2571428571428571,0.9387755102040817,0.5979591836734695,0.33962264150943394
63,748,0.8351648351648352,0.2777777777777778,0.9726027397260274,0.6251902587519026,0.4
64,471,0.8406593406593407,0.2,0.9931972789115646,0.5965986394557823,0.32558139534883723
65,550,0.8131868131868132,0.16666666666666666,0.9407894736842105,0.5537280701754386,0.22727272727272724
66,128,0.8351648351648352,0.3055555555555556,0.9657534246575342,0.6356544901065448,0.42307692307692313
67,997,0.8076923076923077,0.32558139534883723,0.9568345323741008,0.6412079638614689,0.44444444444444453
68,945,0.8571428571428571,0.25,0.9866666666666667,0.6183333333333334,0.38095238095238093
69,388,0.8351648351648352,0.19230769230769232,0.9423076923076923,0.5673076923076923,0.25
70,81,0.8296703296703297,0.2,0.9795918367346939,0.5897959183673469,0.3111111111111111
71,566,0.8131868131868132,0.225,0.9788732394366197,0.6019366197183099,0.3461538461538462
72,301,0.8021978021978022,0.13513513513513514,0.9724137931034482,0.5537744641192917,0.2173913043478261
73,850,0.7967032967032966,0.23684210526315788,0.9444444444444444,0.5906432748538012,0.3272727272727273
74,644,0.7857142857142857,0.15789473684210525,0.9513888888888888,0.5546418128654971,0.23529411764705882
75,634,0.8076923076923077,0.11428571428571428,0.9727891156462585,0.5435374149659864,0.18604651162790695
76,907,0.7912087912087912,0.12195121951219512,0.9858156028368794,0.5538834111745372,0.20833333333333334
77,883,0.8516483516483516,0.1724137931034483,0.9803921568627451,0.5764029749830967,0.2702702702702703
78,371,0.8296703296703297,0.20588235294117646,0.972972972972973,0.5894276629570747,0.3111111111111111
