model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8406593406593407,0.4634146341463415,0.950354609929078,0.7068846220377097,0.5671641791044776
2,115,0.8406593406593407,0.5106382978723404,0.9555555555555556,0.733096926713948,0.6233766233766233
3,26,0.8461538461538461,0.4,0.9523809523809523,0.6761904761904762,0.5
4,760,0.8461538461538461,0.37142857142857144,0.9591836734693877,0.6653061224489796,0.4814814814814815
5,282,0.8351648351648352,0.3953488372093023,0.9712230215827338,0.6832859293960181,0.53125
6,251,0.8461538461538461,0.41025641025641024,0.965034965034965,0.6876456876456876,0.5333333333333333
7,229,0.7967032967032966,0.4,0.946969696969697,0.6734848484848486,0.5194805194805194
8,143,0.8461538461538461,0.5227272727272727,0.9492753623188406,0.7360013175230566,0.6216216216216216
9,755,0.8791208791208791,0.5428571428571428,0.9591836734693877,0.7510204081632652,0.6333333333333332
10,105,0.8351648351648352,0.5217391304347826,0.9411764705882353,0.7314578005115089,0.6153846153846153
11,693,0.8846153846153846,0.5681818181818182,0.9855072463768116,0.7768445322793149,0.7042253521126761
12,759,0.8956043956043956,0.4375,0.9933333333333333,0.7154166666666666,0.5957446808510638
13,914,0.8901098901098901,0.5588235294117647,0.9662162162162162,0.7625198728139905,0.6551724137931034
14,559,0.9230769230769231,0.6111111111111112,1.0,0.8055555555555556,0.7586206896551725
15,90,0.8846153846153846,0.65,0.9507042253521126,0.8003521126760563,0.7123287671232875
16,605,0.8681318681318682,0.5609756097560976,0.9574468085106383,0.759211209133368,0.6571428571428573
17,433,0.9120879120879121,0.7142857142857143,0.9591836734693877,0.8367346938775511,0.7575757575757576
18,33,0.8681318681318682,0.48717948717948717,0.972027972027972,0.7296037296037295,0.6129032258064516
19,31,0.8791208791208791,0.631578947368421,0.9444444444444444,0.7880116959064327,0.6857142857142857
20,96,0.8681318681318682,0.5454545454545454,0.9395973154362416,0.7425259304453935,0.6
21,224,0.8461538461538461,0.47619047619047616,0.9571428571428572,0.7166666666666667,0.588235294117647
22,239,0.8626373626373627,0.47058823529411764,0.9527027027027027,0.7116454689984102,0.5614035087719297
23,518,0.8516483516483516,0.5128205128205128,0.9440559440559441,0.7284382284382285,0.5970149253731343
24,617,0.8736263736263736,0.5405405405405406,0.9586206896551724,0.7495806150978566,0.6349206349206349
25,28,0.8736263736263736,0.5357142857142857,0.935064935064935,0.7353896103896104,0.5660377358490566
26,575,0.8406593406593407,0.4772727272727273,0.9565217391304348,0.716897233201581,0.5915492957746479
27,204,0.8516483516483516,0.4772727272727273,0.9710144927536232,0.7241436100131753,0.6086956521739131
28,734,0.8571428571428571,0.59375,0.9133333333333333,0.7535416666666667,0.59375
29,666,0.8241758241758241,0.5128205128205128,0.9090909090909091,0.710955710955711,0.5555555555555556
30,719,0.8736263736263736,0.4878048780487805,0.9858156028368794,0.73681024044283,0.6349206349206349
31,559,0.9230769230769231,0.6111111111111112,1.0,0.8055555555555556,0.7586206896551725
32,430,0.9010989010989011,0.5789473684210527,0.9861111111111112,0.7825292397660819,0.7096774193548387
33,226,0.8956043956043956,0.6571428571428571,0.9523809523809523,0.8047619047619048,0.7076923076923077
34,460,0.8626373626373627,0.5348837209302325,0.9640287769784173,0.7494562489543248,0.647887323943662
35,604,0.8516483516483516,0.47619047619047616,0.9642857142857143,0.7202380952380952,0.5970149253731344
36,285,0.8846153846153846,0.5588235294117647,0.9594594594594594,0.7591414944356121,0.6440677966101696
37,829,0.8571428571428571,0.475,0.9647887323943662,0.719894366197183,0.5937499999999999
38,891,0.9010989010989011,0.5357142857142857,0.9675324675324676,0.7516233766233766,0.6250000000000001
39,7,0.9010989010989011,0.6052631578947368,0.9791666666666666,0.7922149122807017,0.71875
40,778,0.8626373626373627,0.5945945945945946,0.9310344827586207,0.7628145386766076,0.6376811594202898
41,826,0.8846153846153846,0.5161290322580645,0.9602649006622517,0.7381969664601581,0.6037735849056604
42,164,0.8736263736263736,0.53125,0.9466666666666667,0.7389583333333334,0.5964912280701754
43,715,0.8626373626373627,0.6216216216216216,0.9241379310344827,0.7728797763280522,0.6478873239436619
44,433,0.9120879120879121,0.7142857142857143,0.9591836734693877,0.8367346938775511,0.7575757575757576
45,349,0.8846153846153846,0.45161290322580644,0.9735099337748344,0.7125614185003204,0.5714285714285714
46,285,0.8846153846153846,0.5588235294117647,0.9594594594594594,0.7591414944356121,0.6440677966101696
47,160,0.8406593406593407,0.5116279069767442,0.9424460431654677,0.7270369750711059,0.6027397260273971
48,221,0.8956043956043956,0.6764705882352942,0.9459459459459459,0.81120826709062,0.7076923076923077
49,981,0.8901098901098901,0.48148148148148145,0.9612903225806452,0.7213859020310633,0.5652173913043478
50,782,0.8626373626373627,0.5714285714285714,0.95,0.7607142857142857,0.6575342465753424
51,345,0.8791208791208791,0.6216216216216216,0.9448275862068966,0.7832246039142591,0.676470588235294
52,105,0.8351648351648352,0.5217391304347826,0.9411764705882353,0.7314578005115089,0.6153846153846153
53,95,0.8736263736263736,0.5405405405405406,0.9586206896551724,0.7495806150978566,0.6349206349206349
54,390,0.9065934065934066,0.53125,0.9866666666666667,0.7589583333333334,0.6666666666666666
55,100,0.8681318681318682,0.5263157894736842,0.9583333333333334,0.7423245614035088,0.625
56,368,0.8846153846153846,0.5428571428571428,0.9659863945578231,0.754421768707483,0.6440677966101694
57,868,0.8901098901098901,0.5454545454545454,0.9664429530201343,0.7559487492373398,0.6428571428571429
58,353,0.8846153846153846,0.5238095238095238,0.9928571428571429,0.7583333333333333,0.6769230769230768
59,619,0.8241758241758241,0.3617021276595745,0.9851851851851852,0.6734436564223798,0.5151515151515151
60,271,0.8736263736263736,0.5384615384615384,0.965034965034965,0.7517482517482517,0.6461538461538461
61,827,0.8186813186813187,0.36363636363636365,0.9637681159420289,0.6637022397891963,0.4923076923076923
62,45,0.8791208791208791,0.5142857142857142,0.9659863945578231,0.7401360544217687,0.6206896551724138
63,748,0.8901098901098901,0.5555555555555556,0.9726027397260274,0.7640791476407915,0.6666666666666667
64,471,0.8901098901098901,0.6571428571428571,0.9455782312925171,0.8013605442176871,0.6969696969696969
65,550,0.8791208791208791,0.5666666666666667,0.9407894736842105,0.7537280701754385,0.6071428571428571
66,128,0.8956043956043956,0.5833333333333334,0.9726027397260274,0.7779680365296804,0.6885245901639344
67,997,0.8131868131868132,0.5348837209302325,0.8992805755395683,0.7170821482349004,0.575
68,945,0.8901098901098901,0.59375,0.9533333333333334,0.7735416666666667,0.6551724137931033
69,388,0.8846153846153846,0.5,0.9487179487179487,0.7243589743589743,0.5531914893617021
70,81,0.8791208791208791,0.5142857142857142,0.9659863945578231,0.7401360544217687,0.6206896551724138
71,566,0.8736263736263736,0.5,0.9788732394366197,0.7394366197183099,0.634920634920635
72,301,0.8626373626373627,0.4594594594594595,0.9655172413793104,0.712488350419385,0.576271186440678
73,850,0.8516483516483516,0.5263157894736842,0.9375,0.731907894736842,0.5970149253731344
74,644,0.8736263736263736,0.5526315789473685,0.9583333333333334,0.7554824561403509,0.6461538461538462
75,634,0.8736263736263736,0.5428571428571428,0.9523809523809523,0.7476190476190476,0.6229508196721311
76,907,0.8296703296703297,0.4634146341463415,0.9361702127659575,0.6997924234561494,0.5507246376811594
77,883,0.9065934065934066,0.6896551724137931,0.9477124183006536,0.8186837953572234,0.7017543859649122
78,371,0.8956043956043956,0.5882352941176471,0.9662162162162162,0.7772257551669317,0.6779661016949153
79,592,0.8626373626373627,0.47058823529411764,0.9527027027027027,0.7116454689984102,0.5614035087719297
80,197,0.9230769230769231,0.72,0.9554140127388535,0.8377070063694267,0.72
81,722,0.8846153846153846,0.5555555555555556,0.9419354838709677,0.7487455197132616,0.5882352941176471
82,72,0.7692307692307693,0.29545454545454547,0.9202898550724637,0.6078722002635046,0.38235294117647056
83,47,0.8791208791208791,0.5135135135135135,0.9724137931034482,0.7429636533084809,0.6333333333333333
84,678,0.8791208791208791,0.5813953488372093,0.9712230215827338,0.7763091852099715,0.6944444444444445
85,234,0.8681318681318682,0.47368421052631576,0.9722222222222222,0.722953216374269,0.6
86,792,0.8516483516483516,0.6046511627906976,0.9280575539568345,0.7663543583737661,0.6582278481012659
87,297,0.8571428571428571,0.5,0.9710144927536232,0.7355072463768115,0.6285714285714286
88,82,0.8461538461538461,0.5142857142857142,0.9251700680272109,0.7197278911564626,0.5625
89,876,0.8846153846153846,0.5853658536585366,0.9716312056737588,0.7784985296661477,0.6956521739130435
90,239,0.8626373626373627,0.47058823529411764,0.9527027027027027,0.7116454689984102,0.5614035087719297
91,888,0.8241758241758241,0.4772727272727273,0.9347826086956522,0.7060276679841897,0.5675675675675677
92,104,0.8351648351648352,0.4375,0.92,0.67875,0.4827586206896552
93,390,0.9065934065934066,0.53125,0.9866666666666667,0.7589583333333334,0.6666666666666666
94,285,0.8846153846153846,0.5588235294117647,0.9594594594594594,0.7591414944356121,0.6440677966101696
95,465,0.8626373626373627,0.47058823529411764,0.9527027027027027,0.7116454689984102,0.5614035087719297
96,651,0.8461538461538461,0.475,0.9507042253521126,0.7128521126760563,0.5757575757575758
97,855,0.8406593406593407,0.4,0.9647887323943662,0.6823943661971832,0.5245901639344264
98,374,0.8956043956043956,0.43333333333333335,0.9868421052631579,0.7100877192982455,0.5777777777777778
99,167,0.8626373626373627,0.425,0.9859154929577465,0.7054577464788733,0.576271186440678
100,380,0.8296703296703297,0.42105263157894735,0.9375,0.6792763157894737,0.5079365079365079
