model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8131868131868132,0.6585365853658537,0.8581560283687943,0.758346306867324,0.6136363636363638
2,115,0.7692307692307693,0.6382978723404256,0.8148148148148148,0.7265563435776201,0.5882352941176471
3,26,0.7692307692307693,0.5714285714285714,0.8163265306122449,0.6938775510204082,0.4878048780487805
4,760,0.7967032967032966,0.6857142857142857,0.8231292517006803,0.754421768707483,0.5647058823529412
5,282,0.7472527472527473,0.5116279069767442,0.8201438848920863,0.6658858959344153,0.4888888888888889
6,251,0.8351648351648352,0.6410256410256411,0.8881118881118881,0.7645687645687647,0.625
7,229,0.7637362637362637,0.58,0.8333333333333334,0.7066666666666667,0.5742574257425743
8,143,0.8021978021978022,0.6818181818181818,0.8405797101449275,0.7611989459815547,0.6249999999999999
9,755,0.8186813186813187,0.6285714285714286,0.8639455782312925,0.7462585034013605,0.5714285714285715
10,105,0.7637362637362637,0.6739130434782609,0.7941176470588235,0.7340153452685422,0.5904761904761905
11,693,0.7802197802197802,0.5681818181818182,0.8478260869565217,0.7080039525691699,0.5555555555555556
12,759,0.8076923076923077,0.53125,0.8666666666666667,0.6989583333333333,0.4927536231884059
13,914,0.7747252747252747,0.5882352941176471,0.8175675675675675,0.7029014308426074,0.49382716049382713
14,559,0.7857142857142857,0.75,0.7945205479452054,0.7722602739726028,0.5806451612903226
15,90,0.7637362637362637,0.65,0.795774647887324,0.722887323943662,0.5473684210526315
16,605,0.8296703296703297,0.8048780487804879,0.8368794326241135,0.8208787407023006,0.6804123711340206
17,433,0.8186813186813187,0.7714285714285715,0.8299319727891157,0.8006802721088435,0.6206896551724139
18,33,0.7967032967032966,0.6666666666666666,0.8321678321678322,0.7494172494172494,0.5842696629213484
19,31,0.8296703296703297,0.6842105263157895,0.8680555555555556,0.7761330409356726,0.6265060240963854
20,96,0.7472527472527473,0.7272727272727273,0.7516778523489933,0.7394752898108603,0.5106382978723404
21,224,0.8021978021978022,0.6190476190476191,0.8571428571428571,0.7380952380952381,0.5909090909090909
22,239,0.8296703296703297,0.6764705882352942,0.8648648648648649,0.7706677265500795,0.5974025974025974
23,518,0.7472527472527473,0.5897435897435898,0.7902097902097902,0.6899766899766899,0.5
24,617,0.7582417582417582,0.6756756756756757,0.7793103448275862,0.7274930102516309,0.5319148936170213
25,28,0.7802197802197802,0.6428571428571429,0.8051948051948052,0.724025974025974,0.4736842105263159
26,575,0.7747252747252747,0.6363636363636364,0.8188405797101449,0.7276021080368906,0.5773195876288659
27,204,0.7912087912087912,0.5909090909090909,0.855072463768116,0.7229907773386035,0.5777777777777778
28,734,0.7197802197802198,0.65625,0.7333333333333333,0.6947916666666667,0.4516129032258065
29,666,0.7912087912087912,0.717948717948718,0.8111888111888111,0.7645687645687645,0.5957446808510638
30,719,0.8296703296703297,0.6341463414634146,0.8865248226950354,0.760335582079225,0.6265060240963854
31,559,0.7857142857142857,0.75,0.7945205479452054,0.7722602739726028,0.5806451612903226
32,430,0.7967032967032966,0.631578947368421,0.8402777777777778,0.7359283625730995,0.5647058823529411
33,226,0.7912087912087912,0.6285714285714286,0.8299319727891157,0.7292517006802721,0.5365853658536586
34,460,0.8241758241758241,0.6511627906976745,0.8776978417266187,0.7644303162121466,0.6363636363636364
35,604,0.7857142857142857,0.5714285714285714,0.85,0.7107142857142856,0.5517241379310344
36,285,0.7692307692307693,0.6176470588235294,0.8040540540540541,0.7108505564387917,0.5
37,829,0.8131868131868132,0.625,0.8661971830985915,0.7455985915492958,0.5952380952380952
38,891,0.7857142857142857,0.6071428571428571,0.8181818181818182,0.7126623376623377,0.4657534246575342
39,7,0.8021978021978022,0.6842105263157895,0.8333333333333334,0.7587719298245614,0.5909090909090909
40,778,0.6978021978021978,0.6486486486486487,0.7103448275862069,0.6794967381174277,0.4660194174757281
41,826,0.7857142857142857,0.5483870967741935,0.8344370860927153,0.6914120914334544,0.4657534246575342
42,164,0.7912087912087912,0.6875,0.8133333333333334,0.7504166666666667,0.5365853658536586
43,715,0.7692307692307693,0.7567567567567568,0.7724137931034483,0.7645852749301025,0.5714285714285715
44,433,0.8186813186813187,0.7714285714285715,0.8299319727891157,0.8006802721088435,0.6206896551724139
45,349,0.7417582417582418,0.5161290322580645,0.7880794701986755,0.65210425122837,0.4050632911392405
46,285,0.7692307692307693,0.6176470588235294,0.8040540540540541,0.7108505564387917,0.5
47,160,0.7967032967032966,0.7441860465116279,0.8129496402877698,0.7785678433996989,0.6336633663366337
48,221,0.8021978021978022,0.7941176470588235,0.8040540540540541,0.7990858505564388,0.6
49,981,0.7747252747252747,0.7407407407407407,0.7806451612903226,0.7606929510155316,0.4938271604938271
50,782,0.8351648351648352,0.7857142857142857,0.85,0.8178571428571428,0.6875000000000001
51,345,0.7747252747252747,0.7297297297297297,0.7862068965517242,0.7579683131407269,0.5684210526315788
52,105,0.7637362637362637,0.6739130434782609,0.7941176470588235,0.7340153452685422,0.5904761904761905
53,95,0.7857142857142857,0.6486486486486487,0.8206896551724138,0.7346691519105313,0.5517241379310345
54,390,0.7912087912087912,0.75,0.8,0.775,0.5581395348837209
55,100,0.8021978021978022,0.631578947368421,0.8472222222222222,0.7394005847953216,0.5714285714285715
56,368,0.7857142857142857,0.5142857142857142,0.8503401360544217,0.6823129251700679,0.48
57,868,0.7802197802197802,0.6666666666666666,0.8053691275167785,0.7360178970917226,0.5238095238095237
58,353,0.8076923076923077,0.6666666666666666,0.85,0.7583333333333333,0.6153846153846153
59,619,0.7582417582417582,0.574468085106383,0.8222222222222222,0.6983451536643026,0.5510204081632654
60,271,0.7747252747252747,0.5641025641025641,0.8321678321678322,0.6981351981351982,0.5176470588235293
61,827,0.7692307692307693,0.5454545454545454,0.8405797101449275,0.6930171277997365,0.5333333333333332
62,45,0.7857142857142857,0.6285714285714286,0.8231292517006803,0.7258503401360544,0.5301204819277109
63,748,0.7802197802197802,0.6111111111111112,0.821917808219178,0.7165144596651446,0.5238095238095238
64,471,0.6978021978021978,0.7714285714285715,0.6802721088435374,0.7258503401360544,0.4954128440366973
65,550,0.7802197802197802,0.7333333333333333,0.7894736842105263,0.7614035087719297,0.5238095238095238
66,128,0.8021978021978022,0.75,0.815068493150685,0.7825342465753424,0.6
67,997,0.7142857142857143,0.5813953488372093,0.7553956834532374,0.6683955161452233,0.4901960784313726
68,945,0.7747252747252747,0.75,0.78,0.765,0.5393258426966292
69,388,0.8131868131868132,0.5769230769230769,0.8525641025641025,0.7147435897435896,0.46875
70,81,0.8021978021978022,0.6285714285714286,0.8435374149659864,0.7360544217687075,0.5499999999999999
71,566,0.8241758241758241,0.7,0.8591549295774648,0.7795774647887324,0.6363636363636365
72,301,0.7637362637362637,0.6486486486486487,0.7931034482758621,0.7208760484622554,0.5274725274725275
73,850,0.7582417582417582,0.6842105263157895,0.7777777777777778,0.7309941520467836,0.5416666666666666
74,644,0.8131868131868132,0.6052631578947368,0.8680555555555556,0.7366593567251463,0.575
75,634,0.8186813186813187,0.6285714285714286,0.8639455782312925,0.7462585034013605,0.5714285714285715
76,907,0.7967032967032966,0.5853658536585366,0.8581560283687943,0.7217609410136654,0.5647058823529411
77,883,0.8021978021978022,0.6896551724137931,0.8235294117647058,0.7565922920892495,0.5263157894736842
78,371,0.8021978021978022,0.6764705882352942,0.831081081081081,0.7537758346581875,0.5609756097560975
79,592,0.8186813186813187,0.6176470588235294,0.8648648648648649,0.7412559618441972,0.56
80,197,0.7747252747252747,0.72,0.7834394904458599,0.75171974522293,0.4675324675324676
81,722,0.8351648351648352,0.6296296296296297,0.8709677419354839,0.7502986857825568,0.53125
82,72,0.7362637362637363,0.45454545454545453,0.8260869565217391,0.6403162055335968,0.45454545454545453
83,47,0.7967032967032966,0.5675675675675675,0.8551724137931035,0.7113699906803355,0.5316455696202531
84,678,0.8076923076923077,0.7674418604651163,0.8201438848920863,0.7937928726786013,0.6534653465346535
85,234,0.8021978021978022,0.631578947368421,0.8472222222222222,0.7394005847953216,0.5714285714285715
86,792,0.8021978021978022,0.627906976744186,0.8561151079136691,0.7420110423289276,0.6
87,297,0.8296703296703297,0.6818181818181818,0.8768115942028986,0.7793148880105402,0.6593406593406593
88,82,0.7692307692307693,0.5142857142857142,0.8299319727891157,0.672108843537415,0.4615384615384615
89,876,0.7802197802197802,0.6585365853658537,0.8156028368794326,0.7370697111226432,0.574468085106383
90,239,0.8296703296703297,0.6764705882352942,0.8648648648648649,0.7706677265500795,0.5974025974025974
91,888,0.7747252747252747,0.6363636363636364,0.8188405797101449,0.7276021080368906,0.5773195876288659
92,104,0.7252747252747253,0.625,0.7466666666666667,0.6858333333333333,0.4444444444444445
