model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8076923076923077,0.14634146341463414,1.0,0.573170731707317,0.2553191489361702
2,115,0.7857142857142857,0.1702127659574468,1.0,0.5851063829787234,0.2909090909090909
3,26,0.8351648351648352,0.14285714285714285,1.0,0.5714285714285714,0.25
4,760,0.8296703296703297,0.11428571428571428,1.0,0.5571428571428572,0.20512820512820512
5,282,0.7912087912087912,0.11627906976744186,1.0,0.5581395348837209,0.20833333333333334
6,251,0.8406593406593407,0.2564102564102564,1.0,0.6282051282051282,0.4081632653061224
7,229,0.7582417582417582,0.12,1.0,0.56,0.21428571428571425
8,143,0.8131868131868132,0.22727272727272727,1.0,0.6136363636363636,0.37037037037037035
9,755,0.8516483516483516,0.22857142857142856,1.0,0.6142857142857143,0.3720930232558139
10,105,0.8021978021978022,0.21739130434782608,1.0,0.6086956521739131,0.3571428571428571
11,693,0.8131868131868132,0.22727272727272727,1.0,0.6136363636363636,0.37037037037037035
12,759,0.8516483516483516,0.15625,1.0,0.578125,0.2702702702702703
13,914,0.8626373626373627,0.2647058823529412,1.0,0.6323529411764706,0.4186046511627907
14,559,0.8516483516483516,0.25,1.0,0.625,0.4
15,90,0.8351648351648352,0.25,1.0,0.625,0.4
16,605,0.8351648351648352,0.2682926829268293,1.0,0.6341463414634146,0.4230769230769231
17,433,0.8681318681318682,0.3142857142857143,1.0,0.6571428571428571,0.4782608695652174
18,33,0.8406593406593407,0.2564102564102564,1.0,0.6282051282051282,0.4081632653061224
19,31,0.8296703296703297,0.18421052631578946,1.0,0.5921052631578947,0.3111111111111111
20,96,0.8571428571428571,0.21212121212121213,1.0,0.6060606060606061,0.35
21,224,0.8021978021978022,0.14285714285714285,1.0,0.5714285714285714,0.25
22,239,0.8351648351648352,0.11764705882352941,1.0,0.5588235294117647,0.21052631578947367
23,518,0.8296703296703297,0.20512820512820512,1.0,0.6025641025641025,0.3404255319148936
24,617,0.8571428571428571,0.2972972972972973,1.0,0.6486486486486487,0.4583333333333333
25,28,0.8626373626373627,0.14285714285714285,0.9935064935064936,0.5681818181818182,0.24242424242424243
26,575,0.7967032967032966,0.1590909090909091,1.0,0.5795454545454546,0.2745098039215686
27,204,0.7967032967032966,0.1590909090909091,1.0,0.5795454545454546,0.2745098039215686
28,734,0.8626373626373627,0.21875,1.0,0.609375,0.358974358974359
29,666,0.8241758241758241,0.1794871794871795,1.0,0.5897435897435898,0.30434782608695654
30,719,0.8076923076923077,0.14634146341463414,1.0,0.573170731707317,0.2553191489361702
31,559,0.8516483516483516,0.25,1.0,0.625,0.4
32,430,0.8351648351648352,0.23684210526315788,0.9930555555555556,0.6149488304093568,0.375
33,226,0.8626373626373627,0.2857142857142857,1.0,0.6428571428571428,0.4444444444444445
34,460,0.8186813186813187,0.23255813953488372,1.0,0.6162790697674418,0.37735849056603776
35,604,0.7967032967032966,0.11904761904761904,1.0,0.5595238095238095,0.21276595744680848
36,285,0.8461538461538461,0.17647058823529413,1.0,0.5882352941176471,0.3
37,829,0.8076923076923077,0.15,0.9929577464788732,0.5714788732394366,0.2553191489361702
38,891,0.8846153846153846,0.25,1.0,0.625,0.4
39,7,0.8241758241758241,0.15789473684210525,1.0,0.5789473684210527,0.2727272727272727
40,778,0.8516483516483516,0.2702702702702703,1.0,0.6351351351351351,0.4255319148936171
41,826,0.8516483516483516,0.12903225806451613,1.0,0.564516129032258,0.2285714285714286
42,164,0.8626373626373627,0.25,0.9933333333333333,0.6216666666666666,0.3902439024390244
43,715,0.8461538461538461,0.2702702702702703,0.993103448275862,0.6316868592730662,0.4166666666666667
44,433,0.8681318681318682,0.3142857142857143,1.0,0.6571428571428571,0.4782608695652174
45,349,0.8681318681318682,0.22580645161290322,1.0,0.6129032258064516,0.3684210526315789
46,285,0.8461538461538461,0.17647058823529413,1.0,0.5882352941176471,0.3
47,160,0.8131868131868132,0.20930232558139536,1.0,0.6046511627906976,0.3461538461538462
48,221,0.8571428571428571,0.23529411764705882,1.0,0.6176470588235294,0.38095238095238093
49,981,0.8681318681318682,0.14814814814814814,0.9935483870967742,0.5708482676224611,0.25
50,782,0.8571428571428571,0.38095238095238093,1.0,0.6904761904761905,0.5517241379310345
51,345,0.8406593406593407,0.21621621621621623,1.0,0.6081081081081081,0.35555555555555557
52,105,0.8021978021978022,0.21739130434782608,1.0,0.6086956521739131,0.3571428571428571
