model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1,PubchemFP213_gini/coefs,PubchemFP3_gini/coefs,PubchemFP648_gini/coefs,PubchemFP641_gini/coefs,PubchemFP542_gini/coefs,PubchemFP438_gini/coefs,PubchemFP379_gini/coefs,PubchemFP668_gini/coefs,PubchemFP372_gini/coefs,PubchemFP447_gini/coefs,PubchemFP546_gini/coefs,PubchemFP301_gini/coefs,PubchemFP185_gini/coefs,PubchemFP180_gini/coefs,PubchemFP590_gini/coefs,PubchemFP363_gini/coefs,PubchemFP404_gini/coefs,PubchemFP152_gini/coefs,PubchemFP396_gini/coefs,PubchemFP577_gini/coefs,PubchemFP759_gini/coefs,PubchemFP655_gini/coefs,PubchemFP417_gini/coefs,PubchemFP494_gini/coefs,PubchemFP336_gini/coefs,PubchemFP536_gini/coefs,PubchemFP820_gini/coefs,PubchemFP501_gini/coefs,PubchemFP362_gini/coefs,PubchemFP607_gini/coefs,PubchemFP571_gini/coefs,PubchemFP535_gini/coefs,PubchemFP580_gini/coefs,PubchemFP621_gini/coefs,PubchemFP300_gini/coefs,PubchemFP801_gini/coefs,PubchemFP186_gini/coefs,PubchemFP712_gini/coefs,PubchemFP357_gini/coefs,PubchemFP386_gini/coefs,PubchemFP216_gini/coefs,PubchemFP13_gini/coefs,PubchemFP193_gini/coefs,PubchemFP373_gini/coefs,PubchemFP335_gini/coefs,PubchemFP522_gini/coefs,PubchemFP636_gini/coefs,PubchemFP596_gini/coefs,PubchemFP679_gini/coefs,PubchemFP392_gini/coefs,PubchemFP489_gini/coefs,PubchemFP788_gini/coefs,PubchemFP44_gini/coefs,PubchemFP652_gini/coefs,PubchemFP395_gini/coefs,PubchemFP617_gini/coefs,PubchemFP406_gini/coefs,PubchemFP708_gini/coefs,PubchemFP710_gini/coefs,PubchemFP678_gini/coefs,PubchemFP564_gini/coefs,PubchemFP716_gini/coefs,PubchemFP643_gini/coefs,PubchemFP16_gini/coefs,PubchemFP450_gini/coefs,PubchemFP405_gini/coefs,PubchemFP427_gini/coefs,PubchemFP731_gini/coefs,PubchemFP423_gini/coefs,PubchemFP822_gini/coefs,PubchemFP640_gini/coefs,PubchemFP639_gini/coefs,PubchemFP452_gini/coefs,PubchemFP409_gini/coefs,PubchemFP157_gini/coefs,PubchemFP376_gini/coefs,PubchemFP656_gini/coefs,PubchemFP470_gini/coefs,PubchemFP260_gini/coefs,PubchemFP814_gini/coefs,PubchemFP487_gini/coefs,PubchemFP674_gini/coefs,PubchemFP634_gini/coefs,PubchemFP181_gini/coefs,PubchemFP767_gini/coefs,PubchemFP757_gini/coefs,PubchemFP552_gini/coefs,PubchemFP597_gini/coefs,PubchemFP215_gini/coefs,PubchemFP646_gini/coefs,PubchemFP794_gini/coefs,PubchemFP806_gini/coefs,PubchemFP660_gini/coefs,PubchemFP550_gini/coefs,PubchemFP583_gini/coefs,PubchemFP654_gini/coefs,PubchemFP339_gini/coefs,PubchemFP547_gini/coefs
1,655,0.8736263736263736,0.7804878048780488,0.900709219858156,0.8405985123681023,0.7356321839080461,0.8762451766820573,1.3681579100291956,-1.8167760422446877,-1.0077758362163813,1.729291196394632,2.1051868459865757,-1.1585843701685572,-0.43681359712521045,1.3876170834344062,-1.1953577602135257,0.976625668821816,-0.8190339640382037,-1.5310538048204014,1.2882150927726248,1.2345383869986006,0.976683584292115,1.2542376580269596,1.1922221236012573,1.5506931145659408,-1.5146815422928699,0.7249967415076556,-1.0077758362163813,-0.8321908216666899,1.5595559365729024,0.8735018096214217,-1.441264805351682,-1.0849703162005038,-0.3945827913513722,0.9968219712783386,1.5367743393658688,1.0584285154509305,1.0674258403956396,-1.7026745539740367,1.2184891864638971,-1.0990013693388017,-0.8123148780189979,-1.4637780801047404,1.2660984213715512,1.468463354768001,-1.0315338868039479,0.5680879833096508,0.8423890576464591,-0.7193749891524523,-0.8118466540290611,-0.5395320072539495,0.9771260122366908,1.4338130189761116,-1.1835198015809747,-0.8751202416418489,1.326477493611042,1.1134250855448766,-0.7938938947977074,-0.8875552239242218,1.0810081681526698,-0.8190339640382037,-0.6814008489303515,0.8825300062220663,1.5968487592865555,-1.3748979186653099,-0.43681359712521045,0.5132467346104932,0.7818078017562958,-0.7407788927450452,0.8145336638257444,-1.0247920301710807,-0.46053592143625766,-0.8321908216666899,-0.8464528896990163,-0.6693288494334317,0.7249967415076556,-0.43681359712521045,1.1810733984285324,-0.9573573787765599,-1.0063874007965812,0.886311810539489,0.5182139815018034,-1.0798519186103521,0.5132467346104932,-0.7448857142336666,1.5667928827768953,-1.4807758033434115,1.0804571974701724,-0.43681359712521045,0.701330265211517,1.1064022210997984,-0.8679047897240701,0.5132467346104932,0.909581677217019,0.5680879833096508,-0.9326025335492791,-0.8464528896990163,0.9049240570493312,-0.43681359712521045,-0.3945827913513722,0.217233053770825,-0.33101425454898137,-0.46414228987551664,0.4686187526459408
2,115,0.8626373626373627,0.8723404255319149,0.8592592592592593,0.865799842395587,0.766355140186916,0.9370066420939346,1.09445367459523,-1.7211427212083668,-1.0396288580383217,2.1348549091498015,2.057208739068748,-1.224909299117247,-0.6958750040275802,1.5314281496003275,-1.659782195348077,0.6406556609207317,-1.1270799027836653,-1.1469922460408257,1.7205018917431252,1.3709506191490095,0.9297129912106302,1.426054284247715,0.9510126834775893,1.8237838720581203,-1.5345284237641394,0.7214801269230409,-1.0396288580383217,-0.8199127164374497,1.29926477725629,0.5573345012103764,-1.062367993747163,-0.8840498719184738,-0.7344554273702447,1.6617546487085748,1.6113876513152652,1.8405721191691555,1.15956839402195,-1.7389116791289425,1.287507693205681,-0.9896069571803072,-0.552986199499243,-1.5034605357792334,1.3722244567161466,1.5867552372625708,-0.7642559682347606,0.3740710035504354,0.7907308041190189,-0.8446051425706066,-1.1468803322656531,-1.3417108811249518,1.1112976219327686,1.2028732550718861,-0.7605790789906913,-0.9755871350841817,1.245280401077129,1.2541477044874036,-0.9842475362871829,-0.9700613683335327,1.182515674213606,-1.1270799027836653,-1.2883893636589034,1.0780350633224687,1.8007003325302096,-1.4919204029945128,-0.6958750040275802,0.8450953298418917,1.0189186691442804,-0.580958865105842,0.9076410894249903,-0.6066952882179052,-0.6352489053190574,-0.8199127164374497,-0.9319494342629104,0.01381277443217159,0.7214801269230409,-0.6958750040275802,0.9933742392599256,-0.5578531527795163,-1.3262166920349214,1.5790997841015675,0.3827131160447673,-1.1749996089682628,0.8450953298418917,-1.0991738493479315,1.7066571983899503,-1.6231895861809789,0.6626538773463891,-0.6958750040275802,0.8608141759680307,0.764549198940474,-0.4079013839686199,0.8450953298418917,0.9115227394968889,0.3740710035504354,-0.8558915216871743,-0.9319494342629104,0.7432540651265943,-0.6958750040275802,-0.7344554273702447,0.6862484866934125,-0.49549952212110504,-0.5494760045030264,0.6798854838198597
3,26,0.8461538461538461,0.6,0.9047619047619048,0.7523809523809524,0.6,0.9905971796866802,1.0969602402861591,-1.7753008980479086,-1.0145774992144996,1.6801633533763265,2.258203220808083,-1.3104980934440922,-0.5323808010766592,1.4160356906088372,-1.3563282192708175,1.0580289676061807,-0.6468005628636647,-0.7833609975301355,1.4371166778163895,1.7020213464278982,0.873183641776964,1.1781104872920798,1.3785517782930052,0.9211282042755973,-1.2979187014715161,0.6192554670775136,-1.0145774992144996,-1.230780421496072,2.205750410782995,0.8552266890581524,-1.2892894384902418,-1.227925173360741,-0.7372892884087362,1.3306256865058674,1.5629503076804794,1.1006112742602174,1.2695040728548095,-1.804779806886901,1.011660773165072,-1.2931000695280215,-0.47382751165230413,-1.555821712956254,1.3080422763169886,1.0836887704475777,-0.6897082007760177,0.6836786548361056,0.9872064107201373,-1.0355914331525236,-0.987510036089414,-1.2706987460590202,0.8437222558830578,1.461352174428252,-1.1041135268281383,-0.9913818119482809,1.2691638211374512,1.5679445244465606,-0.8911542247887648,-0.97965027693463,1.131699585101889,-0.6468005628636647,-1.2854143935211102,1.302564231288642,1.6160131342925264,-1.2673640601302127,-0.5323808010766592,0.9471445348515342,1.0291052582736024,-0.9328827457862892,1.0481748164234375,-0.7534373696779685,-0.34362205438480886,-1.230780421496072,-0.6509193863908316,-0.9012850807797091,0.6192554670775136,-0.5323808010766592,0.8559065944259341,-0.7693478312448484,-1.1860623985624028,0.722561501112924,0.13799736182105593,-0.45069202865276087,0.9471445348515342,-0.7781187786102687,1.3223949775604573,-1.5470761831167088,0.9477481683436313,-0.5323808010766592,0.508946533185608,0.6597810369179019,-0.6562472650369108,0.9471445348515342,0.5487398491868724,0.6836786548361056,-0.7933507119307139,-0.6509193863908316,1.1022492436160574,-0.5323808010766592,-0.7372892884087362,1.3171320979425838,-0.44140625792719995,-1.0736719844131322,0.3591331476990352
4,760,0.8571428571428571,0.7714285714285715,0.8775510204081632,0.8244897959183674,0.675,0.9208851716690647,1.282542062602488,-1.577395478024063,-1.0192790860062455,1.848133216874723,1.8380759807043185,-1.2766362500140056,-0.6352276599518656,1.992291904312368,-1.6289050948755697,0.8391680342558322,-0.7441531609194637,-1.1678072754343023,1.6457956608759878,0.949065118302172,0.8365354457504685,1.4651608546611474,0.8477524094498518,1.6533042756024308,-1.3485181526801169,0.8171722023215404,-1.0192790860062455,-1.1409541256947107,1.3176502917814772,0.7419385600848883,-1.2160997662588506,-1.1803799014523615,-0.47768409070621254,1.106727463549825,1.53013579875546,1.607212979082656,1.2602962330403584,-1.768979071464909,1.0946923324443985,-0.6348863432430669,-0.6522236176363806,-1.5261527807436235,1.425204387936175,1.5028114310198595,-0.9138962732673555,0.38069139728730733,1.1767146421028465,-0.803862734443031,-1.2290228361449598,-1.4360210000331137,0.863449930850728,0.7669321732042561,-0.7247955744061726,-1.1083308490149575,1.4587342431538912,1.3892322853146322,-0.8988286965507939,-0.9180684481302377,1.377837591913652,-0.7441531609194637,-1.2463567664175144,1.3371380528698273,1.7389579416518866,-1.2128657441274895,-0.6352276599518656,0.5269297914549111,1.2003623307490536,-1.0185967554505877,0.6758415438651584,-1.1611179509023692,-0.7182558488856741,-1.1409541256947107,-0.8798145933059708,-0.39577144227190825,0.8171722023215404,-0.6352276599518656,0.8408455538685826,-0.7157226000115019,-0.9827944560535622,1.383421654038702,1.1511660650072755,-0.8178174954829556,0.5269297914549111,-0.9690885470448364,1.1262048574466474,-1.3941361147852644,1.16892938880492,-0.6352276599518656,0.7124280016420773,0.5178153872445672,-0.8148454675534443,0.5269297914549111,0.5081716664465175,0.38069139728730733,-0.808801855447737,-0.8798145933059708,0.724435192749585,-0.6352276599518656,-0.47768409070621254,0.9515487477755104,-0.04768688008944509,-0.7599651197330327,0.4849599591000729
5,282,0.8296703296703297,0.7674418604651163,0.8489208633093526,0.8081813618872344,0.6804123711340206,1.243451092748086,0.8670236738991155,-1.3803315750125527,-0.8467037905647951,1.5358020659757494,1.899294149538151,-1.3526667308442695,-0.5766475953342619,1.277264150180562,-1.3946455940642886,0.4431555363949618,-0.9462964326548554,-1.291576156190184,1.4394977179059083,1.275523229036341,0.7575932374509353,0.8683789632458792,1.0256574772026983,1.3012595451246256,-1.2707112989892062,0.8744547629888555,-0.8467037905647951,-1.088716654732549,2.084694456415574,1.079239568473509,-1.0796761729948767,-1.219072277561718,-0.526589303032489,1.1580237471939536,1.5591456140171567,1.2725438737308252,0.7713357189146921,-1.5361769786769572,1.4378973523482939,-1.2548561789573283,-1.0116897930992965,-1.185668321005019,1.1519508525414572,1.1236084233137413,-0.48771521934196665,0.603595027939092,0.6250011889425511,-0.6843155149282673,-1.0292683384436967,-0.833602614162632,1.3654195959974809,0.7064060174755696,-0.27164128076314514,-1.2370712529786054,0.7658059486489801,1.3482703653711277,-0.8909006173896549,-1.000312039890904,1.1007957900021899,-0.9462964326548554,-0.793500911997622,0.8679753629055188,1.0967540279004764,-0.9097063581628825,-0.5766475953342619,0.7760810419217402,1.0759737355730246,-0.629741938646848,0.8094659459183672,-1.447979380855813,-1.0239864220259003,-1.088716654732549,-0.7241354126745889,-1.4095894649888363,0.8744547629888555,-0.5766475953342619,0.7254617036663203,-0.3741486804098985,-1.3325770526925214,0.440241121154255,0.32056322789564246,-0.8916649186793765,0.7760810419217402,-0.6401109254332306,1.66315522258546,-0.4345618622160311,0.9013587019223528,-0.5766475953342619,0.8651900700785791,0.6690221886575073,-0.820009912592205,0.7760810419217402,1.0172834078140973,0.603595027939092,-0.8371057825686923,-0.7241354126745889,0.654706254476223,-0.5766475953342619,-0.526589303032489,1.358280364668777,-0.6535279498988328,-0.6177534547537019,0.8916328446601123
6,251,0.8846153846153846,0.8461538461538461,0.8951048951048951,0.8706293706293706,0.7586206896551724,0.9511719590398897,1.0135414700642587,-1.0970376109766369,-0.9161524182152617,1.7929260479119997,2.1765141179860987,-1.4677566162115505,-0.7944301689836519,1.9167461668372852,-1.636980007008145,0.8502709022877774,-0.7784364091888271,-1.3697487718705676,1.4435938309832532,1.0333614459545195,0.7732813124791019,1.323386974080357,1.3256059356011842,1.7780111886293584,-1.525370052066016,0.5169147144121481,-0.9161524182152617,-0.7739614131266395,1.470164292599791,0.8657640830421508,-0.9645095196823532,-1.3739499429908217,-0.4113627467679849,1.162340154645321,1.525670748949341,0.971864618020846,0.5188198339332383,-1.55151235908178,1.4377446779762504,-1.1432501413219056,-0.5716142344754256,-1.3535762604153876,1.5748499555354833,1.4889516837149577,-1.0015325967428255,0.40353529157102697,1.0616090094810064,-1.0016177181766999,-1.3572755567914683,-0.9930607329163268,1.2736817497019566,0.9371270850234206,-0.4304809485554679,-0.6852878530777107,1.0537625634417862,1.7409135673508151,-0.7824993722207629,-1.1093667801394282,1.0275293611355865,-0.7784364091888271,-0.8629458887513344,1.122840261329371,1.4033739193519343,-0.46881179980964427,-0.7944301689836519,0.7032426439319606,0.9194964407869789,-0.7726310998346417,0.3733937161749375,-1.2952739973896177,-0.751639768494635,-0.7739614131266395,-0.8952915606459303,-1.301446449266997,0.5169147144121481,-0.7944301689836519,1.1529492382622408,-0.7461712362628997,-1.0501617981291498,0.9439448133483715,0.7694695299478661,-1.2154569974505016,0.7032426439319606,-0.9242596451586323,0.9359675074204226,-0.7628968863085055,0.7009500355759302,-0.7944301689836519,0.8307445663722554,0.57750725289936,-0.9164877275350273,0.7032426439319606,1.0557363485356153,0.40353529157102697,-0.916430330320185,-0.8952915606459303,0.8853748290748257,-0.7944301689836519,-0.4113627467679849,0.7423210648376221,-0.5537975089383296,-0.25134634365836783,0.6478329132424656
7,229,0.8131868131868132,0.8,0.8181818181818182,0.8090909090909091,0.7017543859649122,0.6948320343103528,1.315560917164457,-1.9762027571200844,-0.923224102293718,1.8085045580679282,1.6970713249032185,-0.8320041738921542,-0.5005614845991769,1.4833704507194667,-1.2920228919782526,1.1156104611885083,-0.8171043684076822,-1.040969911747923,1.3551700369371533,1.519200957175141,0.7510798511977009,0.7344280341052637,1.2473347670238935,1.5589000536694533,-1.2579121257052135,0.9221761301861341,-0.923224102293718,-0.9453665078942614,1.7099365002233213,1.090663877484486,-1.188164596868327,-1.2280367857680063,-0.8832386900663023,0.7791497811873825,1.6503106655552955,2.0618554571127232,1.6052250552717011,-1.9877071881745214,1.334616466886216,-1.0857955338199379,-0.2831964133577972,-1.4638664345649883,1.3630067136122448,1.3417460629016085,-0.7183886698331529,0.6948320343103528,0.7759054316575347,-0.9893015129482369,-0.9975594207021627,-0.879594234512201,0.632856668947558,1.814979001765879,-1.0365024351971355,-1.1719150833435568,1.4615230915565822,1.1785235753202608,-0.9131299290316552,-0.7404416409673882,0.9157500424788869,-0.8171043684076822,-1.368803146623589,1.1881192766957689,1.3465634503649626,-1.1154932598624843,-0.5005614845991769,0.6651274337546357,0.8608182565152406,-1.0648640327123924,1.0070612245344683,-0.9266579234548582,-0.8628712493934565,-0.9453665078942614,-0.9249455762801511,-0.512196994174864,0.9221761301861341,-0.5005614845991769,1.5180665216193174,-0.5949255775481262,-1.1550068448312263,1.4783215699915688,0.7558250473346154,-1.3490538576678024,0.6651274337546357,-1.0986659616701453,1.403531005718585,-2.019617423600485,1.0655099048520735,-0.5005614845991769,0.4366205756565413,0.8867917206616481,-0.8455858218226016,0.6651274337546357,0.6650585388024702,0.6948320343103528,-1.0261673452584108,-0.9249455762801511,0.9329943513182198,-0.5005614845991769,-0.8832386900663023,1.5073890058097419,-0.21523618986006907,-0.8622597799585826,0.8489669359111411
8,143,0.8461538461538461,0.7272727272727273,0.8840579710144928,0.8056653491436101,0.6956521739130435,1.2037221967903355,0.9674790476709579,-1.1141965717390223,-0.9968295781719324,1.5707472643998937,1.662863853915243,-1.2370477676694038,-0.5294725465824737,1.4285749663280314,-1.6389411382531578,0.8392474658416503,-1.47103658425773,-1.546374450828139,1.3895822932021487,1.4298301753591416,0.6908428458110494,0.9111190446028912,1.0767677691444206,1.2527000908102826,-1.1504483343074945,0.6336781334791445,-0.9968295781719324,-0.945393573367881,1.5407360247976893,0.8744360716120657,-1.3931566884710795,-1.1098058800698414,-0.4882054158682607,1.3806085825641468,1.2822223232716925,1.3542353613986113,1.190064702188915,-1.9473332163833188,1.377302805297477,-0.8790651475837626,-0.8899852723592939,-1.3900293817435616,1.4009707580639073,1.3370047324197,-0.6880335367206881,0.6732910850183742,1.098657355010713,-1.1231339856926077,-1.3363912431486284,-1.3430303384814535,1.1719463193016841,1.0724973504030835,-0.297735389992414,-1.4478625433259789,1.2834649780009817,1.4057164232963852,-0.9793249108252907,-1.050037219816574,1.1084647079644745,-1.47103658425773,-1.1212948969372603,1.2095051188080252,0.8575988359080879,-0.47520907238709337,-0.5294725465824737,0.7954288614277552,1.110945482822041,-0.844203948690786,0.997033355107064,-1.2242643278112109,-0.7159110251240824,-0.945393573367881,-0.6253894439015402,-1.0206668169549924,0.6336781334791445,-0.5294725465824737,1.3401095561695708,-0.830672236464496,-1.0199871025336553,0.9150668767493838,0.9966201787281033,-1.0170299497343223,0.7954288614277552,-0.917246756563601,1.7817089232050922,-0.5156593314234066,0.8927830630236332,-0.5294725465824737,0.7428076393864776,0.6277718874790943,-0.7547721158689825,0.7954288614277552,0.7462683589848901,0.6732910850183742,-0.9242324569954186,-0.6253894439015402,0.6384112676133046,-0.5294725465824737,-0.4882054158682607,1.182799125133142,-0.7094427638604816,-0.7291212483518124,0.5238465025465143
9,755,0.8626373626373627,0.8571428571428571,0.8639455782312925,0.8605442176870748,0.7058823529411764,1.1970617207796834,1.0750773958020574,-1.8015506335650784,-1.0164369138822362,1.7355586225395379,2.1666601324403536,-1.413651189179598,-0.5245887793482727,1.4919727277724206,-1.5422201864322322,0.6798378151259403,-0.6259489394775525,-0.8336306545827534,1.4214873167788051,1.2439244881226332,1.03044422022968,0.7692894325636275,1.2460455854516277,1.3915981099223016,-1.128614584343783,0.5856469963584603,-1.0164369138822362,-1.0452561447665307,1.8340826763826155,0.9116715170085707,-1.1911140266171725,-1.2668994900859605,-0.3081276784016106,0.7366733658271807,1.7417507870132949,1.4068727555331395,1.2256033672924822,-1.7661289233934587,1.1719656739335482,-0.9647061940296922,-1.1238283021836526,-1.4276960847966744,1.3230501634120952,1.3836769019772897,-0.7798203283631502,0.547383708501385,1.1995631914455667,-1.5723918588810464,-1.2886104501322224,-0.9647432178211507,0.9440200075548506,1.352043850553039,-1.0461141286951683,-1.2106244009493683,1.3408139363355078,1.1385997137011836,-1.0159195424028085,-1.1119759025883424,1.2293141883420662,-0.6259489394775525,-0.7776794616232039,0.6802143432368919,1.73818065188739,-1.121371668146003,-0.5245887793482727,0.974374984631569,0.9289744405261028,-0.9034142939748457,0.7653544256640408,-1.1057787104768346,-0.7145551211675387,-1.0452561447665307,-0.5461405616112684,-0.5198292490077647,0.5856469963584603,-0.5245887793482727,1.2972612899864222,-0.5014297313064575,-1.1654065393907254,0.8265032597176855,0.6294015330959268,-1.1545996511962926,0.974374984631569,-0.8284732390552596,1.0874841644058078,-1.2038163958469041,1.2155949100500663,-0.5245887793482727,0.7525843012665043,1.1718990962114015,-0.8826172110726631,0.974374984631569,0.7655428039406799,0.547383708501385,-0.9698770741268243,-0.5461405616112684,0.8916925190654105,-0.5245887793482727,-0.3081276784016106,0.6785817200272897,-0.5184912663527986,-0.425276430443466,0.6421794208090761
10,105,0.8131868131868132,0.8478260869565217,0.8014705882352942,0.8246483375959079,0.6964285714285714,1.156249330614675,0.7561453110043147,-1.999938770501313,-1.0874891769828716,1.749303582401907,2.0381290316674123,-1.4890337372124085,-0.5269420177815711,1.2731792796731383,-1.3855328993365266,0.6887465572556157,-1.04605485699319,-0.8301660251713295,1.1924505834762178,1.5412210492473313,0.8077787510771901,1.3440229117253784,1.4000039498495138,1.970395002012689,-1.257443649813369,0.7314375953860895,-1.0874891769828716,-0.8920353452490299,2.0023895150538387,0.33586891688388976,-1.2402885626042335,-1.3376221414458505,-0.5622682511994225,1.302681578830285,1.6428179098897446,1.7015042919941095,1.13320381558313,-1.674399446457459,1.0808328366934827,-1.2896955808746833,-0.7128283540723238,-1.4675920796568498,1.4296670899342998,1.4715522590094876,-0.9935322918554331,0.5998709729368779,1.5011290396994614,-1.4222936853243993,-1.130754052630811,-1.0357950814410288,1.0624214717630414,1.1295903147149955,-0.8912733648734833,-1.4131616464722818,1.0941514983683904,0.9638564401593483,-1.004714805468265,-0.9776497159893234,1.1316731799558921,-1.04605485699319,-1.0822592376212723,0.9431254445590769,1.0554848230077707,-0.6506226910951739,-0.5269420177815711,0.7923097316378086,0.6384566302819783,-0.7828220802824547,1.1602545908808282,-0.6346297184845123,-0.37545289257127107,-0.8920353452490299,-0.9755439702706549,-0.28098360976445236,0.7314375953860895,-0.5269420177815711,1.248559860409553,-0.6650645480718399,-1.0797825981931712,1.2786501768478515,0.6318475343567879,-1.0351733468694277,0.7923097316378086,-0.7529967460953878,1.2480504203162917,-1.9614289338381639,1.4872138009241747,-0.5269420177815711,0.6295663390533475,0.7279764591002926,-0.9982405279357139,0.7923097316378086,0.6170427740264567,0.5998709729368779,-0.9613013153761398,-0.9755439702706549,0.888769176367416,-0.5269420177815711,-0.5622682511994225,0.6419744273159935,-0.31133431568905795,-0.8277968312371164,0.532574596002325
