rank,fingerprint
1,O=C-C-C-N 
1,O=C-C-N 
1,>= 2 saturated or aromatic nitrogen-containing ring size 5 
1,>= 2 any ring size 6 
1,N(~C)(~C)(~H) 
1,O=C-C:N 
1,N-C:C:C:N 
1,O-C:C:C-N 
1,C(-C)(-N)(=N) 
1,N-C-C-C:C 
2,>= 2 hetero-aromatic rings 
2,>= 3 any ring size 5 
2,Clc1ccc(Cl)cc1 
2,C:C-N-C:C 
2,N(:C)(:C) 
2,>= 2 saturated or aromatic heteroatom-containing ring size 5 
2,N(~H)(:C)(:C) 
2,Nc1ccc(Cl)cc1 
2,Oc1ccc(Cl)cc1 
2,Sc1ccc(N)cc1 
2,N(~C)(:C)(:C) 
2,N(~C)(:C) 
2,N(~C)(~O) 
2,N(~C)(~H)(~N) 
2,Cc1ccc(N)cc1 
2,Cc1ccc(S)cc1 
2,Cc1ccc(O)cc1 
2,C-C(C)-C(C)-C 
2,C-C(C)(C)-C-C 
2,C-C-C(C)-C-C 
2,N-C:C-O-[#1] 
2,N(:C)(:C)(:C) 
2,O(~C)(~H) 
2,N(~C)(~C)(~C) 
2,C(-C)(-C)(=C) 
2,C(~C)(~H)(~O) 
2,C=C-C=C 
2,C(#C)(-C) 
2,O-C-C-N 
2,Nc1cc(Br)ccc1 
2,C(~C)(~H)(~O)(~O) 
2,>= 1 any ring size 4 
2,N=O 
2,O=C-N-C-[#1] 
2,O=C-N-C-N 
2,O=N-C:C-N 
2,O(~C)(~C) 
2,Oc1cc(Cl)ccc1 
2,C#C 
2,O=C-C-C=O
2,>= 4 aromatic rings 
2,[#1]-C-O-[#1] 
2,>= 3 hetero-aromatic rings 
2,O-C-C:C-C 
2,>= 1 any ring size 5 
2,O(:C)(:C) 
2,>= 1 saturated or aromatic nitrogen-containing ring size 5 
2,>= 1 saturated or aromatic heteroatom-containing ring size 5 
2,O-C-C:C-O 
2,N=C-C:C-[#1] 
2,[#1]-N-C-[#1] 
2,C-C(C)-C-C 
2,O=C-C-C-C-C(N)-C 
2,>= 1 saturated or aromatic nitrogen-containing ring size 6 
2,>= 1 saturated or aromatic nitrogen-containing ring size 7 
2,>= 1 saturated or aromatic heteroatom-containing ring size 7 
2,C-C-C-C-C-C-C 
2,C(~H)(~H)(~H) 
2,O=C-C-C-C-O 
2,O=C-C-C-C-N 
2,O=C-C-C-C-C 
2,C(~H)(:N) 
2,C(~H)(:C)(:N) 
2,O-C-C-C-C-O 
2,O-C-C-C-C-C 
2,C-C-C-C-C-C 
2,C-C-C=C-C 
2,C(~H)(:C)(:C) 
2,C(~H)(:C) 
2,C(~C)(:C)(:N) 
2,N-C-N-C:C 
2,O=C-C=C-N 
2,C(~H)(~S) 
2,O=C-C=C-C 
2,C-C=C-C-C 
2,C-C:C-C-C 
2,C(~C)(:N)(:N) 
2,C(~F)(:C) 
2,C(~F)(~F) 
2,>= 1 any ring size 7 
2,>= 1 saturated or aromatic carbon-only ring size 6 
2,C(~N)(:C)(:C) 
2,O=C-C-C-C-C-C 
2,>= 1 saturated or aromatic heteroatom-containing ring size 6 
2,C(~Cl)(:C) 
2,O=C-C-C-C-C(=O)-C 
2,N(~C)(~C) 
