model,random_state,accuracy
77,883,0.9340659340659341
81,722,0.9230769230769231
69,388,0.9230769230769231
25,28,0.9175824175824175
54,390,0.9175824175824175
44,433,0.9175824175824175
93,390,0.9175824175824175
80,197,0.9175824175824175
20,96,0.9175824175824175
17,433,0.9175824175824175
41,826,0.9175824175824175
51,345,0.9120879120879121
9,755,0.9120879120879121
42,164,0.9120879120879121
6,251,0.9120879120879121
38,891,0.9065934065934066
14,559,0.9065934065934066
31,559,0.9065934065934066
90,239,0.9065934065934066
22,239,0.9065934065934066
13,914,0.9065934065934066
36,285,0.9010989010989011
39,7,0.9010989010989011
46,285,0.9010989010989011
75,634,0.9010989010989011
78,371,0.9010989010989011
98,374,0.9010989010989011
94,285,0.9010989010989011
83,47,0.9010989010989011
12,759,0.9010989010989011
15,90,0.9010989010989011
66,128,0.8956043956043956
49,981,0.8956043956043956
60,271,0.8956043956043956
45,349,0.8956043956043956
79,592,0.8956043956043956
65,550,0.8956043956043956
32,430,0.8956043956043956
18,33,0.8956043956043956
68,945,0.8901098901098901
84,678,0.8901098901098901
70,81,0.8901098901098901
71,566,0.8901098901098901
29,666,0.8901098901098901
28,734,0.8901098901098901
50,782,0.8901098901098901
53,95,0.8901098901098901
89,876,0.8846153846153846
92,104,0.8846153846153846
63,748,0.8846153846153846
62,45,0.8846153846153846
58,353,0.8846153846153846
56,368,0.8846153846153846
100,380,0.8846153846153846
27,204,0.8846153846153846
16,605,0.8846153846153846
48,221,0.8846153846153846
11,693,0.8846153846153846
35,604,0.8846153846153846
1,655,0.8791208791208791
87,297,0.8791208791208791
74,644,0.8791208791208791
33,226,0.8791208791208791
34,460,0.8791208791208791
91,888,0.8791208791208791
4,760,0.8791208791208791
43,715,0.8791208791208791
95,465,0.8791208791208791
2,115,0.8791208791208791
57,868,0.8791208791208791
19,31,0.8791208791208791
26,575,0.8736263736263736
5,282,0.8736263736263736
86,792,0.8736263736263736
97,855,0.8736263736263736
3,26,0.8736263736263736
24,617,0.8736263736263736
72,301,0.8736263736263736
52,105,0.8681318681318682
99,167,0.8681318681318682
64,471,0.8681318681318682
40,778,0.8681318681318682
30,719,0.8681318681318682
10,105,0.8681318681318682
73,850,0.8681318681318682
21,224,0.8681318681318682
85,234,0.8626373626373627
8,143,0.8626373626373627
76,907,0.8626373626373627
96,651,0.8626373626373627
67,997,0.8571428571428571
23,518,0.8571428571428571
37,829,0.8571428571428571
55,100,0.8571428571428571
82,72,0.8461538461538461
88,82,0.8406593406593407
7,229,0.8406593406593407
47,160,0.8406593406593407
61,827,0.8241758241758241
59,619,0.8131868131868132
