model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
84,678,0.9175824175824175,0.8604651162790697,0.935251798561151,0.8978584574201104,0.8314606741573034
49,981,0.9120879120879121,0.5925925925925926,0.967741935483871,0.7801672640382318,0.6666666666666666
17,433,0.9065934065934066,0.8285714285714286,0.9251700680272109,0.8768707482993198,0.7733333333333333
93,390,0.9065934065934066,0.75,0.94,0.845,0.7384615384615384
44,433,0.9065934065934066,0.8285714285714286,0.9251700680272109,0.8768707482993198,0.7733333333333333
54,390,0.9065934065934066,0.75,0.94,0.845,0.7384615384615384
66,128,0.9065934065934066,0.75,0.9452054794520548,0.8476027397260274,0.7605633802816902
31,559,0.8956043956043956,0.75,0.9315068493150684,0.8407534246575342,0.7397260273972601
14,559,0.8956043956043956,0.75,0.9315068493150684,0.8407534246575342,0.7397260273972601
98,374,0.8901098901098901,0.7,0.9276315789473685,0.8138157894736842,0.6774193548387096
77,883,0.8901098901098901,0.7241379310344828,0.9215686274509803,0.8228532792427316,0.6774193548387097
53,95,0.8901098901098901,0.7837837837837838,0.9172413793103448,0.8505125815470642,0.7435897435897435
30,719,0.8901098901098901,0.7317073170731707,0.9361702127659575,0.8339387649195641,0.7499999999999999
19,31,0.8901098901098901,0.8421052631578947,0.9027777777777778,0.8724415204678362,0.761904761904762
38,891,0.8846153846153846,0.6785714285714286,0.922077922077922,0.8003246753246753,0.6440677966101694
70,81,0.8846153846153846,0.7714285714285715,0.9115646258503401,0.8414965986394558,0.72
63,748,0.8846153846153846,0.7222222222222222,0.9246575342465754,0.8234398782343988,0.7123287671232876
48,221,0.8846153846153846,0.8235294117647058,0.8986486486486487,0.8610890302066773,0.7272727272727273
81,722,0.8846153846153846,0.7407407407407407,0.9096774193548387,0.8252090800477897,0.6557377049180328
27,204,0.8846153846153846,0.6818181818181818,0.9492753623188406,0.8155467720685112,0.7407407407407407
25,28,0.8791208791208791,0.7142857142857143,0.9090909090909091,0.8116883116883117,0.6451612903225806
58,353,0.8791208791208791,0.6666666666666666,0.9428571428571428,0.8047619047619048,0.717948717948718
45,349,0.8791208791208791,0.5483870967741935,0.9470198675496688,0.7477034821619312,0.6071428571428571
11,693,0.8791208791208791,0.6590909090909091,0.9492753623188406,0.8041831357048748,0.7250000000000001
55,100,0.8791208791208791,0.7368421052631579,0.9166666666666666,0.8267543859649122,0.717948717948718
64,471,0.8736263736263736,0.6857142857142857,0.9183673469387755,0.8020408163265307,0.676056338028169
43,715,0.8736263736263736,0.7297297297297297,0.9103448275862069,0.8200372786579684,0.7012987012987014
57,868,0.8736263736263736,0.6363636363636364,0.9261744966442953,0.7812690665039659,0.6461538461538462
41,826,0.8736263736263736,0.6129032258064516,0.9271523178807947,0.7700277718436231,0.6229508196721313
39,7,0.8736263736263736,0.7105263157894737,0.9166666666666666,0.8135964912280702,0.7012987012987013
47,160,0.8736263736263736,0.7441860465116279,0.9136690647482014,0.8289275556299147,0.735632183908046
78,371,0.8736263736263736,0.6764705882352942,0.918918918918919,0.7976947535771066,0.6666666666666666
80,197,0.8736263736263736,0.76,0.89171974522293,0.825859872611465,0.6229508196721312
68,945,0.8736263736263736,0.6875,0.9133333333333333,0.8004166666666667,0.6567164179104478
12,759,0.8736263736263736,0.5625,0.94,0.75125,0.6101694915254238
34,460,0.8736263736263736,0.7209302325581395,0.920863309352518,0.8208967709553288,0.7294117647058824
32,430,0.8736263736263736,0.6578947368421053,0.9305555555555556,0.7942251461988304,0.684931506849315
89,876,0.8736263736263736,0.7073170731707317,0.9219858156028369,0.8146514443867843,0.7160493827160495
18,33,0.8736263736263736,0.717948717948718,0.916083916083916,0.8170163170163169,0.708860759493671
90,239,0.8681318681318682,0.6764705882352942,0.9121621621621622,0.7943163751987281,0.6571428571428571
86,792,0.8681318681318682,0.6976744186046512,0.920863309352518,0.8092688639785846,0.7142857142857143
9,755,0.8681318681318682,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.6756756756756757
22,239,0.8681318681318682,0.6764705882352942,0.9121621621621622,0.7943163751987281,0.6571428571428571
87,297,0.8681318681318682,0.7272727272727273,0.9130434782608695,0.8201581027667983,0.7272727272727273
24,617,0.8681318681318682,0.7297297297297297,0.903448275862069,0.8165890027958993,0.6923076923076923
61,827,0.8681318681318682,0.6136363636363636,0.9492753623188406,0.7814558629776021,0.6923076923076923
69,388,0.8681318681318682,0.5,0.9294871794871795,0.7147435897435898,0.52
99,167,0.8681318681318682,0.575,0.9507042253521126,0.7628521126760563,0.6571428571428571
60,271,0.8626373626373627,0.6666666666666666,0.916083916083916,0.7913752913752914,0.6753246753246753
