model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
14,559,0.9010989010989011,0.75,0.9383561643835616,0.8441780821917808,0.75
31,559,0.9010989010989011,0.75,0.9383561643835616,0.8441780821917808,0.75
93,390,0.9010989010989011,0.6875,0.9466666666666667,0.8170833333333334,0.7096774193548386
63,748,0.9010989010989011,0.7222222222222222,0.9452054794520548,0.8337138508371384,0.7428571428571428
54,390,0.9010989010989011,0.6875,0.9466666666666667,0.8170833333333334,0.7096774193548386
49,981,0.8956043956043956,0.5555555555555556,0.9548387096774194,0.7551971326164875,0.6122448979591836
57,868,0.8846153846153846,0.696969696969697,0.9261744966442953,0.8115720968069962,0.6865671641791046
81,722,0.8846153846153846,0.7407407407407407,0.9096774193548387,0.8252090800477897,0.6557377049180328
58,353,0.8846153846153846,0.5952380952380952,0.9714285714285714,0.7833333333333333,0.7042253521126761
50,782,0.8791208791208791,0.7619047619047619,0.9142857142857143,0.838095238095238,0.7441860465116279
64,471,0.8791208791208791,0.7142857142857143,0.9183673469387755,0.8163265306122449,0.6944444444444444
80,197,0.8791208791208791,0.76,0.8980891719745223,0.8290445859872612,0.6333333333333332
17,433,0.8791208791208791,0.7714285714285715,0.9047619047619048,0.8380952380952381,0.7105263157894737
84,678,0.8791208791208791,0.7906976744186046,0.9064748201438849,0.8485862472812448,0.7555555555555555
53,95,0.8791208791208791,0.7297297297297297,0.9172413793103448,0.8234855545200372,0.7105263157894737
44,433,0.8791208791208791,0.7714285714285715,0.9047619047619048,0.8380952380952381,0.7105263157894737
66,128,0.8791208791208791,0.6666666666666666,0.9315068493150684,0.7990867579908676,0.6857142857142857
9,755,0.8736263736263736,0.7142857142857143,0.9115646258503401,0.8129251700680272,0.684931506849315
38,891,0.8681318681318682,0.6071428571428571,0.9155844155844156,0.7613636363636364,0.5862068965517241
55,100,0.8681318681318682,0.7368421052631579,0.9027777777777778,0.8198099415204678,0.7
36,285,0.8681318681318682,0.7058823529411765,0.9054054054054054,0.8056438791732909,0.6666666666666667
34,460,0.8681318681318682,0.6976744186046512,0.920863309352518,0.8092688639785846,0.7142857142857143
45,349,0.8681318681318682,0.5161290322580645,0.9403973509933775,0.728263191625721,0.5714285714285714
46,285,0.8681318681318682,0.7058823529411765,0.9054054054054054,0.8056438791732909,0.6666666666666667
1,655,0.8681318681318682,0.6585365853658537,0.9290780141843972,0.7938072997751254,0.6923076923076923
70,81,0.8681318681318682,0.6857142857142857,0.9115646258503401,0.7986394557823129,0.6666666666666667
78,371,0.8681318681318682,0.7058823529411765,0.9054054054054054,0.8056438791732909,0.6666666666666667
94,285,0.8681318681318682,0.7058823529411765,0.9054054054054054,0.8056438791732909,0.6666666666666667
89,876,0.8681318681318682,0.7073170731707317,0.9148936170212766,0.8111053450960042,0.7073170731707317
11,693,0.8681318681318682,0.6136363636363636,0.9492753623188406,0.7814558629776021,0.6923076923076923
12,759,0.8681318681318682,0.53125,0.94,0.735625,0.5862068965517242
74,644,0.8681318681318682,0.6578947368421053,0.9236111111111112,0.7907529239766082,0.6756756756756757
41,826,0.8626373626373627,0.5483870967741935,0.9271523178807947,0.737769707327494,0.5762711864406779
39,7,0.8626373626373627,0.6842105263157895,0.9097222222222222,0.7969663742690059,0.6753246753246753
48,221,0.8626373626373627,0.7352941176470589,0.8918918918918919,0.8135930047694754,0.6666666666666666
87,297,0.8626373626373627,0.6818181818181818,0.9202898550724637,0.8010540184453228,0.7058823529411764
33,226,0.8626373626373627,0.6571428571428571,0.9115646258503401,0.7843537414965986,0.647887323943662
30,719,0.8626373626373627,0.6585365853658537,0.9219858156028369,0.7902612004843452,0.6835443037974684
68,945,0.8626373626373627,0.625,0.9133333333333333,0.7691666666666667,0.6153846153846154
19,31,0.8626373626373627,0.7631578947368421,0.8888888888888888,0.8260233918128654,0.6987951807228916
27,204,0.8571428571428571,0.6136363636363636,0.9347826086956522,0.7742094861660079,0.6749999999999999
83,47,0.8571428571428571,0.5675675675675675,0.9310344827586207,0.749301025163094,0.6176470588235294
18,33,0.8571428571428571,0.6666666666666666,0.9090909090909091,0.7878787878787878,0.6666666666666666
60,271,0.8571428571428571,0.6410256410256411,0.916083916083916,0.7785547785547786,0.6578947368421052
71,566,0.8571428571428571,0.65,0.9154929577464789,0.7827464788732394,0.6666666666666667
47,160,0.8571428571428571,0.6976744186046512,0.9064748201438849,0.802074619374268,0.6976744186046512
85,234,0.8516483516483516,0.5263157894736842,0.9375,0.731907894736842,0.5970149253731344
98,374,0.8516483516483516,0.5333333333333333,0.9144736842105263,0.7239035087719299,0.5423728813559322
99,167,0.8516483516483516,0.575,0.9295774647887324,0.7522887323943661,0.6301369863013698
75,634,0.8516483516483516,0.6,0.9115646258503401,0.7557823129251701,0.608695652173913
51,345,0.8516483516483516,0.7027027027027027,0.8896551724137931,0.796178937558248,0.6582278481012659
6,251,0.8516483516483516,0.5641025641025641,0.9300699300699301,0.7470862470862472,0.619718309859155
42,164,0.8516483516483516,0.625,0.9,0.7625,0.5970149253731343
20,96,0.8516483516483516,0.696969696969697,0.8859060402684564,0.7914378686190767,0.6301369863013698
25,28,0.8516483516483516,0.6428571428571429,0.8896103896103896,0.7662337662337663,0.5714285714285714
77,883,0.8461538461538461,0.6551724137931034,0.8823529411764706,0.768762677484787,0.5757575757575758
22,239,0.8461538461538461,0.5294117647058824,0.918918918918919,0.7241653418124007,0.5625
13,914,0.8461538461538461,0.6176470588235294,0.8986486486486487,0.7581478537360891,0.6
24,617,0.8461538461538461,0.6756756756756757,0.8896551724137931,0.7826654240447344,0.6410256410256411
86,792,0.8461538461538461,0.6511627906976745,0.9064748201438849,0.7788188054207796,0.6666666666666667
26,575,0.8461538461538461,0.6136363636363636,0.9202898550724637,0.7669631093544137,0.6585365853658537
90,239,0.8461538461538461,0.5294117647058824,0.918918918918919,0.7241653418124007,0.5625
65,550,0.8461538461538461,0.6666666666666666,0.881578947368421,0.7741228070175439,0.5882352941176471
76,907,0.8461538461538461,0.6341463414634146,0.9078014184397163,0.7709738799515655,0.6499999999999999
62,45,0.8461538461538461,0.6285714285714286,0.8979591836734694,0.763265306122449,0.611111111111111
61,827,0.8461538461538461,0.5227272727272727,0.9492753623188406,0.7360013175230566,0.6216216216216216
35,604,0.8461538461538461,0.6428571428571429,0.9071428571428571,0.775,0.6585365853658537
37,829,0.8461538461538461,0.6,0.9154929577464789,0.7577464788732394,0.631578947368421
56,368,0.8461538461538461,0.6,0.9047619047619048,0.7523809523809524,0.6
43,715,0.8461538461538461,0.6486486486486487,0.896551724137931,0.7726001863932899,0.631578947368421
95,465,0.8406593406593407,0.5882352941176471,0.8986486486486487,0.7434419713831479,0.5797101449275363
88,82,0.8406593406593407,0.6,0.8979591836734694,0.7489795918367347,0.591549295774648
97,855,0.8406593406593407,0.55,0.9225352112676056,0.7362676056338029,0.6027397260273972
4,760,0.8406593406593407,0.5428571428571428,0.9115646258503401,0.7272108843537415,0.5671641791044776
15,90,0.8406593406593407,0.675,0.8873239436619719,0.7811619718309859,0.6506024096385542
79,592,0.8406593406593407,0.5588235294117647,0.9054054054054054,0.7321144674085851,0.5671641791044776
100,380,0.8406593406593407,0.5526315789473685,0.9166666666666666,0.7346491228070176,0.5915492957746479
28,734,0.8406593406593407,0.65625,0.88,0.768125,0.5915492957746479
23,518,0.8351648351648352,0.5384615384615384,0.916083916083916,0.7272727272727273,0.5833333333333334
40,778,0.8351648351648352,0.6216216216216216,0.8896551724137931,0.7556383970177074,0.6052631578947368
69,388,0.8351648351648352,0.5384615384615384,0.8846153846153846,0.7115384615384615,0.4827586206896552
2,115,0.8351648351648352,0.5957446808510638,0.9185185185185185,0.7571315996847912,0.6511627906976744
16,605,0.8296703296703297,0.6585365853658537,0.8794326241134752,0.7689846047396645,0.6352941176470588
32,430,0.8296703296703297,0.5789473684210527,0.8958333333333334,0.7373903508771931,0.5866666666666667
3,26,0.8241758241758241,0.5428571428571428,0.891156462585034,0.7170068027210884,0.5428571428571428
59,619,0.8241758241758241,0.5106382978723404,0.9333333333333333,0.7219858156028369,0.5999999999999999
5,282,0.8186813186813187,0.5116279069767442,0.9136690647482014,0.7126484858624729,0.5714285714285715
73,850,0.8186813186813187,0.631578947368421,0.8680555555555556,0.7498172514619883,0.5925925925925927
8,143,0.8186813186813187,0.5681818181818182,0.8985507246376812,0.7333662714097497,0.6024096385542169
96,651,0.8186813186813187,0.525,0.9014084507042254,0.7132042253521127,0.56
21,224,0.8131868131868132,0.5238095238095238,0.9,0.7119047619047619,0.5641025641025642
91,888,0.8131868131868132,0.5681818181818182,0.8913043478260869,0.7297430830039526,0.5952380952380952
29,666,0.8131868131868132,0.5897435897435898,0.8741258741258742,0.731934731934732,0.575
52,105,0.8076923076923077,0.5652173913043478,0.8897058823529411,0.7274616368286444,0.5977011494252873
92,104,0.8076923076923077,0.59375,0.8533333333333334,0.7235416666666667,0.5205479452054794
