model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1
1,655,0.8681318681318682,0.6666666666666666,0.9285714285714286,0.7976190476190477,0.7
2,115,0.8351648351648352,0.5238095238095238,0.9285714285714286,0.7261904761904763,0.5945945945945946
3,26,0.8571428571428571,0.8,0.8732394366197183,0.8366197183098592,0.7111111111111111
4,760,0.8681318681318682,0.6470588235294118,0.918918918918919,0.7829888712241654,0.6470588235294118
5,282,0.7912087912087912,0.64,0.8484848484848485,0.7442424242424243,0.6274509803921569
6,251,0.8681318681318682,0.6666666666666666,0.9078947368421053,0.7872807017543859,0.625
7,229,0.8131868131868132,0.5862068965517241,0.9193548387096774,0.7527808676307007,0.6666666666666667
8,143,0.8241758241758241,0.8260869565217391,0.8235294117647058,0.8248081841432224,0.7037037037037037
9,755,0.9010989010989011,0.7777777777777778,0.9315068493150684,0.8546423135464232,0.7567567567567567
10,105,0.8131868131868132,0.75,0.835820895522388,0.792910447761194,0.679245283018868
11,693,0.8351648351648352,0.5454545454545454,0.927536231884058,0.7364953886693018,0.6153846153846153
12,759,0.8241758241758241,0.5555555555555556,0.8904109589041096,0.7229832572298326,0.5555555555555556
13,914,0.8791208791208791,0.7272727272727273,0.927536231884058,0.8274044795783926,0.7441860465116279
14,559,0.9010989010989011,0.6818181818181818,0.9710144927536232,0.8264163372859025,0.7692307692307693
15,90,0.8681318681318682,0.7,0.9154929577464789,0.8077464788732394,0.7
16,605,0.8461538461538461,0.631578947368421,0.9027777777777778,0.7671783625730995,0.631578947368421
17,433,0.8901098901098901,0.7333333333333333,0.9210526315789473,0.8271929824561404,0.6875
18,33,0.8791208791208791,0.7,0.9295774647887324,0.8147887323943661,0.717948717948718
19,31,0.8791208791208791,0.75,0.9154929577464789,0.8327464788732395,0.7317073170731706
20,96,0.8351648351648352,0.7058823529411765,0.8648648648648649,0.7853736089030208,0.6153846153846153
21,224,0.7802197802197802,0.6296296296296297,0.84375,0.7366898148148149,0.6296296296296297
22,239,0.8571428571428571,0.8235294117647058,0.8648648648648649,0.8441971383147854,0.6829268292682927
23,518,0.8021978021978022,0.42105263157894735,0.9027777777777778,0.6619152046783625,0.47058823529411764
24,617,0.8351648351648352,0.5789473684210527,0.9027777777777778,0.7408625730994152,0.5945945945945946
25,28,0.8571428571428571,0.6153846153846154,0.8974358974358975,0.7564102564102564,0.5517241379310345
26,575,0.8571428571428571,0.6190476190476191,0.9285714285714286,0.7738095238095238,0.6666666666666666
27,204,0.8571428571428571,0.7619047619047619,0.8857142857142857,0.8238095238095238,0.7111111111111111
28,734,0.8131868131868132,0.7058823529411765,0.8378378378378378,0.7718600953895072,0.5853658536585366
29,666,0.8461538461538461,0.7058823529411765,0.8783783783783784,0.7921303656597775,0.6315789473684211
30,719,0.8461538461538461,0.65,0.9014084507042254,0.7757042253521127,0.65
31,559,0.9010989010989011,0.6818181818181818,0.9710144927536232,0.8264163372859025,0.7692307692307693
32,430,0.8901098901098901,0.7647058823529411,0.918918918918919,0.84181240063593,0.7222222222222222
33,226,0.8681318681318682,0.7142857142857143,0.9142857142857143,0.8142857142857143,0.7142857142857143
34,460,0.8021978021978022,0.6896551724137931,0.8548387096774194,0.7722469410456063,0.6896551724137931
35,604,0.8351648351648352,0.6363636363636364,0.8985507246376812,0.7674571805006587,0.6511627906976744
36,285,0.8461538461538461,0.7058823529411765,0.8783783783783784,0.7921303656597775,0.6315789473684211
37,829,0.8901098901098901,0.7058823529411765,0.9324324324324325,0.8191573926868045,0.7058823529411765
38,891,0.8461538461538461,0.5714285714285714,0.8961038961038961,0.7337662337662337,0.5333333333333333
39,7,0.8571428571428571,0.7368421052631579,0.8888888888888888,0.8128654970760234,0.6829268292682926
40,778,0.8241758241758241,0.5263157894736842,0.9027777777777778,0.714546783625731,0.5555555555555555
41,826,0.8461538461538461,0.47058823529411764,0.9324324324324325,0.7015103338632751,0.5333333333333333
42,164,0.8351648351648352,0.5625,0.8933333333333333,0.7279166666666667,0.5454545454545455
43,715,0.8681318681318682,0.7368421052631579,0.9027777777777778,0.8198099415204678,0.7
