,rank,fingerprint
PubchemFP646,1,O=C-N-C-[#1] 
PubchemFP758,2,Cc1c(N)cccc1 
PubchemFP580,3,O=C-C-C-N 
PubchemFP504,4,N:C:N-C 
PubchemFP385,5,C(:C)(:C)(:C) 
PubchemFP697,6,C-C-C-C-C-C(C)-C 
PubchemFP528,7,[#1]-N-C-[#1] 
PubchemFP499,8,N-C:C:N 
PubchemFP391,9,N(~C)(~C)(~C) 
PubchemFP338,10,C(~C)(~C)(~H)(~N) 
PubchemFP405,11,O(~C)(~C) 
PubchemFP399,12,N(~H)(:C) 
PubchemFP647,13,O=C-N-C-N 
PubchemFP23,14,>= 1 F 
PubchemFP716,15,Cc1ccc(N)cc1 
PubchemFP186,16,>= 2 saturated or aromatic carbon-only ring size 6 
PubchemFP439,17,C(-C)(-N)(=O) 
PubchemFP150,18,>= 2 any ring size 5 
PubchemFP621,19,N-C:C:C:N 
PubchemFP812,20,NC1CC(N)CCC1 
PubchemFP712,21,C-C(C)-C(C)-C 
PubchemFP3,22,>= 32 H 
PubchemFP673,23,O=C-C=C-N 
PubchemFP261,24,>= 4 aromatic rings 
PubchemFP386,25,C(:C)(:C)(:N) 
PubchemFP378,26,C(~N)(:C)(:N) 
PubchemFP689,27,O-C-C-C-C-C-C 
PubchemFP374,28,C(~H)(~H)(~H) 
PubchemFP363,29,C(~F)(~F) 
PubchemFP152,30,>= 2 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP308,31,O-H 
PubchemFP611,32,N-C-C-N-C 
PubchemFP494,33,O=C-C:N 
PubchemFP527,34,C:C:N-[#1] 
PubchemFP258,35,>= 2 hetero-aromatic rings 
PubchemFP435,36,C(-C)(-H)(=N) 
PubchemFP672,37,O=C-C=C-[#1] 
PubchemFP579,38,O=C-C-C-C 
PubchemFP359,39,C(~C)(:N)(:N) 
PubchemFP19,40,>= 2 O 
PubchemFP364,41,C(~F)(:C) 
PubchemFP294,42,C-Cl 
PubchemFP698,43,O-C-C-C-C-C-C-C 
PubchemFP797,44,CC1CC(C)CCC1 
