model,random_state,accuracy
51,345,0.9560439560439561
98,374,0.945054945054945
32,430,0.945054945054945
62,45,0.9340659340659341
6,251,0.9340659340659341
53,95,0.9340659340659341
66,128,0.9230769230769231
57,868,0.9230769230769231
80,197,0.9230769230769231
3,26,0.9230769230769231
70,81,0.9120879120879121
68,945,0.9120879120879121
33,226,0.9120879120879121
90,239,0.9120879120879121
79,592,0.9120879120879121
22,239,0.9120879120879121
15,90,0.9120879120879121
84,678,0.9120879120879121
63,748,0.9120879120879121
81,722,0.9010989010989011
75,634,0.9010989010989011
48,221,0.9010989010989011
29,666,0.9010989010989011
44,433,0.9010989010989011
42,164,0.9010989010989011
64,471,0.9010989010989011
71,566,0.9010989010989011
56,368,0.9010989010989011
78,371,0.9010989010989011
25,28,0.9010989010989011
17,433,0.9010989010989011
54,390,0.8901098901098901
20,96,0.8901098901098901
52,105,0.8901098901098901
50,782,0.8901098901098901
47,160,0.8901098901098901
45,349,0.8901098901098901
65,550,0.8901098901098901
43,715,0.8901098901098901
83,47,0.8901098901098901
37,829,0.8901098901098901
10,105,0.8901098901098901
93,390,0.8901098901098901
77,883,0.8901098901098901
55,100,0.8901098901098901
12,759,0.8791208791208791
69,388,0.8791208791208791
18,33,0.8791208791208791
13,914,0.8791208791208791
14,559,0.8791208791208791
16,605,0.8791208791208791
9,755,0.8791208791208791
86,792,0.8791208791208791
72,301,0.8791208791208791
58,353,0.8791208791208791
30,719,0.8791208791208791
19,31,0.8791208791208791
49,981,0.8791208791208791
95,465,0.8791208791208791
89,876,0.8791208791208791
31,559,0.8791208791208791
26,575,0.8681318681318682
28,734,0.8681318681318682
4,760,0.8681318681318682
99,167,0.8681318681318682
27,204,0.8681318681318682
34,460,0.8681318681318682
36,285,0.8681318681318682
11,693,0.8681318681318682
41,826,0.8681318681318682
94,285,0.8681318681318682
23,518,0.8681318681318682
46,285,0.8681318681318682
60,271,0.8681318681318682
88,82,0.8681318681318682
82,72,0.8571428571428571
96,651,0.8571428571428571
87,297,0.8571428571428571
1,655,0.8571428571428571
38,891,0.8571428571428571
40,778,0.8571428571428571
8,143,0.8571428571428571
24,617,0.8571428571428571
74,644,0.8571428571428571
97,855,0.8461538461538461
39,7,0.8461538461538461
100,380,0.8461538461538461
2,115,0.8461538461538461
59,619,0.8351648351648352
85,234,0.8351648351648352
92,104,0.8351648351648352
91,888,0.8241758241758241
35,604,0.8241758241758241
61,827,0.8241758241758241
67,997,0.8241758241758241
5,282,0.8241758241758241
21,224,0.8131868131868132
76,907,0.8131868131868132
73,850,0.8021978021978022
7,229,0.7582417582417582
